state,covered,near_death,true_value_pi_beta,n_actions_visited,total_samples,min_samples_per_visited_action,mean_samples_per_visited_action,max_samples_per_visited_action
0,True,False,-0.6583917841081031,3,4483,1,1494.3333333333333,4476
1,True,False,-0.654656812301944,3,4498,4,1499.3333333333333,4477
2,True,False,-0.6507640823934605,3,5852,5,1950.6666666666667,5825
3,True,False,-0.6468213996900594,4,7785,91,1946.25,5599
4,False,True,-0.9510520535953552,0,0,0,0.0,0
5,False,True,-0.9505167914257591,0,0,0,0.0,0
6,False,True,-0.9499582341848739,0,0,0,0.0,0
7,False,True,-0.9493924105210642,0,0,0,0.0,0
8,False,True,-0.9488198708375699,0,0,0,0.0,0
9,False,True,-0.9498635000101965,0,0,0,0.0,0
10,False,True,-0.9693904583128203,0,0,0,0.0,0
11,False,True,-0.9979827126910755,0,0,0,0.0,0
12,True,True,-0.998749913994299,2,4,1,2.0,3
13,True,True,-0.9994451719727506,2,59,29,29.5,30
14,True,True,-0.9997803120841644,2,530,7,265.0,523
15,True,True,-0.9997872254058287,3,1510,47,503.3333333333333,985
16,True,True,-0.9977852855838001,2,10,3,5.0,7
17,True,True,-0.9949664673455912,1,7,7,7.0,7
18,True,True,-0.9948326245647072,1,8,8,8.0,8
19,True,True,-0.9947717991073046,2,9,1,4.5,8
20,True,True,-0.9993302343215454,1,7,7,7.0,7
21,False,True,-0.9999740369541531,0,0,0,0.0,0
22,False,True,-0.9999997037612184,0,0,0,0.0,0
23,False,True,-1.0000000486316258,0,0,0,0.0,0
25,False,True,-0.9999953595347757,0,0,0,0.0,0
26,False,True,-0.9999951907195367,0,0,0,0.0,0
27,False,True,-0.9999950943896847,0,0,0,0.0,0
28,False,True,-0.9999949828375526,0,0,0,0.0,0
29,False,True,-0.9999949447575822,0,0,0,0.0,0
30,False,True,-0.999999861262596,0,0,0,0.0,0
31,False,True,-0.9999999355189311,0,0,0,0.0,0
32,False,True,-0.9999999102796614,0,0,0,0.0,0
33,True,False,-0.6404924696698217,4,7041,47,1760.25,5687
34,True,False,-0.5549039749984941,3,127,1,42.333333333333336,77
35,True,False,-0.5042573417023475,2,51,1,25.5,50
36,True,False,-0.49740213333779704,1,52,52,52.0,52
37,True,False,-0.49168772897838414,3,53,1,17.666666666666668,48
38,False,True,-0.9470348237629901,0,0,0,0.0,0
39,False,True,-0.9464066839137223,0,0,0,0.0,0
40,True,True,-0.945799658110508,1,1,1,1.0,1
41,True,True,-0.9445517198504225,2,139,69,69.5,70
42,True,True,-0.9981780544037129,2,83,26,41.5,57
43,True,True,-0.9991773926385719,3,55,2,18.333333333333332,43
44,True,True,-0.9997841815402128,2,161,60,80.5,101
45,True,True,-0.9997740367481146,3,67,1,22.333333333333332,65
46,True,True,-0.9997631807900634,2,303,110,151.5,193
47,True,True,-0.9998869856878384,3,2414,1,804.6666666666666,2391
48,True,True,-0.9998891771694021,3,4434,21,1478.0,2297
49,True,True,-0.9811418747180853,2,8,3,4.0,5
50,True,True,-0.9994501646216882,1,8,8,8.0,8
51,True,True,-0.9999530949396327,2,13,2,6.5,11
52,False,True,-1.0000003312291232,0,0,0,0.0,0
53,False,True,-1.0000002259093999,0,0,0,0.0,0
54,False,True,-0.9999967465170969,0,0,0,0.0,0
55,False,True,-0.9999959414812045,0,0,0,0.0,0
56,False,True,-0.9999957094737448,0,0,0,0.0,0
57,False,True,-0.9999955078383276,0,0,0,0.0,0
58,False,True,-1.0000006339461087,0,0,0,0.0,0
59,False,True,-1.0000007512865121,0,0,0,0.0,0
60,False,True,-0.9999998824190653,0,0,0,0.0,0
61,False,True,-0.9999998972478745,0,0,0,0.0,0
62,False,True,-0.9999998680184842,0,0,0,0.0,0
63,True,False,-0.6342396553910409,4,5887,48,1471.75,4415
64,True,False,-0.5874585068946582,3,4691,2,1563.6666666666667,4094
65,True,False,-0.5802196227788678,2,7083,3180,3541.5,3903
66,True,False,-0.5855725353185728,3,3906,293,1302.0,3253
67,True,False,-0.4850422298251066,1,50,50,50.0,50
68,True,False,-0.47922812627270084,1,58,58,58.0,58
69,True,False,-0.47334438164806464,3,158,3,52.666666666666664,145
70,True,False,-0.8949692318260641,1,7,7,7.0,7
71,True,False,-0.8938184708962957,4,172,4,43.0,146
72,True,True,-0.9997490046450277,1,63,63,63.0,63
73,True,True,-0.9997890595982284,2,125,1,62.5,124
74,True,True,-0.9997877880849432,3,222,1,74.0,167
75,True,True,-0.9997711493947575,1,197,197,197.0,197
76,True,True,-0.9997686127587576,3,381,11,127.0,239
77,True,False,-0.7285407971139668,2,3,1,1.5,2
78,True,True,-0.966426468003318,1,6,6,6.0,6
79,True,True,-0.9727841758735501,2,10,5,5.0,5
80,True,True,-0.9999789406738391,2,14,3,7.0,11
81,True,True,-0.9999679500563544,2,13,4,6.5,9
82,False,True,-1.0000005361611555,0,0,0,0.0,0
83,False,True,-1.0000004358700023,0,0,0,0.0,0
84,False,True,-0.9999981546191562,0,0,0,0.0,0
85,False,True,-0.9999957812993544,0,0,0,0.0,0
86,False,True,-0.999995696538019,0,0,0,0.0,0
87,False,True,-1.0000001584103644,0,0,0,0.0,0
88,False,True,-1.0000002568746984,0,0,0,0.0,0
89,False,True,-1.0000007430990348,0,0,0,0.0,0
90,False,True,-0.9999999747110426,0,0,0,0.0,0
92,False,True,-0.9999997901617488,0,0,0,0.0,0
93,True,False,-0.6269368354096164,3,4869,5,1623.0,4393
94,True,False,-0.6063343237987391,4,4891,40,1222.75,4689
95,True,False,-0.5674864417813945,2,4031,3,2015.5,4028
96,True,False,-0.5624079285130568,2,3929,1921,1964.5,2008
97,True,False,-0.49478268041243373,3,2185,1,728.3333333333334,2173
98,True,False,-0.4873227263032924,2,6553,3071,3276.5,3482
99,True,False,-0.46676626537975235,2,3587,3,1793.5,3584
100,True,False,-0.46019392251431634,3,3560,4,1186.6666666666667,3541
101,True,False,-0.45408067371363586,2,3577,5,1788.5,3572
102,True,False,-0.43603374242824994,3,3844,88,1281.3333333333333,3617
103,True,False,-0.4086464649065113,2,8261,3376,4130.5,4885
104,True,False,-0.37488739057236947,3,3582,2,1194.0,3558
105,True,False,-0.36706211474918726,3,3803,8,1267.6666666666667,3767
106,True,False,-0.3598788045077449,3,12018,58,4006.0,11774
107,True,False,-0.537315612441952,1,1,1,1.0,1
108,False,False,-0.7276221283463762,0,0,0,0.0,0
109,False,True,-0.9920817097331801,0,0,0,0.0,0
110,True,True,-0.9999876016677345,3,13,1,4.333333333333333,7
111,False,True,-1.0000004934644793,0,0,0,0.0,0
112,False,True,-1.0000006443310068,0,0,0,0.0,0
113,False,True,-1.000000606978083,0,0,0,0.0,0
114,False,True,-1.0000002145512328,0,0,0,0.0,0
115,False,True,-1.000000301943832,0,0,0,0.0,0
116,False,True,-1.000000278653503,0,0,0,0.0,0
117,False,True,-1.0000001805257863,0,0,0,0.0,0
118,False,True,-1.0000005212969496,0,0,0,0.0,0
119,False,True,-1.0000005652283102,0,0,0,0.0,0
120,False,True,-0.9999998588843948,0,0,0,0.0,0
121,False,True,-0.9999998473969106,0,0,0,0.0,0
122,False,True,-0.9999998596421147,0,0,0,0.0,0
123,True,False,-0.7540346191209741,4,882,6,220.5,473
124,True,True,-0.9678732519267323,2,515,43,257.5,472
125,True,True,-0.9782934136497581,4,681,3,170.25,329
126,True,False,-0.6242874043841083,2,1995,467,997.5,1528
127,True,False,-0.5076747027140286,3,3572,5,1190.6666666666667,3555
128,True,False,-0.4989137488747882,3,6603,31,2201.0,4576
129,True,True,-0.9997106327914795,2,15,5,7.5,10
130,True,True,-0.9997279038406024,1,7,7,7.0,7
131,True,True,-0.9997254103175831,1,4,4,4.0,4
132,True,False,-0.42861763999281066,4,8206,1,2051.5,8187
133,True,False,-0.4221664105763174,3,12940,67,4313.333333333333,8284
134,True,False,-0.2783178612016014,3,150,2,50.0,129
135,True,False,-0.3327118315441032,2,13041,5546,6520.5,7495
136,True,False,-0.3525225627888036,4,17238,1,4309.5,8935
137,False,False,-0.3162696919544403,0,0,0,0.0,0
138,False,False,-0.488632127332373,0,0,0,0.0,0
139,False,True,-0.9997879980004695,0,0,0,0.0,0
140,True,True,-0.9999946776215909,2,8,1,4.0,7
141,True,True,-1.0000005203976636,2,7,1,3.5,6
142,True,True,-1.0000006407509217,1,6,6,6.0,6
143,True,True,-1.0000008833452654,2,17,1,8.5,16
144,False,True,-1.0000001598470125,0,0,0,0.0,0
145,False,True,-1.0000001932483364,0,0,0,0.0,0
146,False,True,-1.0000003234831933,0,0,0,0.0,0
147,False,True,-1.000000378379493,0,0,0,0.0,0
148,False,True,-1.0000004655505381,0,0,0,0.0,0
149,False,True,-1.0000005209939804,0,0,0,0.0,0
150,False,True,-0.9999999364213891,0,0,0,0.0,0
151,False,True,-0.9999999647073337,0,0,0,0.0,0
152,False,True,-0.9999995789845973,0,0,0,0.0,0
153,True,False,-0.8497460044380336,4,518,4,129.5,280
154,True,True,-0.9682281070533465,1,53,53,53.0,53
155,True,True,-0.9891447100097384,4,359,4,89.75,177
156,True,True,-0.9895264103428508,1,509,509,509.0,509
157,True,True,-0.999400069823854,3,510,1,170.0,508
158,True,True,-0.9996888000293078,3,518,1,172.66666666666666,515
159,True,True,-0.9996940731798247,2,577,1,288.5,576
160,True,True,-0.9996904583653599,3,590,19,196.66666666666666,524
161,True,True,-0.9997220495128332,1,7,7,7.0,7
162,True,True,-0.9997188722649523,3,103,1,34.333333333333336,101
163,True,True,-0.9997156666131902,3,1650,30,550.0,1559
164,True,False,-0.26949646464978166,2,4963,1504,2481.5,3459
165,True,False,-0.3056773126681208,3,9059,40,3019.6666666666665,4904
166,True,False,-0.2325803443518243,2,96,47,48.0,49
167,True,False,-0.22589919157168722,1,54,54,54.0,54
168,True,False,-0.2147357359382112,2,182,3,91.0,179
169,True,False,-0.1608748996635731,3,5316,1,1772.0,3448
170,True,False,-0.13967594257689717,3,3631,17,1210.3333333333333,3544
171,True,True,-1.0000007036772063,1,1,1,1.0,1
172,True,True,-1.000000758332976,2,9,2,4.5,7
173,True,True,-1.000001060738978,3,27,4,9.0,13
174,False,True,-1.0000001146326025,0,0,0,0.0,0
175,False,True,-1.0000000730321301,0,0,0,0.0,0
176,False,True,-1.000000002807264,0,0,0,0.0,0
177,False,True,-0.9999999815781934,0,0,0,0.0,0
178,False,True,-1.000000386184783,0,0,0,0.0,0
179,False,True,-1.000000489395942,0,0,0,0.0,0
180,False,True,-0.999999933709104,0,0,0,0.0,0
181,False,True,-0.9999999989883943,0,0,0,0.0,0
182,False,True,-0.9999992651057036,0,0,0,0.0,0
183,True,True,-0.9740815851491638,2,1398,3,699.0,1395
184,True,True,-0.9772330627656115,4,1496,51,374.0,1232
185,True,True,-0.9994459766033911,2,845,103,422.5,742
186,True,True,-0.9997574211519527,3,14933,2,4977.666666666667,9113
