state,row,col,covered,pi_d_star_V,pi_d_star_action,best_config_action,argmax_disagree,rank_correlation,ppo_discounted_return,ppo_discounted_return_stderr,value_gap,is_disagreement,severity,true_value_pi_beta,critic_pred_pi_beta,critic_abs_error,total_samples,log_coverage,goal_distance,start_distance,hazard_distance,local_connectivity
0,0,0,True,-0.149195231993416,3,3,0,0.316227766016838,0.9169379928074226,0.0600386969982312,-1.0661332248008386,0,0.0,-0.6583917841081031,-0.6400913000106812,0.0183004840974219,4483,8.40827078419205,64,0,32,1
1,0,1,True,-0.139865450940646,3,3,0,1.0,0.9193545681133888,0.0576251347416019,-1.059220019054035,0,0.0,-0.654656812301944,-0.6249808669090271,0.0296759453929168,4498,8.411610428841172,63,1,31,2
2,0,2,True,-0.1302203800787751,3,3,0,1.0,0.8508326542598276,0.1011343161855003,-0.9810530343386028,0,0.0,-0.6507640823934605,-0.5981927514076233,0.0525713309858372,5852,8.67470962929122,62,2,30,2
3,0,3,True,-0.1205004621774223,1,1,0,0.7999999999999999,0.8508326542598276,0.1011343161855003,-0.9713331164372498,0,0.0,-0.6468213996900594,-0.59195476770401,0.0548666319860493,7785,8.960082528170402,61,3,29,2
12,0,12,True,-0.9999989913057296,1,1,0,0.948683298050514,-0.8660203251420379,0.0,-0.1339786661636917,0,0.0,-0.998749913994299,-0.3140861392021179,0.6846637747921811,4,1.6094379124341003,62,20,26,3
13,0,13,True,-0.9999989913057296,1,1,0,0.948683298050514,-0.8660203251420379,0.0,-0.1339786661636918,0,0.0,-0.9994451719727506,-0.3009601533412933,0.6984850186314573,59,4.0943445622221,63,21,27,3
14,0,14,True,-0.9999989913057308,1,3,1,0.8944271909999159,-0.8660203251420379,0.0,-0.1339786661636929,0,0.0,-0.9997803120841644,-0.4522630572319031,0.5475172548522613,530,6.274762021241939,64,22,28,2
15,0,15,True,-0.9999989913057308,2,3,1,-0.6000000000000001,-0.8660203251420379,0.0,-0.133978666163693,0,0.0,-0.9997872254058288,-0.5152255296707153,0.4845616957351133,1510,7.32052696227274,65,23,29,1
16,0,16,True,-0.9999989913057288,1,1,0,0.948683298050514,-0.8660203251420379,0.0,-0.133978666163691,0,0.0,-0.9977852855838,-0.1733897626399994,0.8243955229438007,10,2.3978952727983707,54,28,16,2
17,0,17,True,-0.9999989913057306,3,3,0,0.7745966692414834,-0.8660203251420379,0.0,-0.1339786661636927,0,0.0,-0.9949664673455912,-0.2312313616275787,0.7637351057180125,7,2.0794415416798357,53,29,15,2
18,0,18,True,-0.9999989913057304,3,1,1,0.2581988897471611,-0.8660203251420379,0.0,-0.1339786661636925,0,0.0,-0.9948326245647072,-0.1975308656692505,0.7973017588954567,8,2.1972245773362196,52,30,14,2
19,0,19,True,-0.9999989913057304,1,3,1,0.8944271909999159,0.8122952097176688,0.1141228305690523,-1.8122942010233996,0,0.0,-0.9947717991073046,-0.0156972929835319,0.9790745061237728,9,2.302585092994046,51,31,13,3
20,0,20,True,-0.9999989913057304,1,3,1,0.2581988897471611,0.8122952097176688,0.1141228305690523,-1.812294201023399,0,0.0,-0.9993302343215454,-0.0768525674939155,0.92247766682763,7,2.0794415416798357,52,32,12,2
