epoch,mean_return,mean_return_stderr,success_rate,success_rate_stderr,clip_frac,entropy
0,-1.497960000000001,0.033091903493150714,0.348,0.02130239423163509,0.0,0.4188689887523651
5,-1.4660800000000012,0.03353771112046856,0.37,0.021591665058535898,0.0882899487484018,0.3684466859525281
10,-0.1253600000000006,0.029264137451836852,0.874,0.01484075469779081,0.11700427292778369,0.3539261535139037
15,-0.797160000000001,0.03573564983038647,0.692,0.020646355610615643,0.1376499181045242,0.3504185948402104
20,-0.037080000000000564,0.022904544247812485,0.92,0.012132600710482479,0.15913553771091501,0.35084343365928916
25,-0.037080000000000564,0.022904544247812485,0.92,0.012132600710482479,0.1658895673536416,0.34919339960603957
30,-0.778340000000001,0.035172916978834734,0.706,0.020374690181693564,0.16874181559021514,0.3473327996685967
35,-0.04070000000000057,0.02323597684626149,0.918,0.012269963325128561,0.17120852820934668,0.3484602945560524
40,-0.781720000000001,0.03524491003251392,0.704,0.020414896521902825,0.17583628260177953,0.3457128844198787
45,0.005299999999999418,0.0202778159573461,0.946,0.010107818755794947,0.18300011018725174,0.34507711204903496
50,-0.04932000000000058,0.023878154769579663,0.914,0.01253826144248077,0.1836740271182988,0.34449143327608134
55,-0.05340000000000057,0.02419342224655289,0.912,0.012669333052690657,0.18529625173630718,0.3429608579941295
60,-0.028060000000000588,0.0237325783007241,0.926,0.011706750189527404,0.1860117055384331,0.33897998581776734
65,-0.04290000000000058,0.02325112427389265,0.918,0.012269963325128561,0.18722449960103313,0.33905601873080066
70,-0.04070000000000057,0.02323597684626149,0.918,0.012269963325128561,0.1870851936466072,0.33793597100020817
75,-0.04932000000000058,0.023878154769579663,0.914,0.01253826144248077,0.18796292613835386,0.335747669197357
80,-0.04602000000000058,0.023564497007150395,0.916,0.012405160216619531,0.18805971304266939,0.3367837498349824
85,-0.08270000000000058,0.026737722790095644,0.894,0.013766916866168691,0.18832765582976338,0.337138987669473
90,-0.04070000000000057,0.02323597684626149,0.918,0.012269963325128561,0.18794472939589915,0.33711311810833455
95,-0.04932000000000058,0.023878154769579663,0.914,0.01253826144248077,0.18839958059134682,0.33518676894761845
100,-0.04072000000000057,0.02323567436507923,0.918,0.012269963325128561,0.18903070105238226,0.33660773304233954
105,-0.04932000000000058,0.023878154769579663,0.914,0.01253826144248077,0.18789136876410767,0.33759366583843653
110,-0.08270000000000058,0.026737722790095644,0.894,0.013766916866168691,0.18881602892355168,0.33609216174724543
115,-0.04934000000000057,0.02387784598325402,0.914,0.01253826144248077,0.18940118892165547,0.3349863851864808
120,-0.08678000000000058,0.02700956243999521,0.892,0.013880633991284403,0.1880814411714734,0.3353283980150059
125,-0.04934000000000057,0.02387784598325402,0.914,0.01253826144248077,0.18924403860738603,0.3351846954565212
130,-0.04934000000000057,0.02387784598325402,0.914,0.01253826144248077,0.18688750364501655,0.33611040709209755
135,-0.04934000000000057,0.02387784598325402,0.914,0.01253826144248077,0.18828456695340057,0.33583229227038747
140,-0.04934000000000057,0.02387784598325402,0.914,0.01253826144248077,0.19043473715384476,0.3365397066584593
145,-0.04934000000000057,0.02387784598325402,0.914,0.01253826144248077,0.1905998874422184,0.334864879375779
150,-0.08270000000000058,0.026737722790095644,0.894,0.013766916866168691,0.19054016882122685,0.33679646108594957
155,0.008579999999999418,0.01988914194227594,0.948,0.009929350431926557,0.1928251763944341,0.33668975279843916
160,-0.7539800000000011,0.03502496137328349,0.73,0.019854470529329156,0.1919113128207691,0.33753432560093755
165,-0.04934000000000057,0.02387784598325402,0.914,0.01253826144248077,0.19051493929724955,0.33667906881207244
170,-0.008500000000000587,0.021953384704869548,0.936,0.01094568408095172,0.19138881801121174,0.3351905019991922
175,-0.781720000000001,0.03524491003251392,0.704,0.020414896521902825,0.19225658615860702,0.33597179002091226
180,-0.011800000000000591,0.02230083227146467,0.934,0.01110351295761841,0.1919752526068824,0.33814547005629597
185,-0.06642000000000059,0.025545402075520363,0.902,0.013296315279053816,0.1916644683599667,0.33634813941363323
190,0.005279999999999419,0.020277560089912203,0.946,0.010107818755794947,0.1916025079488267,0.3367357606514496
195,-0.06642000000000059,0.025545402075520363,0.902,0.013296315279053816,0.19346326965464009,0.3395557015378848
200,-0.06642000000000059,0.025545402075520363,0.902,0.013296315279053816,0.1950621691457044,0.3394978359914274
205,0.005279999999999419,0.020277560089912203,0.946,0.010107818755794947,0.1954026814863902,0.3382544439416973
210,-0.04934000000000057,0.02387784598325402,0.914,0.01253826144248077,0.19542027842360057,0.3440487132828838
215,-0.045160000000000595,0.0254379784731413,0.914,0.01253826144248077,0.19499642992862792,0.3447855917991231
220,-0.046040000000000574,0.02356418971235803,0.916,0.012405160216619531,0.1964557910321291,0.34565117060894474
225,0.005279999999999419,0.020277560089912203,0.946,0.010107818755794947,0.20313534673032269,0.34873379659720943
230,-0.06312000000000059,0.025256930359804225,0.904,0.013174520864152895,0.2030242168613369,0.35010546757759664
235,-0.04934000000000057,0.02387784598325402,0.914,0.01253826144248077,0.20671230833596707,0.35071904335905074
240,-0.06418000000000058,0.02530316690060752,0.904,0.013174520864152895,0.20631467155618738,0.34750424212153974
245,-0.04934000000000057,0.02387784598325402,0.914,0.01253826144248077,0.20690364034226558,0.35050360243143064
250,-0.04934000000000057,0.02387784598325402,0.914,0.01253826144248077,0.20608433687530964,0.35338591451003526
255,-0.04934000000000057,0.02387784598325402,0.914,0.01253826144248077,0.20506709598412987,0.35108914448653494
260,-0.04934000000000057,0.02387784598325402,0.914,0.01253826144248077,0.20515013972901947,0.35094674640713613
265,-0.06312000000000059,0.025256930359804225,0.904,0.013174520864152895,0.20603358542100386,0.3507648693399164
270,-0.046040000000000574,0.02356418971235803,0.916,0.012405160216619531,0.20558957580114523,0.3533984916383676
275,-0.7539800000000011,0.03502496137328349,0.73,0.019854470529329156,0.20657208017267756,0.35297449264532216
280,-0.04934000000000057,0.02387784598325402,0.914,0.01253826144248077,0.20553598274535462,0.35966338053991437
285,-0.04934000000000057,0.02387784598325402,0.914,0.01253826144248077,0.20572029697485664,0.35931375567920854
290,-0.046040000000000574,0.02356418971235803,0.916,0.012405160216619531,0.20559250737006607,0.3598691171929179
295,0.005279999999999419,0.020277560089912203,0.946,0.010107818755794947,0.2061594256359051,0.356054811280766
300,-0.04934000000000057,0.02387784598325402,0.914,0.01253826144248077,0.20581642407329961,0.35650870487861525
