state,row,col,covered,pi_d_star_V,pi_d_star_action,best_config_action,argmax_disagree,rank_correlation,ppo_discounted_return,ppo_discounted_return_stderr,value_gap,is_disagreement,severity_raw,severity,statistically_significant,true_value_pi_beta,critic_pred_pi_beta,critic_abs_error
0,0,0,True,-0.14919523199341608,3,3,0,0.316227766016838,-0.19986675827495526,0.023767237321987253,0.050671526281539175,0,0.0,0.0,0,-0.6583917841081031,-0.6400913000106812,0.01830048409742191
1,0,1,True,-0.13986545094064606,3,3,0,1.0,-0.20349581989328766,0.027661936301379645,0.0636303689526416,0,0.0,0.0,0,-0.654656812301944,-0.6249808669090271,0.029675945392916847
2,0,2,True,-0.13022038007877512,3,3,0,1.0,-0.21163018153020535,0.0323634843449847,0.08140980145143023,0,0.0,0.0,0,-0.6507640823934605,-0.5981927514076233,0.05257133098583722
3,0,3,True,-0.1205004621774223,1,1,0,0.7999999999999999,-0.18850200474908008,0.02720270339703894,0.06800154257165777,0,0.0,0.0,0,-0.6468213996900594,-0.59195476770401,0.05486663198604935
4,0,4,False,-50.0,0,3,1,,-0.6746921261092286,0.037305528094712846,-49.32530787389077,0,0.0,0.0,0,-0.9510520535953552,-0.6250796318054199,0.32597242178993524
5,0,5,False,-50.0,0,3,1,,-0.5757421222241982,0.043181838385543896,-49.4242578777758,0,0.0,0.0,0,-0.9505167914257591,-0.6139947772026062,0.33652201422315287
6,0,6,False,-50.0,0,3,1,,-0.6410244256600501,0.04079325080007704,-49.35897557433995,0,0.0,0.0,0,-0.9499582341848739,-0.5882732272148132,0.3616850069700607
7,0,7,False,-50.0,0,3,1,,-0.6317692208379231,0.04057807714148015,-49.368230779162076,0,0.0,0.0,0,-0.9493924105210642,-0.5619483590126038,0.3874440515084604
8,0,8,False,-50.0,0,1,1,,-0.6502513941643697,0.038942498103299875,-49.34974860583563,0,0.0,0.0,0,-0.9488198708375699,-0.42476779222488403,0.5240520786126859
9,0,9,False,-50.0,0,3,1,,-0.7634771559512938,0.026679449192099462,-49.23652284404871,0,0.0,0.0,0,-0.9498635000101965,-0.5957595109939575,0.35410398901623896
10,0,10,False,-50.0,0,3,1,,-0.8394553001509777,0.01369006597619699,-49.16054469984902,0,0.0,0.0,0,-0.9693904583128203,-0.4033832252025604,0.5660072331102599
11,0,11,False,-50.0,0,3,1,,-0.8623422102712055,0.0036781148708322654,-49.13765778972879,0,0.0,0.0,0,-0.9979827126910755,-0.4792155623435974,0.5187671503474781
12,0,12,True,-0.9999989913057296,1,1,0,0.9486832980505139,-0.8620814148126077,0.003938910329430157,-0.13791757649312186,0,0.0,0.0,0,-0.998749913994299,-0.3140861392021179,0.6846637747921811
13,0,13,True,-0.9999989913057297,1,1,0,0.9486832980505139,-0.8660203251420379,0.0,-0.1339786661636918,0,0.0,0.0,0,-0.9994451719727506,-0.30096015334129333,0.6984850186314573
14,0,14,True,-0.9999989913057308,1,3,1,0.8944271909999159,-0.8660203251420379,0.0,-0.13397866616369292,0,0.0,0.0,0,-0.9997803120841644,-0.4522630572319031,0.5475172548522613
15,0,15,True,-0.9999989913057309,2,3,1,-0.6000000000000001,-0.8660203251420379,0.0,-0.13397866616369303,0,0.0,0.0,0,-0.9997872254058287,-0.5152255296707153,0.4845616957351133
16,0,16,True,-0.9999989913057289,1,1,0,0.9486832980505139,-0.8660203251420379,0.0,-0.13397866616369103,0,0.0,0.0,0,-0.9977852855838001,-0.1733897626399994,0.8243955229438007
17,0,17,True,-0.9999989913057306,3,3,0,0.7745966692414834,-0.8660203251420379,0.0,-0.1339786661636927,0,0.0,0.0,0,-0.9949664673455912,-0.23123136162757874,0.7637351057180125
18,0,18,True,-0.9999989913057304,3,1,1,0.2581988897471611,-0.8630645421230264,0.002955783019011473,-0.13693444918270403,0,0.0,0.0,0,-0.9948326245647072,-0.1975308656692505,0.7973017588954567
19,0,19,True,-0.9999989913057304,1,3,1,0.8944271909999159,-0.8501768892736304,0.009992233090084101,-0.1498221020321,0,0.0,0.0,0,-0.9947717991073046,-0.015697292983531952,0.9790745061237727
20,0,20,True,-0.9999989913057303,1,3,1,0.2581988897471611,-0.8501768892736304,0.009992233090084101,-0.1498221020320999,0,0.0,0.0,0,-0.9993302343215454,-0.07685256749391556,0.9224776668276299
21,0,21,False,-50.0,0,3,1,,-0.8660203251420379,0.0,-49.13397967485796,0,0.0,0.0,0,-0.9999740369541531,-0.035489149391651154,0.964484887562502
22,0,22,False,-50.0,0,3,1,,-0.8660203251420379,0.0,-49.13397967485796,0,0.0,0.0,0,-0.9999997037612184,-0.05450848489999771,0.9454912188612207
23,0,23,False,-50.0,0,1,1,,-0.8713795121363563,0.0037506495920686116,-49.12862048786364,0,0.0,0.0,0,-1.0000000486316258,0.04533431679010391,1.0453343654217297
25,0,25,False,-50.0,0,1,1,,-0.9410489430624966,0.00950082308676157,-49.0589510569375,0,0.0,0.0,0,-0.9999953595347757,-0.027267642319202423,0.9727277172155733
26,0,26,False,-50.0,0,3,1,,-0.868699918639197,0.0026795934971592388,-49.131300081360806,0,0.0,0.0,0,-0.9999951907195367,0.21496281027793884,1.2149580009974756
27,0,27,False,-50.0,0,3,1,,-0.8660203251420379,0.0,-49.13397967485796,0,0.0,0.0,0,-0.9999950943896847,0.22264787554740906,1.2226429699370938
28,0,28,False,-50.0,0,1,1,,-0.8660203251420379,0.0,-49.13397967485796,0,0.0,0.0,0,-0.9999949828375526,0.0005823299288749695,1.0005773127664277
29,0,29,False,-50.0,0,3,1,,-0.8660203251420379,0.0,-49.13397967485796,0,0.0,0.0,0,-0.9999949447575822,-0.08014372736215591,0.9198512173954263
30,1,0,False,-50.0,0,3,1,,-0.9624856910397704,0.008593817830454813,-49.037514308960226,0,0.0,0.0,0,-0.999999861262596,-0.7216452360153198,0.27835462524727617
