state,row,col,covered,true_value_pi_beta,near_death,critic_pred_pi_beta,critic_abs_error,pi_d_star_action,best_config_action,argmax_agree,rank_correlation
0,0,0,True,-0.6583917841081031,False,-0.6400913000106812,0.01830048409742191,3,3,1,0.316227766016838
1,0,1,True,-0.654656812301944,False,-0.6249808669090271,0.029675945392916847,3,3,1,1.0
2,0,2,True,-0.6507640823934605,False,-0.5981927514076233,0.05257133098583722,3,3,1,1.0
3,0,3,True,-0.6468213996900594,False,-0.5919548273086548,0.05486657238140458,1,1,1,0.632455532033676
4,0,4,False,-0.9510520535953552,True,-0.6250796914100647,0.32597236218529047,0,3,0,
5,0,5,False,-0.9505167914257591,True,-0.613994836807251,0.3365219546185081,0,3,0,
6,0,6,False,-0.9499582341848739,True,-0.5882732272148132,0.3616850069700607,0,3,0,
7,0,7,False,-0.9493924105210642,True,-0.5619484186172485,0.3874439919038156,0,3,0,
8,0,8,False,-0.9488198708375699,True,-0.42476776242256165,0.5240521084150083,0,1,0,
9,0,9,False,-0.9498635000101965,True,-0.5957594513893127,0.35410404862088374,0,3,0,
10,0,10,False,-0.9693904583128203,True,-0.40338319540023804,0.5660072629125823,0,3,0,
11,0,11,False,-0.9979827126910755,True,-0.4792155921459198,0.5187671205451557,0,3,0,
12,0,12,True,-0.998749913994299,True,-0.31408625841140747,0.6846636555828916,1,1,1,0.9486832980505139
13,0,13,True,-0.9994451719727506,True,-0.30096012353897095,0.6984850484337797,3,1,0,0.7378647873726218
14,0,14,True,-0.9997803120841644,True,-0.4522629678249359,0.5475173442592285,3,3,1,0.9486832980505139
15,0,15,True,-0.9997872254058287,True,-0.5152255296707153,0.4845616957351133,0,3,0,-0.10540925533894598
16,0,16,True,-0.9977852855838001,True,-0.1733897626399994,0.8243955229438007,1,1,1,0.9486832980505139
17,0,17,True,-0.9949664673455912,True,-0.23123136162757874,0.7637351057180125,3,3,1,0.7745966692414834
18,0,18,True,-0.9948326245647072,True,-0.19753095507621765,0.7973016694884896,3,1,0,0.2581988897471611
19,0,19,True,-0.9947717991073046,True,-0.015697307884693146,0.9790744912226115,1,3,0,0.7378647873726218
20,0,20,True,-0.9993302343215454,True,-0.07685261219739914,0.9224776221241463,1,3,0,0.2581988897471611
21,0,21,False,-0.9999740369541531,True,-0.03548923879861832,0.9644847981555348,0,3,0,
22,0,22,False,-0.9999997037612184,True,-0.05450844764709473,0.9454912561141237,0,3,0,
23,0,23,False,-1.0000000486316258,True,0.045334331691265106,1.045334380322891,0,1,0,
25,0,25,False,-0.9999953595347757,True,-0.02726767212152481,0.9727276874132509,0,1,0,
26,0,26,False,-0.9999951907195367,True,0.2149629294872284,1.2149581202067652,0,3,0,
27,0,27,False,-0.9999950943896847,True,0.22264784574508667,1.2226429401347714,0,3,0,
28,0,28,False,-0.9999949828375526,True,0.0005822703242301941,1.000577253161783,0,1,0,
29,0,29,False,-0.9999949447575822,True,-0.08014381676912308,0.9198511279884591,0,3,0,
30,1,0,False,-0.999999861262596,True,-0.7216452360153198,0.27835462524727617,0,3,0,
31,1,1,False,-0.9999999355189311,True,-0.6516333222389221,0.34836661328000895,0,1,0,
32,1,2,False,-0.9999999102796614,True,-0.68332839012146,0.31667152015820144,0,2,0,
33,1,3,True,-0.6404924696698217,False,-0.5844154953956604,0.05607697427416125,1,1,1,0.316227766016838
34,1,4,True,-0.5549039749984941,False,-0.5718774199485779,0.016973444950083794,3,3,1,1.0
35,1,5,True,-0.5042573417023475,False,-0.5307929515838623,0.02653560988151482,3,3,1,0.9486832980505139
36,1,6,True,-0.49740213333779704,False,-0.5272976160049438,0.02989548266714681,3,3,1,0.7745966692414834
37,1,7,True,-0.49168772897838414,False,-0.531779944896698,0.040092215918313856,1,1,1,1.0
38,1,8,False,-0.9470348237629901,True,-0.4895293712615967,0.4575054525013934,0,3,0,
39,1,9,False,-0.9464066839137223,True,-0.5205623507499695,0.4258443331637528,0,3,0,
40,1,10,True,-0.945799658110508,True,-0.44472959637641907,0.501070061734089,3,3,1,0.7745966692414834
41,1,11,True,-0.9445517198504225,True,-0.3623523712158203,0.5821993486346022,1,1,1,0.9486832980505139
42,1,12,True,-0.9981780544037129,True,-0.2747661769390106,0.7234118774647023,1,1,1,0.9486832980505139
43,1,13,True,-0.9991773926385719,True,-0.4499306380748749,0.549246754563697,2,0,0,0.19999999999999998
44,1,14,True,-0.9997841815402128,True,-0.32180696725845337,0.6779772142817594,1,3,0,0.7378647873726218
45,1,15,True,-0.9997740367481146,True,-0.31405606865882874,0.6857179680892859,2,1,0,0.19999999999999998
46,1,16,True,-0.9997631807900634,True,-0.16580814123153687,0.8339550395585266,3,1,0,0.21081851067789195
47,1,17,True,-0.9998869856878384,True,-0.30891385674476624,0.6909731289430722,3,3,1,1.0
48,1,18,True,-0.9998891771694021,True,-0.386618047952652,0.6132711292167501,0,2,0,-0.21081851067789195
49,1,19,True,-0.9811418747180853,True,-0.03196469694375992,0.9491771777743254,1,1,1,0.632455532033676
50,1,20,True,-0.9994501646216882,True,-0.1390482783317566,0.8604018862899316,3,1,0,0.2581988897471611
51,1,21,True,-0.9999530949396327,True,0.009540267288684845,1.0094933622283175,1,0,0,-0.21081851067789195
52,1,22,False,-1.0000003312291232,True,-0.0945124551653862,0.905487876063737,0,1,0,
53,1,23,False,-1.0000002259093999,True,-0.033882834017276764,0.9661173918921231,0,1,0,
54,1,24,False,-0.9999967465170969,True,0.17771053314208984,1.1777072796591868,0,1,0,
55,1,25,False,-0.9999959414812045,True,0.14500275254249573,1.1449986940237002,0,1,0,
56,1,26,False,-0.9999957094737448,True,0.18624380230903625,1.186239511782781,0,1,0,
57,1,27,False,-0.9999955078383276,True,-0.02942267805337906,0.9705728297849485,0,1,0,
58,1,28,False,-1.0000006339461087,True,0.34165307879447937,1.341653712740588,0,1,0,
59,1,29,False,-1.0000007512865121,True,0.35270506143569946,1.3527058127222116,0,1,0,
60,2,0,False,-0.9999998824190653,True,-0.7587162256240845,0.24128365679498087,0,0,1,
61,2,1,False,-0.9999998972478745,True,-0.656843364238739,0.3431565330091355,0,3,0,
62,2,2,False,-0.9999998680184842,True,-0.5931771397590637,0.40682272825942045,0,0,1,
63,2,3,True,-0.6342396553910409,False,-0.6305562257766724,0.0036834296143685163,1,1,1,0.316227766016838
64,2,4,True,-0.5874585068946582,False,-0.5369594097137451,0.050499097180913055,3,3,1,0.7999999999999999
65,2,5,True,-0.5802196227788678,False,-0.5499200820922852,0.030299540686582693,1,1,1,0.9486832980505139
66,2,6,True,-0.5855725353185728,False,-0.5990875959396362,0.013515060621063446,2,2,1,0.9486832980505139
67,2,7,True,-0.4850422298251066,False,-0.4909098744392395,0.005867644614132916,3,3,1,0.7745966692414834
68,2,8,True,-0.47922812627270084,False,-0.5112531185150146,0.03202499224231381,3,3,1,0.7745966692414834
69,2,9,True,-0.47334438164806464,False,-0.5129793286323547,0.0396349469842901,1,1,1,1.0
70,2,10,True,-0.8949692318260641,False,-0.502613365650177,0.39235586617588714,3,3,1,0.7745966692414834
71,2,11,True,-0.8938184708962957,False,-0.3390868306159973,0.5547316402802984,1,0,0,-0.39999999999999997
72,2,12,True,-0.9997490046450277,True,-0.4495323896408081,0.5502166150042196,3,3,1,0.7745966692414834
73,2,13,True,-0.9997890595982284,True,-0.4742652475833893,0.5255238120148391,3,3,1,0.9486832980505139
74,2,14,True,-0.9997877880849432,True,-0.4388028085231781,0.5609849795617651,0,0,1,0.7999999999999999
75,2,15,True,-0.9997711493947575,True,-0.3409060537815094,0.6588650956132481,3,3,1,0.7745966692414834
76,2,16,True,-0.9997686127587576,True,-0.35655710101127625,0.6432115117474814,2,0,0,-0.6000000000000001
77,2,17,True,-0.7285407971139668,False,-0.1478426456451416,0.5806981514688252,3,1,0,0.7378647873726218
78,2,18,True,-0.966426468003318,True,-0.18271854519844055,0.7837079228048774,3,1,0,0.2581988897471611
79,2,19,True,-0.9727841758735501,True,-0.20446276664733887,0.7683214092262113,2,1,0,0.10540925533894598
80,2,20,True,-0.9999789406738391,True,-0.12986958026885986,0.8701093604049792,1,3,0,0.7378647873726218
81,2,21,True,-0.9999679500563544,True,-0.23616501688957214,0.7638029331667823,2,1,0,-0.21081851067789195
82,2,22,False,-1.0000005361611555,True,-0.14540675282478333,0.8545937833363721,0,1,0,
83,2,23,False,-1.0000004358700023,True,-0.0865444466471672,0.9134559892228351,0,1,0,
84,2,24,False,-0.9999981546191562,True,0.1017686054110527,1.101766760030209,0,0,1,
85,2,25,False,-0.9999957812993544,True,0.006765715777873993,1.0067614970772283,0,3,0,
86,2,26,False,-0.999995696538019,True,-0.03583572059869766,0.9641599759393213,0,1,0,
87,2,27,False,-1.0000001584103644,True,0.26923662424087524,1.2692367826512396,0,1,0,
88,2,28,False,-1.0000002568746984,True,0.07722637802362442,1.0772266348983228,0,1,0,
89,2,29,False,-1.0000007430990348,True,0.3052894175052643,1.305290160604299,0,3,0,
90,3,0,False,-0.9999999747110426,True,-0.8138203024864197,0.18617967222462295,0,3,0,
92,3,2,False,-0.9999997901617488,True,-0.7557011246681213,0.24429866549362744,0,0,1,
93,3,3,True,-0.6269368354096164,False,-0.6267505884170532,0.00018624699256319932,3,3,1,0.19999999999999998
94,3,4,True,-0.6063343237987391,False,-0.5613827109336853,0.04495161286505378,0,0,1,0.7999999999999999
95,3,5,True,-0.5674864417813945,False,-0.5043125152587891,0.06317392652260545,3,3,1,0.316227766016838
96,3,6,True,-0.5624079285130568,False,-0.5667697787284851,0.004361850215428342,3,3,1,0.9486832980505139
97,3,7,True,-0.49478268041243373,False,-0.507646918296814,0.012864237884380236,3,3,1,0.7999999999999999
98,3,8,True,-0.4873227263032924,False,-0.5113561153411865,0.02403338903789415,3,3,1,0.9486832980505139
99,3,9,True,-0.46676626537975235,False,-0.454345703125,0.012420562254752354,3,3,1,0.316227766016838
100,3,10,True,-0.46019392251431634,False,-0.49464380741119385,0.0344498848968775,3,3,1,1.0
101,3,11,True,-0.45408067371363586,False,-0.4470531940460205,0.007027479667615355,3,3,1,0.316227766016838
102,3,12,True,-0.43603374242824994,False,-0.48051682114601135,0.044483078717761415,1,1,1,1.0
