state,row,col,covered,n_actions_covered,pi_d_star_V,pi_d_star_action,best_config_action,argmax_disagree,rank_correlation,ppo_discounted_return,ppo_discounted_return_stderr,value_gap,is_disagreement,severity_raw,severity,statistically_significant,true_value_pi_beta,critic_pred_pi_beta,critic_abs_error,total_samples,log_coverage,p_beta_star,p_theta_star,delta_p_star,prior_error,C
0,0,0,True,3,-0.1539541784191466,3,3,0,0.316227766016838,-0.1955464796003343,0.018301949589182,0.0415923011811876,0,0.0,0.0,0,-0.6583917841081031,-0.6400913000106812,0.0183004840974219,4483,8.40827078419205,0.9987266659736633,0.9999209642410278,0.001194298267364502,0.00127333402633667,
1,0,1,True,3,-0.1447153488087794,3,3,0,1.0,-0.1942592755967786,0.0203379373776157,0.0495439267879991,0,0.0,0.0,0,-0.654656812301944,-0.6249808669090271,0.0296759453929168,4498,8.411610428841172,0.9950710535049438,0.9938913583755493,-0.0011796951293945312,0.004928946495056152,
2,0,2,True,3,-0.1351259329806014,3,3,0,1.0,-0.1958528277166546,0.0230270807568941,0.0607268947360531,0,0.0,0.0,0,-0.6507640823934605,-0.5981927514076233,0.0525713309858372,5852,8.67470962929122,0.9942991733551025,0.9920610189437866,-0.002238154411315918,0.005700826644897461,
3,0,3,True,4,-0.1254223253236791,1,1,0,0.632455532033676,-0.1796829713228548,0.0202093909893069,0.0542606459991757,0,0.0,0.0,0,-0.6468213996900594,-0.59195476770401,0.0548666319860493,7785,8.960082528170402,0.7209020256996155,0.7436039447784424,0.022701919078826904,0.2790979743003845,0.08134032192721517
12,0,12,True,2,-2.2528573830706264,1,1,0,0.948683298050514,-0.8635585061861437,0.0024618189558938,-1.3892988768844827,0,0.0,0.0,0,-0.998749913994299,-0.3140861392021179,0.6846637747921811,4,1.6094379124341003,0.5456246733665466,0.7122960090637207,0.16667133569717407,0.45437532663345337,0.36681423027978055
13,0,13,True,2,-1.03474469578154,3,1,1,0.7378647873726218,-0.8660203251420378,1.2490984923352586e-17,-0.1687243706395023,0,0.0,0.0,0,-0.9994451719727506,-0.3009601533412933,0.6984850186314573,59,4.0943445622221,0.4625987708568573,0.3501235544681549,-0.11247521638870239,0.5374012291431427,-0.20929467647113137
14,0,14,True,2,-1.002882465580305,3,3,0,0.948683298050514,-0.8660203251420378,1.2490984923352586e-17,-0.1368621404382672,0,0.0,0.0,0,-0.9997803120841644,-0.4522630572319031,0.5475172548522613,530,6.274762021241939,0.9887769818305969,0.6175487637519836,-0.3712282180786133,0.011223018169403076,
15,0,15,True,3,-1.00205280729751,0,3,1,-0.1054092553389459,-0.8660203251420378,1.2490984923352586e-17,-0.1360324821554723,0,0.0,0.0,0,-0.9997872254058288,-0.5152255296707153,0.4845616957351133,1510,7.32052696227274,0.033055491745471954,0.007948112674057484,-0.02510737907141447,0.966944508254528,-0.025965687645030273
16,0,16,True,2,-1.0060852069265718,1,1,0,0.948683298050514,-0.8660203251420378,1.2490984923352586e-17,-0.140064881784534,0,0.0,0.0,0,-0.9977852855838,-0.1733897626399994,0.8243955229438007,10,2.3978952727983707,0.5873422622680664,0.5576658248901367,-0.029676437377929688,0.4126577377319336,-0.07191537844664816
17,0,17,True,1,-1.2274552118945723,3,3,0,0.7745966692414834,-0.8660203251420378,1.2490984923352586e-17,-0.3614348867525347,0,0.0,0.0,0,-0.9949664673455912,-0.2312313616275787,0.7637351057180125,7,2.0794415416798357,0.9878249168395996,0.556023895740509,-0.4318010210990906,0.01217508316040039,
