state,row,col,covered,n_actions_covered,pi_d_star_V,pi_d_star_action,best_config_action,argmax_disagree,rank_correlation,ppo_discounted_return,ppo_discounted_return_stderr,value_gap,is_disagreement,severity_raw,severity,statistically_significant,true_value_pi_beta,critic_pred_pi_beta,critic_abs_error,n_pi_d_star_action,n_best_config_action,pair_min_samples,pi_d_star_action_cross,pi_d_star_V_cross,argmax_disagree_cross,rank_correlation_cross,value_gap_cross,is_disagreement_cross,severity_raw_cross,statistically_significant_cross,is_disagreement_strict,severity_raw_strict,severity_strict,total_samples,log_coverage,goal_distance,hazard_distance,local_connectivity,action_sample_gap,log_n_best_config_action,log_pair_min_samples,pi_beta_prob_gap
0,0,0,True,3,-0.149195231993416,3,3,0,0.316227766016838,-0.1955464796003343,0.018301949589182,0.0463512476069182,0,0.0,0.0,0,-0.6583917841081031,-0.6400913000106812,0.0183004840974219,4476,4476,4476,3,-0.1539541784191466,0,0.316227766016838,0.0415923011811876,0,0.0,0,0,0.0,0.0,4483,8.40827078419205,64,32,1,0.0,8.406708458240965,8.406708458240965,0.0
1,0,1,True,3,-0.139865450940646,3,3,0,1.0,-0.1942592755967786,0.0203379373776157,0.0543938246561325,0,0.0,0.0,0,-0.654656812301944,-0.6249808669090271,0.0296759453929168,4477,4477,4477,3,-0.1447153488087794,0,1.0,0.0495439267879991,0,0.0,0,0,0.0,0.0,4498,8.411610428841172,63,31,2,0.0,8.4069317971587,8.4069317971587,0.0
2,0,2,True,3,-0.1302203800787751,3,3,0,1.0,-0.1958528277166546,0.0230270807568941,0.0656324476378795,0,0.0,0.0,0,-0.6507640823934605,-0.5981927514076233,0.0525713309858372,5825,5825,5825,3,-0.1351259329806014,0,1.0,0.0607268947360531,0,0.0,0,0,0.0,0.0,5852,8.67470962929122,62,30,2,0.0,8.67008593751938,8.67008593751938,0.0
3,0,3,True,4,-0.1205004621774223,1,1,0,0.7999999999999999,-0.1796829713228548,0.0202093909893069,0.0591825091454325,0,0.0,0.0,0,-0.6468213996900594,-0.59195476770401,0.0548666319860493,5599,5599,5599,1,-0.1254223253236791,0,0.632455532033676,0.0542606459991757,0,0.0,0,0,0.0,0.0,7785,8.960082528170402,61,29,2,0.0,8.630521876723241,8.630521876723241,0.0
12,0,12,True,2,-0.9999989913057296,1,1,0,0.948683298050514,-0.8635585061861437,0.0024618189558938,-0.1364404851195858,0,0.0,0.0,0,-0.998749913994299,-0.3140861392021179,0.6846637747921811,1,1,1,1,-2.2528573830706264,0,0.948683298050514,-1.3892988768844827,0,0.0,0,0,0.0,0.0,4,1.6094379124341003,62,26,3,0.0,0.6931471805599453,0.6931471805599453,0.0
13,0,13,True,2,-0.9999989913057296,1,1,0,0.948683298050514,-0.8660203251420378,1.2490984923352586e-17,-0.1339786661636919,0,0.0,0.0,0,-0.9994451719727506,-0.3009601533412933,0.6984850186314573,30,30,30,3,-1.03474469578154,1,0.7378647873726218,-0.1687243706395023,0,0.0,0,0,0.0,0.0,59,4.0943445622221,63,27,3,0.0,3.4339872044851463,3.4339872044851463,0.0
14,0,14,True,2,-0.9999989913057308,1,3,1,0.8944271909999159,-0.8660203251420378,1.2490984923352586e-17,-0.133978666163693,0,0.0,0.0,0,-0.9997803120841644,-0.4522630572319031,0.5475172548522613,7,523,7,3,-1.002882465580305,0,0.948683298050514,-0.1368621404382672,0,0.0,0,0,0.0,0.0,530,6.274762021241939,64,28,2,4.182050142641206,6.261491684321042,2.0794415416798357,0.9778393041342497
15,0,15,True,3,-0.9999989913057308,2,3,1,-0.6000000000000001,-0.8660203251420378,1.2490984923352586e-17,-0.1339786661636931,0,0.0,0.0,0,-0.9997872254058288,-0.5152255296707153,0.4845616957351133,478,985,478,0,-1.00205280729751,1,-0.1054092553389459,-0.1360324821554723,0,0.0,0,0,0.0,0.0,1510,7.32052696227274,65,29,1,0.7219557571917203,6.893656354602635,6.171700597410915,0.32510268688201904
16,0,16,True,2,-0.9999989913057288,1,1,0,0.948683298050514,-0.8660203251420378,1.2490984923352586e-17,-0.1339786661636911,0,0.0,0.0,0,-0.9977852855838,-0.1733897626399994,0.8243955229438007,3,3,3,1,-1.0060852069265718,0,0.948683298050514,-0.140064881784534,0,0.0,0,0,0.0,0.0,10,2.3978952727983707,54,16,2,0.0,1.3862943611198906,1.3862943611198906,0.0
17,0,17,True,1,-0.9999989913057306,3,3,0,0.7745966692414834,-0.8660203251420378,1.2490984923352586e-17,-0.1339786661636928,0,0.0,0.0,0,-0.9949664673455912,-0.2312313616275787,0.7637351057180125,7,7,7,3,-1.2274552118945723,0,0.7745966692414834,-0.3614348867525347,0,0.0,0,0,0.0,0.0,7,2.0794415416798357,53,15,2,0.0,2.0794415416798357,2.0794415416798357,0.0
