epoch,mean_return_overall,mean_return_overall_stderr,success_rate_overall,success_rate_overall_stderr,success_rate_covered,success_rate_covered_stderr,success_rate_held_out,success_rate_held_out_stderr,weighted_success_rate,clip_frac,entropy
0,-4.0264200000000026,0.11137042501131089,0.368,0.021567382780485908,0.462,0.022296008611408458,0.226,0.01870422412183943,0.3205,0.0,0.5712270736694336
5,-4.238160000000002,0.11101552877323075,0.276,0.01999119806314769,0.336,0.02112363605064242,0.174,0.016954291492126704,0.24000000000000002,0.1033631517032184,0.47970042232135257
10,-3.319020000000002,0.11768628500891692,0.468,0.022314838112789438,0.532,0.022314838112789434,0.32,0.020861447696648473,0.41000000000000003,0.1547592227024424,0.48506299636823713
15,-3.147420000000003,0.12733600232141742,0.432,0.022152923057691506,0.586,0.0220274374360705,0.176,0.01703079563614102,0.3425,0.206053234183353,0.5137627662984627
20,-2.971240000000002,0.12422891823082105,0.488,0.022354238971613417,0.58,0.02207260745811423,0.324,0.020929596269398033,0.42900000000000005,0.2002205963912948,0.49319048803407056
25,-3.148260000000003,0.12735793004285217,0.432,0.022152923057691506,0.582,0.02205792374635473,0.178,0.017106489996489636,0.3425,0.20354613506167765,0.49050470907897387
30,-2.9704000000000024,0.1242040437344937,0.488,0.022354238971613417,0.582,0.02205792374635473,0.324,0.020929596269398033,0.4295,0.20996622142694,0.48717620655712907
35,-3.1144400000000023,0.1265359418220769,0.448,0.02223942445298439,0.588,0.02201163328787757,0.162,0.016477621187537962,0.34,0.20951725195074294,0.4856757678182212
40,-3.1144400000000023,0.1265359418220769,0.448,0.02223942445298439,0.588,0.02201163328787757,0.164,0.0165592270351004,0.341,0.21157595907587948,0.4837740158935452
45,-3.1144400000000023,0.1265359418220769,0.448,0.02223942445298439,0.586,0.0220274374360705,0.164,0.0165592270351004,0.3405,0.21848258944103002,0.4811669715049555
50,-3.1144400000000023,0.1265359418220769,0.448,0.02223942445298439,0.588,0.02201163328787757,0.164,0.0165592270351004,0.341,0.23066397587852858,0.48065110359491253
55,-3.107000000000003,0.12653014660546325,0.448,0.02223942445298439,0.582,0.02205792374635473,0.168,0.016719808611344807,0.3415,0.23375671414669166,0.4814400145596682
60,-2.9594800000000028,0.12654787022783126,0.47,0.022320394261750844,0.588,0.02201163328787757,0.226,0.01870422412183943,0.37749999999999995,0.23180233794553856,0.48416804912226236
65,-2.9669200000000027,0.1265710086362593,0.47,0.022320394261750844,0.588,0.02201163328787757,0.226,0.01870422412183943,0.37749999999999995,0.23811378153870305,0.48537363531038136
70,-2.9278800000000023,0.12686377816855376,0.474,0.022330427671677047,0.592,0.021978898971513564,0.226,0.01870422412183943,0.37949999999999995,0.2458413538548673,0.4801737895613676
75,-2.7452400000000026,0.12827597235959673,0.486,0.022351912669836556,0.594,0.021961967125009547,0.23,0.01882020191177555,0.385,0.24493124938828298,0.48055804157623644
80,-2.737800000000002,0.1282274195326414,0.486,0.022351912669836556,0.594,0.021961967125009547,0.232,0.018877287940803362,0.386,0.25037328142870857,0.4816902220860114
85,-2.7438200000000026,0.12716918186101545,0.496,0.022359964221796064,0.594,0.021961967125009547,0.31,0.02068332661831747,0.4275,0.23975512646926206,0.4857479461410884
90,-2.9481800000000025,0.1281690172202316,0.46,0.022289010745208053,0.596,0.021944657664224338,0.174,0.016954291492126704,0.351,0.24005587672018835,0.493185827664883
95,-2.909140000000002,0.12844675364056513,0.464,0.022302645582979615,0.596,0.021944657664224338,0.174,0.016954291492126704,0.352,0.24263812490833792,0.490724280180647
100,-2.7592200000000027,0.12781290069159695,0.486,0.022351912669836556,0.598,0.021926969694875762,0.246,0.019260529587734602,0.394,0.2439841093694759,0.493773266167155
105,-2.5371400000000026,0.12984878297773927,0.5,0.022360679774997897,0.598,0.021926969694875762,0.268,0.0198078772209442,0.4085,0.24530121994316387,0.4939861639732737
110,-2.7592200000000027,0.12781290069159695,0.486,0.022351912669836556,0.598,0.021926969694875762,0.242,0.019153902996517445,0.392,0.2408135656475028,0.4942647338028064
115,-2.8750400000000025,0.12447236639832963,0.49,0.022356207191739835,0.59,0.02199545407578575,0.31,0.02068332661831747,0.42500000000000004,0.2582094965074247,0.5054380299951845
120,-2.8538200000000025,0.12379044557315408,0.5,0.022360679774997897,0.592,0.021978898971513564,0.35,0.02133072900770154,0.448,0.2628226559048353,0.5024936624362941
125,-2.8659600000000025,0.12381105991307895,0.498,0.02236050088884415,0.586,0.0220274374360705,0.35,0.02133072900770154,0.446,0.2608680487118189,0.5014562224784316
130,-2.8659600000000025,0.12381105991307895,0.498,0.02236050088884415,0.586,0.0220274374360705,0.35,0.02133072900770154,0.446,0.26613090875093787,0.49996604110322496
135,-2.8659600000000025,0.12381105991307895,0.498,0.02236050088884415,0.586,0.0220274374360705,0.35,0.02133072900770154,0.446,0.26820720969905154,0.49762248240702434
140,-3.035260000000002,0.12150562565083159,0.488,0.022354238971613417,0.58,0.02207260745811423,0.354,0.021386163751360363,0.444,0.26939053800073975,0.496751081859508
145,-2.855160000000002,0.12388429258303905,0.498,0.02236050088884415,0.586,0.0220274374360705,0.362,0.021492138097453217,0.452,0.269886706623414,0.4962116896838885
150,-3.0364800000000023,0.12163400519262707,0.486,0.022351912669836556,0.578,0.02208691920571993,0.364,0.02151762068631195,0.448,0.27272011900963805,0.4961019510225483
155,-2.8572400000000027,0.12367065927211686,0.5,0.022360679774997897,0.586,0.0220274374360705,0.364,0.02151762068631195,0.45349999999999996,0.27502398457304167,0.4951272009275878
160,-2.8572400000000027,0.12367065927211686,0.5,0.022360679774997897,0.582,0.02205792374635473,0.364,0.02151762068631195,0.45249999999999996,0.27181536583546106,0.49405188687637325
165,-2.8604400000000023,0.12391601515865504,0.498,0.02236050088884415,0.586,0.0220274374360705,0.366,0.021542701780417423,0.454,0.27522787260825937,0.4929991485139332
170,-2.8604400000000023,0.12391601515865504,0.498,0.02236050088884415,0.582,0.02205792374635473,0.366,0.021542701780417423,0.453,0.27839652990622826,0.4928251631858637
175,-2.833080000000002,0.12362838924454216,0.504,0.022359964221796064,0.59,0.02199545407578575,0.384,0.02175058619899703,0.46549999999999997,0.2765774374241863,0.4941286309493955
180,-2.8196400000000024,0.12476124294347193,0.498,0.02236050088884415,0.574,0.02211442967837968,0.392,0.021832819332372078,0.464,0.2830162725526503,0.4949006269292752
185,-3.041720000000002,0.12161352097197096,0.484,0.022349228174592516,0.578,0.02208691920571993,0.368,0.021567382780485908,0.44949999999999996,0.2828953102717867,0.49272336528745697
190,-3.0143600000000026,0.12140217288335503,0.49,0.022356207191739835,0.582,0.02205792374635473,0.384,0.02175058619899703,0.46,0.2793880202005033,0.49311401475934474
195,-3.018880000000002,0.1215401032219408,0.488,0.022354238971613417,0.582,0.02205792374635473,0.384,0.02175058619899703,0.45949999999999996,0.2853102824918587,0.49225501297071605
200,-3.018880000000002,0.1215401032219408,0.488,0.022354238971613417,0.582,0.02205792374635473,0.384,0.02175058619899703,0.45949999999999996,0.28068176219281593,0.49170282173813495
205,-3.0327800000000025,0.12135031661763403,0.49,0.022356207191739835,0.582,0.02205792374635473,0.384,0.02175058619899703,0.46,0.2852097244158836,0.4925184264769545
210,-3.0205400000000022,0.12122518804604934,0.49,0.022356207191739835,0.582,0.02205792374635473,0.384,0.02175058619899703,0.46,0.28111960559911564,0.49426192627512133
215,-3.4237400000000027,0.12397043689848004,0.49,0.022356207191739835,0.586,0.0220274374360705,0.384,0.02175058619899703,0.461,0.28146824798165493,0.4944381388160833
220,-3.0160200000000024,0.12108702291823026,0.492,0.022357817424784557,0.578,0.02208691920571993,0.384,0.02175058619899703,0.45949999999999996,0.2820273616579692,0.4924875170011539
225,-3.150840000000002,0.11807925215210345,0.486,0.022351912669836556,0.584,0.02204286732709699,0.384,0.02175058619899703,0.45949999999999996,0.2880192677288159,0.49698445200920105
230,-3.705260000000003,0.11694343019084066,0.418,0.02205792374635473,0.464,0.022302645582979615,0.384,0.02175058619899703,0.4125,0.2911374919942218,0.5019277105302401
235,-3.904220000000003,0.11821932829787195,0.418,0.02205792374635473,0.464,0.022302645582979615,0.362,0.021492138097453217,0.40149999999999997,0.28992759973326226,0.5017203583234705
240,-3.8972600000000033,0.11820841164993302,0.418,0.02205792374635473,0.464,0.022302645582979615,0.384,0.02175058619899703,0.4125,0.2874525698578411,0.5003858589156174
245,-3.309760000000002,0.11625928902586677,0.476,0.02233490541730589,0.548,0.02225740326273485,0.384,0.02175058619899703,0.448,0.2874134553788489,0.49910148709038754
250,-3.7880400000000027,0.11719978974725179,0.456,0.022273930950777416,0.518,0.022346185356789647,0.386,0.0217717247823869,0.4365,0.2903760687270888,0.4987809329289492
255,-3.7880400000000027,0.11719978974725179,0.456,0.022273930950777416,0.518,0.022346185356789647,0.384,0.02175058619899703,0.4355,0.2917044593652497,0.49663572056334726
260,-3.7880400000000027,0.11719978974725179,0.456,0.022273930950777416,0.518,0.022346185356789647,0.384,0.02175058619899703,0.4355,0.29330364843349593,0.4960722067392766
265,-3.7880400000000027,0.11719978974725179,0.456,0.022273930950777416,0.518,0.022346185356789647,0.384,0.02175058619899703,0.4355,0.2916919473537186,0.49599681081564134
270,-3.791880000000003,0.11722299147863453,0.456,0.022273930950777416,0.524,0.02233490541730589,0.386,0.0217717247823869,0.438,0.2912319673131018,0.49504071260246996
275,-3.7965000000000027,0.11721815175133937,0.456,0.022273930950777416,0.524,0.02233490541730589,0.382,0.02172905888436036,0.436,0.29035504854389826,0.4952777731999001
