epoch,mean_return_overall,mean_return_overall_stderr,success_rate_overall,success_rate_overall_stderr,success_rate_covered,success_rate_covered_stderr,success_rate_held_out,success_rate_held_out_stderr,weighted_success_rate,clip_frac,entropy
0,-3.8275200000000025,0.11206835993803078,0.4,0.021908902300206645,0.462,0.022296008611408458,0.194,0.01768411716767337,0.3125,0.0,0.5712270736694336
5,-4.710560000000003,0.10277463195166413,0.188,0.01747317944737019,0.154,0.01614211882003103,0.2,0.01788854381999832,0.1855,0.0975879151696276,0.467286096693689
10,-4.974060000000004,0.0943682289374979,0.148,0.015880554146502572,0.156,0.01622738426241272,0.09,0.012798437404620925,0.121,0.10127568620088237,0.45470252942382183
15,-4.720640000000004,0.10325630237811163,0.162,0.016477621187537962,0.156,0.01622738426241272,0.134,0.015234434679370286,0.14650000000000002,0.10075072069281878,0.44324771043278327
20,-4.801160000000004,0.10134118860956794,0.146,0.015791390059142988,0.15,0.015968719422671314,0.09,0.012798437404620925,0.119,0.09372701639790401,0.4407742376666585
25,-4.738360000000004,0.10283544632469888,0.16,0.016395121225535356,0.156,0.01622738426241272,0.126,0.01484075469779081,0.14200000000000002,0.09424439769937472,0.4350772758923151
30,-4.798300000000004,0.10140295962150228,0.148,0.015880554146502572,0.154,0.01614211882003103,0.09,0.012798437404620925,0.1205,0.09555026672155256,0.43552503192142217
35,-4.627200000000004,0.10349555507363599,0.2,0.01788854381999832,0.222,0.018585801031970616,0.132,0.01513776733867977,0.1715,0.097838155400249,0.43857049458993697
40,-4.754100000000004,0.10248470900578299,0.158,0.01631171358257617,0.154,0.01614211882003103,0.126,0.01484075469779081,0.14100000000000001,0.10188642635817409,0.4353517545178332
45,-4.754100000000004,0.10248470900578299,0.158,0.01631171358257617,0.15,0.015968719422671314,0.126,0.01484075469779081,0.14,0.10815540611419366,0.435290619568669
50,-4.741820000000003,0.10262355760350554,0.162,0.016477621187537962,0.164,0.0165592270351004,0.126,0.01484075469779081,0.14450000000000002,0.11319023955429616,0.4368632617934555
55,-3.7722800000000025,0.11184520375590552,0.402,0.021926969694875762,0.526,0.022330427671677047,0.126,0.01484075469779081,0.29500000000000004,0.11062989701337343,0.4372639238528912
60,-3.8451800000000023,0.11255565883241955,0.378,0.02168483340955148,0.458,0.022281651644346298,0.18,0.017181385275931625,0.29900000000000004,0.1152595722669596,0.43324828888650585
65,-3.806760000000002,0.11206496243161831,0.392,0.021832819332372078,0.502,0.02236050088884415,0.152,0.016055902341506688,0.2995,0.12210121716943634,0.4294855786698663
70,-3.770880000000002,0.11250658670140173,0.398,0.02189045454073533,0.504,0.022359964221796064,0.152,0.016055902341506688,0.3015,0.12723349030490566,0.42824925622597937
75,-3.7961000000000023,0.11273454652412464,0.39,0.02181284025522582,0.482,0.022346185356789647,0.15,0.015968719422671314,0.293,0.1303992602141296,0.427936226014981
80,-3.752920000000002,0.11205297562849467,0.426,0.02211442967837968,0.504,0.022359964221796064,0.218,0.018464885594013304,0.34149999999999997,0.13194058604018188,0.42658065048492083
85,-3.7709600000000023,0.11155732049847751,0.408,0.021978898971513564,0.502,0.02236050088884415,0.176,0.01703079563614102,0.3155,0.1318222031636852,0.4274092626487651
90,-3.761540000000002,0.11223358346234884,0.422,0.022086919205719934,0.508,0.022357817424784557,0.224,0.018645321128905237,0.3445,0.13091398512110505,0.4262864148861166
95,-3.614080000000002,0.1149394219021482,0.412,0.02201163328787757,0.486,0.022351912669836556,0.22,0.018525657883055057,0.33449999999999996,0.12835221813035882,0.425763524033029
