effective_sample_beta,effective_sample_kl_k,prefix,best,best_overall,mean,std,final,csv_path,best_checkpoint_epoch,seconds_per_epoch,status,log_path
0.995,0.02,beta_kl_k_cross_effective_sample_beta_0_995_effective_sample_kl_k_0_02,0.4425,0.528,0.388360655737705,0.05621788943829336,0.41100000000000003,results\phase2\analysis\beta_kl_k_cross_sweep\beta_kl_k_cross_effective_sample_beta_0_995_effective_sample_kl_k_0_02.csv,,30.841181506315866,ran,results\phase2\analysis\beta_kl_k_cross_sweep\beta_kl_k_cross_effective_sample_beta_0_995_effective_sample_kl_k_0_02.log
0.995,0.05,beta_kl_k_cross_effective_sample_beta_0_995_effective_sample_kl_k_0_05,0.39149999999999996,0.5,0.3477459016393443,0.06198552404599665,0.353,results\phase2\analysis\beta_kl_k_cross_sweep\beta_kl_k_cross_effective_sample_beta_0_995_effective_sample_kl_k_0_05.csv,,30.902634761333466,ran,results\phase2\analysis\beta_kl_k_cross_sweep\beta_kl_k_cross_effective_sample_beta_0_995_effective_sample_kl_k_0_05.log
0.995,0.1,beta_kl_k_cross_effective_sample_beta_0_995_effective_sample_kl_k_0_1,0.403,0.492,0.3372786885245901,0.06957972193763089,0.2975,results\phase2\analysis\beta_kl_k_cross_sweep\beta_kl_k_cross_effective_sample_beta_0_995_effective_sample_kl_k_0_1.csv,,31.5274849041303,ran,results\phase2\analysis\beta_kl_k_cross_sweep\beta_kl_k_cross_effective_sample_beta_0_995_effective_sample_kl_k_0_1.log
0.995,0.2,beta_kl_k_cross_effective_sample_beta_0_995_effective_sample_kl_k_0_2,0.41300000000000003,0.47,0.3354344262295082,0.07959174346887558,0.2955,results\phase2\analysis\beta_kl_k_cross_sweep\beta_kl_k_cross_effective_sample_beta_0_995_effective_sample_kl_k_0_2.csv,,32.08359202782313,ran,results\phase2\analysis\beta_kl_k_cross_sweep\beta_kl_k_cross_effective_sample_beta_0_995_effective_sample_kl_k_0_2.log
0.995,0.5,beta_kl_k_cross_effective_sample_beta_0_995_effective_sample_kl_k_0_5,0.4295,0.496,0.3365819672131148,0.09315816211904844,0.393,results\phase2\analysis\beta_kl_k_cross_sweep\beta_kl_k_cross_effective_sample_beta_0_995_effective_sample_kl_k_0_5.csv,,32.61163925965627,ran,results\phase2\analysis\beta_kl_k_cross_sweep\beta_kl_k_cross_effective_sample_beta_0_995_effective_sample_kl_k_0_5.log
0.995,0.3,beta_kl_k_cross_effective_sample_beta_0_995_effective_sample_kl_k_0_3,0.42600000000000005,0.49,0.32599180327868854,0.077713871123676,0.3235,results\phase2\analysis\beta_kl_k_cross_sweep\beta_kl_k_cross_effective_sample_beta_0_995_effective_sample_kl_k_0_3.csv,,32.339806031386054,ran,results\phase2\analysis\beta_kl_k_cross_sweep\beta_kl_k_cross_effective_sample_beta_0_995_effective_sample_kl_k_0_3.log
0.999,0.2,beta_kl_k_cross_effective_sample_beta_0_999_effective_sample_kl_k_0_2,,,,,,,,,"FAILED: Unable to allocate 3.05 MiB for an array with shape (399490,) and data type float64",results\phase2\analysis\beta_kl_k_cross_sweep\beta_kl_k_cross_effective_sample_beta_0_999_effective_sample_kl_k_0_2.log
0.9999,0.02,beta_kl_k_cross_effective_sample_beta_0_9999_effective_sample_kl_k_0_02,,,,,,,,,"FAILED: Unable to allocate 3.05 MiB for an array with shape (399490,) and data type int64",results\phase2\analysis\beta_kl_k_cross_sweep\beta_kl_k_cross_effective_sample_beta_0_9999_effective_sample_kl_k_0_02.log
0.9999,0.05,beta_kl_k_cross_effective_sample_beta_0_9999_effective_sample_kl_k_0_05,,,,,,,,,"FAILED: Unable to allocate 3.05 MiB for an array with shape (399490,) and data type int64",results\phase2\analysis\beta_kl_k_cross_sweep\beta_kl_k_cross_effective_sample_beta_0_9999_effective_sample_kl_k_0_05.log
0.9999,0.1,beta_kl_k_cross_effective_sample_beta_0_9999_effective_sample_kl_k_0_1,,,,,,,,,"FAILED: Unable to allocate 12.2 MiB for an array with shape (399490, 8) and data type float32",results\phase2\analysis\beta_kl_k_cross_sweep\beta_kl_k_cross_effective_sample_beta_0_9999_effective_sample_kl_k_0_1.log
