epoch,mean_return_overall,mean_return_overall_stderr,success_rate_overall,success_rate_overall_stderr,success_rate_covered,success_rate_covered_stderr,success_rate_held_out,success_rate_held_out_stderr,weighted_success_rate,clip_frac,entropy
0,-3.8275200000000025,0.11206835993803078,0.4,0.021908902300206645,0.462,0.022296008611408458,0.194,0.01768411716767337,0.3125,0.0,0.5712270736694336
5,-4.019300000000003,0.10986994229542503,0.354,0.021386163751360363,0.438,0.02218810492133116,0.152,0.016055902341506688,0.274,0.09922425528602827,0.4586818868307484
10,-3.265460000000002,0.11829861865972917,0.474,0.022330427671677047,0.542,0.022281651644346295,0.276,0.01999119806314769,0.392,0.1463886869881567,0.43420988930333204
15,-3.0911400000000024,0.12763474527259427,0.44,0.022199099080818574,0.604,0.02187162545399861,0.16,0.016395121225535356,0.341,0.16678522920509242,0.42000069595696754
20,-2.9155800000000016,0.12493196759516766,0.494,0.02235906974809104,0.606,0.021852414054287,0.278,0.020035768016225385,0.41400000000000003,0.17069490557485173,0.4071386322655944
25,-3.049920000000003,0.12846131864183874,0.44,0.022199099080818574,0.604,0.02187162545399861,0.162,0.016477621187537962,0.342,0.1809543700438902,0.40451386364738884
30,-2.589860000000002,0.12510685497126056,0.528,0.022325590697672478,0.638,0.021492138097453217,0.308,0.020646355610615643,0.4455,0.1838219690922359,0.4026045389926869
35,-2.9041000000000023,0.12490864974052047,0.496,0.022359964221796064,0.604,0.02187162545399861,0.278,0.020035768016225385,0.41400000000000003,0.1840301304673782,0.4037002695057348
40,-2.861640000000002,0.12498233243462863,0.5,0.022360679774997897,0.604,0.02187162545399861,0.278,0.020035768016225385,0.41500000000000004,0.18699759461610918,0.406596270778254
45,-3.0760000000000023,0.12782281173562107,0.448,0.02223942445298439,0.606,0.021852414054287,0.134,0.015234434679370286,0.3305,0.188401827296334,0.40736522571846584
50,-3.0658400000000023,0.12778706268163467,0.45,0.022248595461286987,0.604,0.02187162545399861,0.134,0.015234434679370286,0.3305,0.19146484471642766,0.4120958883895239
55,-3.054180000000002,0.12678837744525334,0.464,0.022302645582979615,0.606,0.021852414054287,0.186,0.017401379255679705,0.36050000000000004,0.1912614571540345,0.41473912161791043
60,-3.288220000000003,0.12384239202793212,0.424,0.02210085971178497,0.576,0.022100859711784968,0.098,0.013296315279053818,0.299,0.1935830705254449,0.4273371337355138
65,-3.3006000000000024,0.12337951239974983,0.428,0.022127629787213995,0.576,0.022100859711784968,0.118,0.014427473791346842,0.31,0.19705960029482,0.4162581740931621
70,-3.291180000000003,0.12393654188817768,0.422,0.022086919205719934,0.574,0.02211442967837968,0.098,0.013296315279053818,0.298,0.19754248694263155,0.4160323551952037
75,-3.074840000000002,0.12209007964941304,0.468,0.022314838112789438,0.576,0.022100859711784968,0.178,0.017106489996489636,0.35,0.19898722004348235,0.41585449942177033
80,-3.0696600000000025,0.1220811835165437,0.47,0.022320394261750844,0.576,0.022100859711784968,0.178,0.017106489996489636,0.3504999999999999,0.1998995959205096,0.4143073502868357
85,-2.9174200000000017,0.12149936908148957,0.496,0.022359964221796064,0.636,0.02151762068631195,0.202,0.01795527777562909,0.384,0.20092839125751455,0.41651696604387184
90,-2.7206200000000016,0.12149575972518556,0.514,0.022351912669836556,0.634,0.021542701780417423,0.266,0.019760769215797242,0.42000000000000004,0.21871038504818324,0.4475977096627875
95,-2.8895000000000017,0.12102597365854995,0.504,0.022359964221796064,0.636,0.02151762068631195,0.236,0.018989681408596616,0.403,0.2227817166031056,0.4533821365185688
100,-3.238380000000002,0.11646305144207765,0.47,0.022320394261750844,0.564,0.02217674457624473,0.232,0.018877287940803362,0.37449999999999994,0.22449282080908756,0.46644804093564346
105,-3.2023000000000015,0.11371128800607276,0.484,0.022349228174592516,0.554,0.022229889788300795,0.292,0.0203340109176719,0.40549999999999997,0.23096942295446218,0.4679120915543949
110,-3.2392400000000015,0.11277943626743318,0.486,0.022351912669836556,0.61,0.02181284025522582,0.236,0.018989681408596616,0.392,0.23064707504068713,0.46507779273522504
115,-3.2627200000000016,0.11328714844676788,0.478,0.0223390241505756,0.61,0.02181284025522582,0.21,0.01821537811850196,0.377,0.2339595627280705,0.46262942255497896
120,-3.2748600000000017,0.11322202065322816,0.476,0.02233490541730589,0.61,0.02181284025522582,0.21,0.01821537811850196,0.37649999999999995,0.23296603201521582,0.46238737968127747
125,-3.2669400000000017,0.11348003556925784,0.476,0.02233490541730589,0.61,0.02181284025522582,0.202,0.01795527777562909,0.37249999999999994,0.23163294455204766,0.4652132585520625
