effective_sample_beta,effective_sample_kl_k,prefix,best,best_overall,mean,std,final,csv_path,best_checkpoint_epoch,seconds_per_epoch,status,log_path
0.9999,0.05,beta_kl_k_retry2_effective_sample_beta_0_9999_effective_sample_kl_k_0_05,0.41500000000000004,0.5,0.3284180327868852,0.0434932159775013,0.29,results\phase2\analysis\beta_kl_k_cross_sweep_retry2\beta_kl_k_retry2_effective_sample_beta_0_9999_effective_sample_kl_k_0_05.csv,,45.9831863896052,ran,results\phase2\analysis\beta_kl_k_cross_sweep_retry2\beta_kl_k_retry2_effective_sample_beta_0_9999_effective_sample_kl_k_0_05.log
0.9999,0.2,beta_kl_k_retry2_effective_sample_beta_0_9999_effective_sample_kl_k_0_2,0.4455,0.528,0.34391803278688515,0.04466851802704272,0.28500000000000003,results\phase2\analysis\beta_kl_k_cross_sweep_retry2\beta_kl_k_retry2_effective_sample_beta_0_9999_effective_sample_kl_k_0_2.csv,,45.56653963406881,ran,results\phase2\analysis\beta_kl_k_cross_sweep_retry2\beta_kl_k_retry2_effective_sample_beta_0_9999_effective_sample_kl_k_0_2.log
0.9999,0.1,beta_kl_k_retry2_effective_sample_beta_0_9999_effective_sample_kl_k_0_1,0.41500000000000004,0.5,0.3262295081967213,0.04180894778338842,0.301,results\phase2\analysis\beta_kl_k_cross_sweep_retry2\beta_kl_k_retry2_effective_sample_beta_0_9999_effective_sample_kl_k_0_1.csv,,44.466196648279826,ran,results\phase2\analysis\beta_kl_k_cross_sweep_retry2\beta_kl_k_retry2_effective_sample_beta_0_9999_effective_sample_kl_k_0_1.log
0.9999,0.3,beta_kl_k_retry2_effective_sample_beta_0_9999_effective_sample_kl_k_0_3,0.41300000000000003,0.496,0.30172131147540987,0.027873751779252217,0.3045,results\phase2\analysis\beta_kl_k_cross_sweep_retry2\beta_kl_k_retry2_effective_sample_beta_0_9999_effective_sample_kl_k_0_3.csv,,44.655302555561065,ran,results\phase2\analysis\beta_kl_k_cross_sweep_retry2\beta_kl_k_retry2_effective_sample_beta_0_9999_effective_sample_kl_k_0_3.log
0.9999,0.5,beta_kl_k_retry2_effective_sample_beta_0_9999_effective_sample_kl_k_0_5,0.374,0.486,0.29887704918032776,0.023779657927471137,0.296,results\phase2\analysis\beta_kl_k_cross_sweep_retry2\beta_kl_k_retry2_effective_sample_beta_0_9999_effective_sample_kl_k_0_5.csv,,45.91950271924337,ran,results\phase2\analysis\beta_kl_k_cross_sweep_retry2\beta_kl_k_retry2_effective_sample_beta_0_9999_effective_sample_kl_k_0_5.log
0.9999,0.02,beta_kl_k_retry2_effective_sample_beta_0_9999_effective_sample_kl_k_0_02,0.45400000000000007,0.53,0.330672131147541,0.03783978123239943,0.295,results\phase2\analysis\beta_kl_k_cross_sweep_retry2\beta_kl_k_retry2_effective_sample_beta_0_9999_effective_sample_kl_k_0_02.csv,,44.65390055974324,ran,results\phase2\analysis\beta_kl_k_cross_sweep_retry2\beta_kl_k_retry2_effective_sample_beta_0_9999_effective_sample_kl_k_0_02.log
0.99995,0.02,beta_kl_k_retry2_effective_sample_beta_0_99995_effective_sample_kl_k_0_02,0.4195,0.508,0.36802459016393435,0.040855785619410556,0.38449999999999995,results\phase2\analysis\beta_kl_k_cross_sweep_retry2\beta_kl_k_retry2_effective_sample_beta_0_99995_effective_sample_kl_k_0_02.csv,,14.22907103141149,ran,results\phase2\analysis\beta_kl_k_cross_sweep_retry2\beta_kl_k_retry2_effective_sample_beta_0_99995_effective_sample_kl_k_0_02.log
0.99995,0.1,beta_kl_k_retry2_effective_sample_beta_0_99995_effective_sample_kl_k_0_1,0.41400000000000003,0.496,0.35137704918032786,0.031666577509221625,0.38849999999999996,results\phase2\analysis\beta_kl_k_cross_sweep_retry2\beta_kl_k_retry2_effective_sample_beta_0_99995_effective_sample_kl_k_0_1.csv,,14.038271363576253,ran,results\phase2\analysis\beta_kl_k_cross_sweep_retry2\beta_kl_k_retry2_effective_sample_beta_0_99995_effective_sample_kl_k_0_1.log
0.99995,0.05,beta_kl_k_retry2_effective_sample_beta_0_99995_effective_sample_kl_k_0_05,0.4465,0.528,0.3661147540983607,0.04111360211278653,0.368,results\phase2\analysis\beta_kl_k_cross_sweep_retry2\beta_kl_k_retry2_effective_sample_beta_0_99995_effective_sample_kl_k_0_05.csv,,14.658326732317606,ran,results\phase2\analysis\beta_kl_k_cross_sweep_retry2\beta_kl_k_retry2_effective_sample_beta_0_99995_effective_sample_kl_k_0_05.log
0.99995,0.2,beta_kl_k_retry2_effective_sample_beta_0_99995_effective_sample_kl_k_0_2,0.43500000000000005,0.51,0.3483114754098361,0.04126329724408306,0.2945,results\phase2\analysis\beta_kl_k_cross_sweep_retry2\beta_kl_k_retry2_effective_sample_beta_0_99995_effective_sample_kl_k_0_2.csv,,14.433954322338105,ran,results\phase2\analysis\beta_kl_k_cross_sweep_retry2\beta_kl_k_retry2_effective_sample_beta_0_99995_effective_sample_kl_k_0_2.log
0.99995,0.5,beta_kl_k_retry2_effective_sample_beta_0_99995_effective_sample_kl_k_0_5,0.41500000000000004,0.5,0.3281147540983606,0.04544955018503327,0.28700000000000003,results\phase2\analysis\beta_kl_k_cross_sweep_retry2\beta_kl_k_retry2_effective_sample_beta_0_99995_effective_sample_kl_k_0_5.csv,,14.44765010356903,ran,results\phase2\analysis\beta_kl_k_cross_sweep_retry2\beta_kl_k_retry2_effective_sample_beta_0_99995_effective_sample_kl_k_0_5.log
