epoch,mean_return_overall,mean_return_overall_stderr,success_rate_overall,success_rate_overall_stderr,success_rate_covered,success_rate_covered_stderr,success_rate_held_out,success_rate_held_out_stderr,weighted_success_rate,clip_frac,entropy
0,-4.0264200000000026,0.11137042501131089,0.368,0.021567382780485908,0.462,0.022296008611408458,0.226,0.01870422412183943,0.3205,0.0,0.5712270736694336
5,-4.131880000000002,0.10995060405109207,0.32,0.020861447696648473,0.382,0.02172905888436036,0.23,0.01882020191177555,0.2905,0.06449645505901867,0.5167217190108339
10,-3.8949200000000026,0.11329571742656482,0.358,0.021439962686534694,0.43,0.022140460699813815,0.252,0.019416281827373642,0.323,0.08860367491679036,0.5024300021364626
15,-3.858140000000003,0.11304559027578222,0.37,0.021591665058535898,0.444,0.022219990999098087,0.276,0.01999119806314769,0.3415,0.11582988900568605,0.5085404181350583
20,-3.610220000000003,0.12240292930808488,0.382,0.02172905888436036,0.478,0.0223390241505756,0.204,0.018021320706318948,0.317,0.12297463257159276,0.5137810092908613
25,-3.2451400000000024,0.12523812662603998,0.44,0.022199099080818574,0.556,0.022219990999098087,0.272,0.019900552756142227,0.385,0.14786056152793706,0.5510632824164641
30,-3.0839000000000025,0.12576372919089204,0.46,0.022289010745208053,0.556,0.022219990999098087,0.342,0.021214900423994452,0.42500000000000004,0.16220856637889036,0.5486095347212034
35,-3.0920600000000023,0.12648289652281064,0.454,0.022265848288354075,0.562,0.022188104921331157,0.3,0.020493901531919195,0.404,0.17386082947387824,0.5468487144089295
40,-3.228100000000002,0.1266893822701809,0.434,0.02216501748251059,0.562,0.022188104921331157,0.226,0.01870422412183943,0.362,0.1765373989815593,0.54860944451238
45,-3.0920600000000023,0.12648289652281064,0.454,0.022265848288354075,0.562,0.022188104921331157,0.3,0.020493901531919195,0.404,0.17697820677389173,0.5485240886182375
50,-3.7511200000000025,0.1122171390260865,0.404,0.021944657664224338,0.522,0.0223390241505756,0.232,0.018877287940803362,0.34750000000000003,0.1829687269031047,0.5448981224917816
55,-3.232020000000002,0.12631829732544697,0.432,0.022152923057691506,0.526,0.022330427671677047,0.226,0.01870422412183943,0.3525,0.18527578783485846,0.5412791155035263
60,-3.174120000000002,0.1253212497990665,0.45,0.022248595461286987,0.552,0.02223942445298439,0.226,0.01870422412183943,0.3635,0.18575821250848934,0.5400331922634376
65,-3.174120000000002,0.1253212497990665,0.45,0.022248595461286987,0.552,0.02223942445298439,0.226,0.01870422412183943,0.3635,0.18970018910682027,0.538302581196485
70,-3.3042000000000025,0.12872999930086237,0.402,0.021926969694875762,0.53,0.022320394261750844,0.158,0.01631171358257617,0.312,0.1938495571169618,0.5394304488462794
75,-3.5107200000000023,0.11675429141235033,0.42,0.02207260745811423,0.552,0.02223942445298439,0.158,0.01631171358257617,0.322,0.19698006240203547,0.539079850774633
80,-3.5107200000000023,0.11675429141235033,0.42,0.02207260745811423,0.552,0.02223942445298439,0.16,0.016395121225535356,0.323,0.20010244450188844,0.536502985867226
85,-3.314300000000002,0.11695120444014258,0.46,0.022289010745208053,0.554,0.022229889788300795,0.314,0.020755914819636352,0.4105,0.1973674727757721,0.5371262162522885
90,-3.448720000000002,0.1165491858538704,0.44,0.022199099080818574,0.56,0.02219909908081857,0.242,0.019153902996517445,0.371,0.1991864112632386,0.5326424216055702
95,-3.433160000000002,0.11620233744981218,0.442,0.022209727598509622,0.56,0.02219909908081857,0.244,0.019207498535728174,0.3725,0.20223426027491948,0.5323005920797491
100,-3.300200000000002,0.1177296051127329,0.454,0.022265848288354075,0.558,0.022209727598509622,0.27,0.019854470529329156,0.388,0.2077144443282403,0.5310182579811531
105,-3.128180000000002,0.12846366714055776,0.436,0.02217674457624473,0.532,0.022314838112789434,0.314,0.020755914819636352,0.399,0.20742297220753217,0.531485015902284
110,-3.2697400000000023,0.11720746846852391,0.464,0.022302645582979615,0.592,0.021978898971513564,0.246,0.019260529587734602,0.387,0.20780711021085796,0.5309929991669566
115,-3.128640000000002,0.11706074107402543,0.486,0.022351912669836556,0.592,0.021978898971513564,0.32,0.020861447696648473,0.4295,0.20555798951858592,0.5312160071007034
120,-3.138260000000002,0.1171365764601306,0.484,0.022349228174592516,0.592,0.021978898971513564,0.32,0.020861447696648473,0.42900000000000005,0.20197705181839373,0.5309894718205906
125,-3.120180000000002,0.11743343789228017,0.486,0.022351912669836556,0.592,0.021978898971513564,0.32,0.020861447696648473,0.4295,0.2034988974070106,0.5300772893245521
130,-3.1438400000000017,0.11740877015282981,0.484,0.022349228174592516,0.588,0.02201163328787757,0.32,0.020861447696648473,0.42800000000000005,0.20551105984829696,0.5309070893620009
135,-3.126140000000002,0.11700082136805717,0.482,0.022346185356789647,0.592,0.021978898971513564,0.322,0.020895741192884256,0.4295,0.20515706616857737,0.5299952958998658
140,-3.143920000000002,0.11654968239853776,0.48,0.022342784070030305,0.588,0.02201163328787757,0.322,0.020895741192884256,0.42800000000000005,0.20570320584963409,0.5302024021849733
145,-3.108000000000002,0.1167465631185776,0.484,0.022349228174592516,0.592,0.021978898971513564,0.322,0.020895741192884256,0.43000000000000005,0.20639144348113067,0.5297471774189538
150,-3.117880000000002,0.11721193715317575,0.48,0.022342784070030305,0.592,0.021978898971513564,0.322,0.020895741192884256,0.42900000000000005,0.21380840992217337,0.5288625283358878
155,-3.327660000000002,0.11644359599737558,0.448,0.02223942445298439,0.528,0.022325590697672478,0.318,0.020826713614970557,0.403,0.21045322741055472,0.5301201995712759
160,-3.291380000000002,0.11658808082818767,0.458,0.022281651644346298,0.556,0.022219990999098087,0.316,0.020791536739741004,0.4115,0.209824816442544,0.5292614495273128
165,-3.1130200000000023,0.11723497668869996,0.48,0.022342784070030305,0.588,0.02201163328787757,0.29,0.020292855885754472,0.41200000000000003,0.20891763786334858,0.52986298722002
