epoch,mean_return_overall,mean_return_overall_stderr,success_rate_overall,success_rate_overall_stderr,success_rate_covered,success_rate_covered_stderr,success_rate_held_out,success_rate_held_out_stderr,weighted_success_rate,clip_frac,entropy
0,-4.0264200000000026,0.11137042501131089,0.368,0.021567382780485908,0.462,0.022296008611408458,0.226,0.01870422412183943,0.3205,0.0,0.5712270736694336
5,-3.955820000000002,0.11032420520991768,0.37,0.021591665058535898,0.406,0.021961967125009547,0.26,0.019616319736382767,0.324,0.13643428460861307,0.48929069368294004
10,-3.3247200000000015,0.11791504841707028,0.464,0.022302645582979615,0.532,0.022314838112789434,0.326,0.020963015050321363,0.41200000000000003,0.20808730227186617,0.5327758916023067
15,-3.1931400000000028,0.1267332280059181,0.428,0.022127629787213995,0.58,0.02207260745811423,0.184,0.017328819925199752,0.344,0.23344445282988333,0.5205614565848388
20,-2.9946600000000023,0.12451688146110962,0.482,0.022346185356789647,0.58,0.02207260745811423,0.332,0.02106067425321421,0.4315,0.23346932285836994,0.5121461466708908
25,-3.1163000000000025,0.12655738074091147,0.448,0.02223942445298439,0.586,0.0220274374360705,0.16,0.016395121225535356,0.3385,0.24210253381752037,0.5099388510656998
30,-3.1079400000000024,0.12638144449562216,0.45,0.022248595461286987,0.58,0.02207260745811423,0.164,0.0165592270351004,0.3395,0.26267824804530854,0.5154648150563774
35,-3.3188800000000027,0.12421146441130153,0.422,0.022086919205719934,0.568,0.022152923057691506,0.124,0.014739335127474372,0.3095,0.2678003960756214,0.5131334008160957
40,-3.315260000000003,0.12418223812123867,0.424,0.02210085971178497,0.57,0.022140460699813815,0.172,0.0168769665520792,0.3345,0.2626018285331323,0.5102299668329179
45,-3.3068800000000027,0.12396841424814638,0.428,0.022127629787213995,0.568,0.022152923057691506,0.172,0.0168769665520792,0.33499999999999996,0.2685685565863413,0.5095292745607927
50,-3.315260000000003,0.12418223812123867,0.424,0.02210085971178497,0.57,0.022140460699813815,0.172,0.0168769665520792,0.3345,0.26905309867583965,0.5079536964540524
55,-3.071260000000002,0.12534075643939613,0.47,0.022320394261750844,0.588,0.02201163328787757,0.276,0.01999119806314769,0.40249999999999997,0.2672315037914914,0.5074407830786659
60,-3.314840000000003,0.12417418873823989,0.424,0.02210085971178497,0.57,0.022140460699813815,0.154,0.01614211882003103,0.3255,0.27095657986070315,0.5075089695513211
65,-3.311560000000003,0.1239788979334791,0.428,0.022127629787213995,0.568,0.022152923057691506,0.166,0.016639951923007473,0.332,0.27199122696294,0.5066086852267948
70,-3.2922200000000026,0.1234041398948999,0.436,0.02217674457624473,0.568,0.022152923057691506,0.188,0.01747317944737019,0.345,0.27439572759960645,0.5064451208220011
