clip_eps,gae_lambda,entropy_coef,prefix,best,best_overall,mean,std,final,csv_path,best_checkpoint_epoch,status,log_path
0.5,0.85,0.003,cross_clip_gae_entropy_clip_0_5_gae_0_85_ent_0_003,0.4315,0.492,0.3682049180327869,0.02802459887449779,0.3745,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_5_gae_0_85_ent_0_003.csv,,ran,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_5_gae_0_85_ent_0_003.log
0.5,0.9,0.01,cross_clip_gae_entropy_clip_0_5_gae_0_9_ent_0_01,0.468,0.518,0.41159016393442627,0.04711471003454594,0.38349999999999995,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_5_gae_0_9_ent_0_01.csv,,ran,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_5_gae_0_9_ent_0_01.log
0.5,0.9,0.0,cross_clip_gae_entropy_clip_0_5_gae_0_9_ent_0_0,0.44100000000000006,0.5,0.37359836065573765,0.04418925394181742,0.39549999999999996,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_5_gae_0_9_ent_0_0.csv,,ran,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_5_gae_0_9_ent_0_0.log
0.5,0.85,0.0,cross_clip_gae_entropy_clip_0_5_gae_0_85_ent_0_0,0.43900000000000006,0.508,0.3745901639344262,0.0475982762465128,0.28550000000000003,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_5_gae_0_85_ent_0_0.csv,,ran,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_5_gae_0_85_ent_0_0.log
0.5,0.9,0.003,cross_clip_gae_entropy_clip_0_5_gae_0_9_ent_0_003,0.4305,0.492,0.3410409836065574,0.049601016041505915,0.271,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_5_gae_0_9_ent_0_003.csv,,ran,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_5_gae_0_9_ent_0_003.log
0.5,0.85,0.01,cross_clip_gae_entropy_clip_0_5_gae_0_85_ent_0_01,0.4195,0.474,0.2896885245901639,0.035272411780127605,0.269,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_5_gae_0_85_ent_0_01.csv,,ran,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_5_gae_0_85_ent_0_01.log
0.5,0.95,0.0,cross_clip_gae_entropy_clip_0_5_gae_0_95_ent_0_0,0.4305,0.486,0.38300819672131153,0.036088374374960736,0.40049999999999997,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_5_gae_0_95_ent_0_0.csv,,ran,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_5_gae_0_95_ent_0_0.log
0.5,0.95,0.003,cross_clip_gae_entropy_clip_0_5_gae_0_95_ent_0_003,0.4325,0.484,0.38404098360655736,0.03612331830941144,0.41700000000000004,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_5_gae_0_95_ent_0_003.csv,,ran,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_5_gae_0_95_ent_0_003.log
0.55,0.85,0.0,cross_clip_gae_entropy_clip_0_55_gae_0_85_ent_0_0,0.4275,0.486,0.3089426229508197,0.06371761258086703,0.213,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_55_gae_0_85_ent_0_0.csv,,ran,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_55_gae_0_85_ent_0_0.log
0.55,0.85,0.01,cross_clip_gae_entropy_clip_0_55_gae_0_85_ent_0_01,0.4335,0.498,0.3864426229508196,0.03483019503733504,0.38,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_55_gae_0_85_ent_0_01.csv,,ran,results\phase2\analysis\cross_clip_gae_entropy\cross_clip_gae_entropy_clip_0_55_gae_0_85_ent_0_01.log
