value_coef,max_grad_norm,prefix,best,best_overall,mean,std,final,csv_path,best_checkpoint_epoch,status,log_path
0.0,0.5,cross_value_maxgrad_val_0_0_maxgrad_0_5,0.4695,0.524,0.4037704918032787,0.04091297408020385,0.4275,results\phase2\analysis\cross_value_maxgrad\cross_value_maxgrad_val_0_0_maxgrad_0_5.csv,,ran,results\phase2\analysis\cross_value_maxgrad\cross_value_maxgrad_val_0_0_maxgrad_0_5.log
0.0,5.0,cross_value_maxgrad_val_0_0_maxgrad_5_0,0.44649999999999995,0.51,0.3892868852459016,0.038166571217099717,0.4175,results\phase2\analysis\cross_value_maxgrad\cross_value_maxgrad_val_0_0_maxgrad_5_0.csv,,ran,results\phase2\analysis\cross_value_maxgrad\cross_value_maxgrad_val_0_0_maxgrad_5_0.log
0.0,1.0,cross_value_maxgrad_val_0_0_maxgrad_1_0,0.4425,0.51,0.377172131147541,0.04254408353362247,0.3095,results\phase2\analysis\cross_value_maxgrad\cross_value_maxgrad_val_0_0_maxgrad_1_0.csv,,ran,results\phase2\analysis\cross_value_maxgrad\cross_value_maxgrad_val_0_0_maxgrad_1_0.log
0.0,2.0,cross_value_maxgrad_val_0_0_maxgrad_2_0,0.44649999999999995,0.51,0.37236065573770494,0.033980157340662426,0.3715,results\phase2\analysis\cross_value_maxgrad\cross_value_maxgrad_val_0_0_maxgrad_2_0.csv,,ran,results\phase2\analysis\cross_value_maxgrad\cross_value_maxgrad_val_0_0_maxgrad_2_0.log
0.0,0.05,cross_value_maxgrad_val_0_0_maxgrad_0_05,0.43300000000000005,0.486,0.35871311475409845,0.049006841275512525,0.29400000000000004,results\phase2\analysis\cross_value_maxgrad\cross_value_maxgrad_val_0_0_maxgrad_0_05.csv,,ran,results\phase2\analysis\cross_value_maxgrad\cross_value_maxgrad_val_0_0_maxgrad_0_05.log
0.0,0.1,cross_value_maxgrad_val_0_0_maxgrad_0_1,0.447,0.488,0.3590163934426229,0.041415975904345044,0.362,results\phase2\analysis\cross_value_maxgrad\cross_value_maxgrad_val_0_0_maxgrad_0_1.csv,,ran,results\phase2\analysis\cross_value_maxgrad\cross_value_maxgrad_val_0_0_maxgrad_0_1.log
0.5,0.5,cross_value_maxgrad_val_0_5_maxgrad_0_5,0.4715,0.516,0.41042622950819674,0.04565521475012226,0.4285,results\phase2\analysis\cross_value_maxgrad\cross_value_maxgrad_val_0_5_maxgrad_0_5.csv,,ran,results\phase2\analysis\cross_value_maxgrad\cross_value_maxgrad_val_0_5_maxgrad_0_5.log
0.5,0.05,cross_value_maxgrad_val_0_5_maxgrad_0_05,0.4445,0.514,0.3890409836065573,0.04685449952441132,0.29150000000000004,results\phase2\analysis\cross_value_maxgrad\cross_value_maxgrad_val_0_5_maxgrad_0_05.csv,,ran,results\phase2\analysis\cross_value_maxgrad\cross_value_maxgrad_val_0_5_maxgrad_0_05.log
0.5,0.1,cross_value_maxgrad_val_0_5_maxgrad_0_1,0.453,0.516,0.40036065573770485,0.05038114157330606,0.3765,results\phase2\analysis\cross_value_maxgrad\cross_value_maxgrad_val_0_5_maxgrad_0_1.csv,,ran,results\phase2\analysis\cross_value_maxgrad\cross_value_maxgrad_val_0_5_maxgrad_0_1.log
0.5,1.0,cross_value_maxgrad_val_0_5_maxgrad_1_0,0.4425,0.51,0.386,0.043514461197782656,0.3105,results\phase2\analysis\cross_value_maxgrad\cross_value_maxgrad_val_0_5_maxgrad_1_0.csv,,ran,results\phase2\analysis\cross_value_maxgrad\cross_value_maxgrad_val_0_5_maxgrad_1_0.log
0.5,2.0,cross_value_maxgrad_val_0_5_maxgrad_2_0,0.44649999999999995,0.51,0.3807213114754098,0.03821458323185926,0.368,results\phase2\analysis\cross_value_maxgrad\cross_value_maxgrad_val_0_5_maxgrad_2_0.csv,,ran,results\phase2\analysis\cross_value_maxgrad\cross_value_maxgrad_val_0_5_maxgrad_2_0.log
0.5,5.0,cross_value_maxgrad_val_0_5_maxgrad_5_0,0.44649999999999995,0.51,0.3895819672131147,0.038319618596730665,0.4175,results\phase2\analysis\cross_value_maxgrad\cross_value_maxgrad_val_0_5_maxgrad_5_0.csv,,ran,results\phase2\analysis\cross_value_maxgrad\cross_value_maxgrad_val_0_5_maxgrad_5_0.log
1.0,0.5,cross_value_maxgrad_val_1_0_maxgrad_0_5,0.46900000000000003,0.524,0.3949918032786885,0.03957550713544075,0.461,results\phase2\analysis\cross_value_maxgrad\cross_value_maxgrad_val_1_0_maxgrad_0_5.csv,,ran,results\phase2\analysis\cross_value_maxgrad\cross_value_maxgrad_val_1_0_maxgrad_0_5.log
1.0,0.05,cross_value_maxgrad_val_1_0_maxgrad_0_05,0.506,0.52,0.4135245901639344,0.05106983994406648,0.416,results\phase2\analysis\cross_value_maxgrad\cross_value_maxgrad_val_1_0_maxgrad_0_05.csv,,ran,results\phase2\analysis\cross_value_maxgrad\cross_value_maxgrad_val_1_0_maxgrad_0_05.log
