epoch,overall,covered,held_out,weighted_success_rate,weights
5,"{'mean_return': -4.753260000000003, 'std_return': 2.1552666592326832, 'stderr_return': 0.09638645519366308, 'mean_discounted_return': -4.753260000000003, 'success_rate': 0.232, 'success_rate_stderr': 0.018877287940803362, 'mean_length': 163.562, 'n_episodes': 500}","{'mean_return': -4.394460000000003, 'std_return': 2.4296262898643515, 'stderr_return': 0.10865619088114596, 'mean_discounted_return': -4.394460000000003, 'success_rate': 0.278, 'success_rate_stderr': 0.020035768016225385, 'mean_length': 152.664, 'n_episodes': 500}","{'mean_return': -5.570100000000004, 'std_return': 1.13764167908881, 'stderr_return': 0.0508768825695916, 'mean_discounted_return': -5.570100000000004, 'success_rate': 0.15, 'success_rate_stderr': 0.015968719422671314, 'mean_length': 190.82, 'n_episodes': 500}",0.2025,"(0.25, 0.25, 0.5)"
10,"{'mean_return': -3.8119000000000023, 'std_return': 2.6897612143088114, 'stderr_return': 0.12028977836873764, 'mean_discounted_return': -3.8119000000000023, 'success_rate': 0.378, 'success_rate_stderr': 0.02168483340955148, 'mean_length': 137.196, 'n_episodes': 500}","{'mean_return': -3.063000000000002, 'std_return': 2.8710002786485433, 'stderr_return': 0.1283950357295796, 'mean_discounted_return': -3.063000000000002, 'success_rate': 0.482, 'success_rate_stderr': 0.022346185356789647, 'mean_length': 115.286, 'n_episodes': 500}","{'mean_return': -5.560020000000004, 'std_return': 1.1652137141314491, 'stderr_return': 0.05210994146225855, 'mean_discounted_return': -5.560020000000004, 'success_rate': 0.15, 'success_rate_stderr': 0.015968719422671314, 'mean_length': 190.484, 'n_episodes': 500}",0.29,"(0.25, 0.25, 0.5)"
15,"{'mean_return': -3.2769200000000014, 'std_return': 2.628959359442441, 'stderr_return': 0.11757063675595204, 'mean_discounted_return': -3.2769200000000014, 'success_rate': 0.48, 'success_rate_stderr': 0.022342784070030305, 'mean_length': 122.542, 'n_episodes': 500}","{'mean_return': -2.392220000000001, 'std_return': 2.5920831914890403, 'stderr_return': 0.11592148439008196, 'mean_discounted_return': -2.392220000000001, 'success_rate': 0.568, 'success_rate_stderr': 0.022152923057691506, 'mean_length': 94.78, 'n_episodes': 500}","{'mean_return': -5.184540000000003, 'std_return': 1.4964260049865519, 'stderr_return': 0.06692220540896739, 'mean_discounted_return': -5.184540000000003, 'success_rate': 0.264, 'success_rate_stderr': 0.019713142824014644, 'mean_length': 181.882, 'n_episodes': 500}",0.394,"(0.25, 0.25, 0.5)"
20,"{'mean_return': -3.0452000000000026, 'std_return': 2.868352725868981, 'stderr_return': 0.1282766335697972, 'mean_discounted_return': -3.0452000000000026, 'success_rate': 0.444, 'success_rate_stderr': 0.022219990999098087, 'mean_length': 113.582, 'n_episodes': 500}","{'mean_return': -1.7949800000000014, 'std_return': 2.6361039053117787, 'stderr_return': 0.11789015056059612, 'mean_discounted_return': -1.7949800000000014, 'success_rate': 0.604, 'success_rate_stderr': 0.02187162545399861, 'mean_length': 76.108, 'n_episodes': 500}","{'mean_return': -5.423140000000003, 'std_return': 1.401192613597434, 'stderr_return': 0.06266323867148917, 'mean_discounted_return': -5.423140000000003, 'success_rate': 0.16, 'success_rate_stderr': 0.016395121225535356, 'mean_length': 186.2, 'n_episodes': 500}",0.342,"(0.25, 0.25, 0.5)"
25,"{'mean_return': -3.1164800000000024, 'std_return': 2.8600354560040007, 'stderr_return': 0.1279046739536911, 'mean_discounted_return': -3.1164800000000024, 'success_rate': 0.438, 'success_rate_stderr': 0.02218810492133116, 'mean_length': 115.752, 'n_episodes': 500}","{'mean_return': -1.7949800000000014, 'std_return': 2.6361039053117787, 'stderr_return': 0.11789015056059612, 'mean_discounted_return': -1.7949800000000014, 'success_rate': 0.604, 'success_rate_stderr': 0.02187162545399861, 'mean_length': 76.108, 'n_episodes': 500}","{'mean_return': -5.543580000000004, 'std_return': 1.1712594006453085, 'stderr_return': 0.052380312782571416, 'mean_discounted_return': -5.543580000000004, 'success_rate': 0.15, 'success_rate_stderr': 0.015968719422671314, 'mean_length': 189.936, 'n_episodes': 500}",0.3355,"(0.25, 0.25, 0.5)"
30,"{'mean_return': -3.104980000000003, 'std_return': 2.8783675581134553, 'stderr_return': 0.12872451048343525, 'mean_discounted_return': -3.104980000000003, 'success_rate': 0.43, 'success_rate_stderr': 0.022140460699813815, 'mean_length': 115.094, 'n_episodes': 500}","{'mean_return': -1.7982600000000015, 'std_return': 2.640752841975184, 'stderr_return': 0.11809805732864541, 'mean_discounted_return': -1.7982600000000015, 'success_rate': 0.6, 'success_rate_stderr': 0.021908902300206645, 'mean_length': 76.08, 'n_episodes': 500}","{'mean_return': -5.409960000000003, 'std_return': 1.4119771947166881, 'stderr_return': 0.06314553980131943, 'mean_discounted_return': -5.409960000000003, 'success_rate': 0.164, 'success_rate_stderr': 0.0165592270351004, 'mean_length': 185.898, 'n_episodes': 500}",0.3395,"(0.25, 0.25, 0.5)"
35,"{'mean_return': -3.2704600000000026, 'std_return': 2.9168149732885036, 'stderr_return': 0.13044393116124653, 'mean_discounted_return': -3.2704600000000026, 'success_rate': 0.388, 'success_rate_stderr': 0.021792475765731623, 'mean_length': 119.168, 'n_episodes': 500}","{'mean_return': -1.8288400000000016, 'std_return': 2.6553238323037007, 'stderr_return': 0.11874969182612653, 'mean_discounted_return': -1.8288400000000016, 'success_rate': 0.596, 'success_rate_stderr': 0.021944657664224338, 'mean_length': 76.962, 'n_episodes': 500}","{'mean_return': -5.961120000000005, 'std_return': 0.32257517821432047, 'stderr_return': 0.014426000526826596, 'mean_discounted_return': -5.961120000000005, 'success_rate': 0.018, 'success_rate_stderr': 0.005945754788081997, 'mean_length': 199.322, 'n_episodes': 500}",0.255,"(0.25, 0.25, 0.5)"
40,"{'mean_return': -3.2546200000000027, 'std_return': 2.913822104315913, 'stderr_return': 0.1303100859918373, 'mean_discounted_return': -3.2546200000000027, 'success_rate': 0.394, 'success_rate_stderr': 0.021852414054287, 'mean_length': 118.846, 'n_episodes': 500}","{'mean_return': -1.8056000000000012, 'std_return': 2.647198640072182, 'stderr_return': 0.11838632218292794, 'mean_discounted_return': -1.8056000000000012, 'success_rate': 0.598, 'success_rate_stderr': 0.021926969694875762, 'mean_length': 76.256, 'n_episodes': 500}","{'mean_return': -5.921120000000005, 'std_return': 0.4118673883666943, 'stderr_return': 0.01841926956206469, 'mean_discounted_return': -5.921120000000005, 'success_rate': 0.04, 'success_rate_stderr': 0.008763560920082658, 'mean_length': 198.744, 'n_episodes': 500}",0.268,"(0.25, 0.25, 0.5)"
45,"{'mean_return': -3.218660000000003, 'std_return': 2.908079917127453, 'stderr_return': 0.1300532875739788, 'mean_discounted_return': -3.218660000000003, 'success_rate': 0.402, 'success_rate_stderr': 0.021926969694875762, 'mean_length': 117.922, 'n_episodes': 500}","{'mean_return': -1.7974200000000013, 'std_return': 2.640535844028634, 'stderr_return': 0.11808835288545615, 'mean_discounted_return': -1.7974200000000013, 'success_rate': 0.6, 'success_rate_stderr': 0.021908902300206645, 'mean_length': 76.052, 'n_episodes': 500}","{'mean_return': -5.889300000000005, 'std_return': 0.5342565956541878, 'stderr_return': 0.023892681306207652, 'mean_discounted_return': -5.889300000000005, 'success_rate': 0.048, 'success_rate_stderr': 0.009559916317625379, 'mean_length': 197.958, 'n_episodes': 500}",0.2745,"(0.25, 0.25, 0.5)"
50,"{'mean_return': -3.218660000000003, 'std_return': 2.908079917127453, 'stderr_return': 0.1300532875739788, 'mean_discounted_return': -3.218660000000003, 'success_rate': 0.402, 'success_rate_stderr': 0.021926969694875762, 'mean_length': 117.922, 'n_episodes': 500}","{'mean_return': -1.7974200000000013, 'std_return': 2.640535844028634, 'stderr_return': 0.11808835288545615, 'mean_discounted_return': -1.7974200000000013, 'success_rate': 0.6, 'success_rate_stderr': 0.021908902300206645, 'mean_length': 76.052, 'n_episodes': 500}","{'mean_return': -5.889300000000005, 'std_return': 0.5342565956541878, 'stderr_return': 0.023892681306207652, 'mean_discounted_return': -5.889300000000005, 'success_rate': 0.048, 'success_rate_stderr': 0.009559916317625379, 'mean_length': 197.958, 'n_episodes': 500}",0.2745,"(0.25, 0.25, 0.5)"
