epoch,overall,covered,held_out,weighted_success_rate,weights
5,"{'mean_return': -4.730980000000004, 'std_return': 2.2857623760137473, 'stderr_return': 0.10222240106356346, 'mean_discounted_return': -4.730980000000004, 'success_rate': 0.172, 'success_rate_stderr': 0.0168769665520792, 'mean_length': 160.436, 'n_episodes': 500}","{'mean_return': -4.3817800000000044, 'std_return': 2.593144776444233, 'stderr_return': 0.115968959912556, 'mean_discounted_return': -4.3817800000000044, 'success_rate': 0.164, 'success_rate_stderr': 0.0165592270351004, 'mean_length': 147.228, 'n_episodes': 500}","{'mean_return': -5.6128000000000045, 'std_return': 1.1129847078913555, 'stderr_return': 0.04977418929525635, 'mean_discounted_return': -5.6128000000000045, 'success_rate': 0.128, 'success_rate_stderr': 0.014940950438308804, 'mean_length': 191.488, 'n_episodes': 500}",0.148,"(0.25, 0.25, 0.5)"
10,"{'mean_return': -3.4579000000000013, 'std_return': 2.5108391804335084, 'stderr_return': 0.1122881417603837, 'mean_discounted_return': -3.4579000000000013, 'success_rate': 0.466, 'success_rate_stderr': 0.022308921982023246, 'mean_length': 128.094, 'n_episodes': 500}","{'mean_return': -2.745640000000001, 'std_return': 2.5418695856396747, 'stderr_return': 0.11367586366859071, 'mean_discounted_return': -2.745640000000001, 'success_rate': 0.536, 'success_rate_stderr': 0.022302645582979612, 'mean_length': 105.462, 'n_episodes': 500}","{'mean_return': -5.041840000000003, 'std_return': 1.6729122554396005, 'stderr_return': 0.07481491047110878, 'mean_discounted_return': -5.041840000000003, 'success_rate': 0.28, 'success_rate_stderr': 0.020079840636817812, 'mean_length': 177.61, 'n_episodes': 500}",0.3905,"(0.25, 0.25, 0.5)"
15,"{'mean_return': -3.747160000000002, 'std_return': 2.490284147321348, 'stderr_return': 0.1113688927340127, 'mean_discounted_return': -3.747160000000002, 'success_rate': 0.412, 'success_rate_stderr': 0.02201163328787757, 'mean_length': 135.882, 'n_episodes': 500}","{'mean_return': -2.9296400000000014, 'std_return': 2.57487208816283, 'stderr_return': 0.11515178044997838, 'mean_discounted_return': -2.9296400000000014, 'success_rate': 0.508, 'success_rate_stderr': 0.022357817424784557, 'mean_length': 110.634, 'n_episodes': 500}","{'mean_return': -5.383900000000003, 'std_return': 1.298930248319751, 'stderr_return': 0.0580899266654729, 'mean_discounted_return': -5.383900000000003, 'success_rate': 0.214, 'success_rate_stderr': 0.01834142851579451, 'mean_length': 186.746, 'n_episodes': 500}",0.33699999999999997,"(0.25, 0.25, 0.5)"
20,"{'mean_return': -3.4782200000000016, 'std_return': 2.509331829710852, 'stderr_return': 0.11222073098674783, 'mean_discounted_return': -3.4782200000000016, 'success_rate': 0.462, 'success_rate_stderr': 0.022296008611408458, 'mean_length': 128.634, 'n_episodes': 500}","{'mean_return': -2.7673400000000012, 'std_return': 2.546305308559838, 'stderr_return': 0.11387423522816749, 'mean_discounted_return': -2.7673400000000012, 'success_rate': 0.532, 'success_rate_stderr': 0.022314838112789434, 'mean_length': 106.048, 'n_episodes': 500}","{'mean_return': -5.060240000000004, 'std_return': 1.6566554084661094, 'stderr_return': 0.07408788217245801, 'mean_discounted_return': -5.060240000000004, 'success_rate': 0.276, 'success_rate_stderr': 0.01999119806314769, 'mean_length': 178.086, 'n_episodes': 500}",0.3865,"(0.25, 0.25, 0.5)"
25,"{'mean_return': -3.4249000000000014, 'std_return': 2.5145077033089422, 'stderr_return': 0.11245220309091335, 'mean_discounted_return': -3.4249000000000014, 'success_rate': 0.472, 'success_rate_stderr': 0.022325590697672478, 'mean_length': 127.2, 'n_episodes': 500}","{'mean_return': -2.658160000000001, 'std_return': 2.5170172455507753, 'stderr_return': 0.11256443323181627, 'mean_discounted_return': -2.658160000000001, 'success_rate': 0.554, 'success_rate_stderr': 0.022229889788300795, 'mean_length': 103.164, 'n_episodes': 500}","{'mean_return': -5.060240000000004, 'std_return': 1.6566554084661094, 'stderr_return': 0.07408788217245801, 'mean_discounted_return': -5.060240000000004, 'success_rate': 0.276, 'success_rate_stderr': 0.01999119806314769, 'mean_length': 178.086, 'n_episodes': 500}",0.3945,"(0.25, 0.25, 0.5)"
30,"{'mean_return': -3.601580000000002, 'std_return': 2.5615250347400496, 'stderr_return': 0.11455488207492522, 'mean_discounted_return': -3.601580000000002, 'success_rate': 0.414, 'success_rate_stderr': 0.0220274374360705, 'mean_length': 131.098, 'n_episodes': 500}","{'mean_return': -2.683440000000001, 'std_return': 2.5161416824972336, 'stderr_return': 0.11252527686169013, 'mean_discounted_return': -2.683440000000001, 'success_rate': 0.552, 'success_rate_stderr': 0.02223942445298439, 'mean_length': 103.938, 'n_episodes': 500}","{'mean_return': -5.423140000000003, 'std_return': 1.401192613597434, 'stderr_return': 0.06266323867148917, 'mean_discounted_return': -5.423140000000003, 'success_rate': 0.16, 'success_rate_stderr': 0.016395121225535356, 'mean_length': 186.2, 'n_episodes': 500}",0.3215,"(0.25, 0.25, 0.5)"
35,"{'mean_return': -3.0340400000000027, 'std_return': 2.8799785551979395, 'stderr_return': 0.12879655646328445, 'mean_discounted_return': -3.0340400000000027, 'success_rate': 0.444, 'success_rate_stderr': 0.022219990999098087, 'mean_length': 113.21, 'n_episodes': 500}","{'mean_return': -1.7834000000000014, 'std_return': 2.6443928679377446, 'stderr_return': 0.11826084423848841, 'mean_discounted_return': -1.7834000000000014, 'success_rate': 0.604, 'success_rate_stderr': 0.02187162545399861, 'mean_length': 75.722, 'n_episodes': 500}","{'mean_return': -5.423140000000003, 'std_return': 1.401192613597434, 'stderr_return': 0.06266323867148917, 'mean_discounted_return': -5.423140000000003, 'success_rate': 0.16, 'success_rate_stderr': 0.016395121225535356, 'mean_length': 186.2, 'n_episodes': 500}",0.342,"(0.25, 0.25, 0.5)"
40,"{'mean_return': -3.2258200000000024, 'std_return': 2.8984858681042445, 'stderr_return': 0.1296242286580716, 'mean_discounted_return': -3.2258200000000024, 'success_rate': 0.412, 'success_rate_stderr': 0.02201163328787757, 'mean_length': 118.504, 'n_episodes': 500}","{'mean_return': -2.0830800000000016, 'std_return': 2.8290756995174258, 'stderr_return': 0.12652011155227466, 'mean_discounted_return': -2.0830800000000016, 'success_rate': 0.54, 'success_rate_stderr': 0.022289010745208053, 'mean_length': 83.514, 'n_episodes': 500}","{'mean_return': -5.586060000000004, 'std_return': 1.1449324331155994, 'stderr_return': 0.051202935001814234, 'mean_discounted_return': -5.586060000000004, 'success_rate': 0.138, 'success_rate_stderr': 0.01542439626046997, 'mean_length': 190.94, 'n_episodes': 500}",0.307,"(0.25, 0.25, 0.5)"
45,"{'mean_return': -3.225980000000003, 'std_return': 2.918072178613821, 'stderr_return': 0.13050015509262824, 'mean_discounted_return': -3.225980000000003, 'success_rate': 0.402, 'success_rate_stderr': 0.021926969694875762, 'mean_length': 118.166, 'n_episodes': 500}","{'mean_return': -1.8277200000000016, 'std_return': 2.6619658152575907, 'stderr_return': 0.11904673033393239, 'mean_discounted_return': -1.8277200000000016, 'success_rate': 0.6, 'success_rate_stderr': 0.021908902300206645, 'mean_length': 77.062, 'n_episodes': 500}","{'mean_return': -5.914380000000005, 'std_return': 0.44629341872808465, 'stderr_return': 0.019958848443735498, 'mean_discounted_return': -5.914380000000005, 'success_rate': 0.042, 'success_rate_stderr': 0.008970618707759236, 'mean_length': 198.588, 'n_episodes': 500}",0.2715,"(0.25, 0.25, 0.5)"
50,"{'mean_return': -2.887420000000002, 'std_return': 2.8517356019799616, 'stderr_return': 0.12753349319766955, 'mean_discounted_return': -2.887420000000002, 'success_rate': 0.478, 'success_rate_stderr': 0.0223390241505756, 'mean_length': 109.49, 'n_episodes': 500}","{'mean_return': -1.7733600000000012, 'std_return': 2.649071820543945, 'stderr_return': 0.11847009336030769, 'mean_discounted_return': -1.7733600000000012, 'success_rate': 0.606, 'success_rate_stderr': 0.021852414054287, 'mean_length': 75.456, 'n_episodes': 500}","{'mean_return': -5.198160000000003, 'std_return': 1.7080460808772135, 'stderr_return': 0.07638614291087106, 'mean_discounted_return': -5.198160000000003, 'success_rate': 0.21, 'success_rate_stderr': 0.01821537811850196, 'mean_length': 180.482, 'n_episodes': 500}",0.376,"(0.25, 0.25, 0.5)"
55,"{'mean_return': -2.8429400000000022, 'std_return': 2.8552304909411452, 'stderr_return': 0.12768978938348996, 'mean_discounted_return': -2.8429400000000022, 'success_rate': 0.48, 'success_rate_stderr': 0.022342784070030305, 'mean_length': 108.076, 'n_episodes': 500}","{'mean_return': -1.7843000000000016, 'std_return': 2.6616634854917347, 'stderr_return': 0.11903320973577088, 'mean_discounted_return': -1.7843000000000016, 'success_rate': 0.598, 'success_rate_stderr': 0.021926969694875762, 'mean_length': 75.546, 'n_episodes': 500}","{'mean_return': -5.1416600000000034, 'std_return': 1.7323190942779594, 'stderr_return': 0.07747166507052768, 'mean_discounted_return': -5.1416600000000034, 'success_rate': 0.232, 'success_rate_stderr': 0.018877287940803362, 'mean_length': 179.354, 'n_episodes': 500}",0.38549999999999995,"(0.25, 0.25, 0.5)"
