epoch,mean_return_overall,mean_return_overall_stderr,success_rate_overall,success_rate_overall_stderr,success_rate_covered,success_rate_covered_stderr,success_rate_held_out,success_rate_held_out_stderr,weighted_success_rate,clip_frac,entropy
0,-3.8275200000000025,0.11206835993803078,0.4,0.021908902300206645,0.462,0.022296008611408458,0.194,0.01768411716767337,0.3125,0.0,0.5712270736694336
5,-4.744640000000003,0.1017882829249026,0.168,0.016719808611344807,0.192,0.017614539448989292,0.124,0.014739335127474372,0.152,0.0908214963309128,0.4446526863191618
10,-3.8707200000000026,0.11210817527370619,0.374,0.021639038795658184,0.478,0.0223390241505756,0.124,0.014739335127474372,0.275,0.10356538431106814,0.4270356633699834
15,-3.880880000000003,0.11203278471590371,0.372,0.021615549958305478,0.478,0.0223390241505756,0.12,0.014532721699667961,0.27249999999999996,0.13101635262379654,0.4086900458627599
20,-3.520980000000002,0.11952159001285093,0.416,0.02204286732709699,0.52,0.022342784070030305,0.186,0.017401379255679705,0.32699999999999996,0.15140873700628518,0.4111574972233354
25,-3.2831800000000024,0.1288332106842022,0.4,0.021908902300206645,0.584,0.02204286732709699,0.104,0.013651666564928987,0.298,0.16048198578489048,0.4082531364089323
30,-3.295440000000003,0.12896935454905567,0.398,0.02189045454073533,0.582,0.02205792374635473,0.07,0.011410521460476731,0.28,0.16900478305341646,0.4027373296262972
35,-3.2664800000000027,0.13033289384955749,0.39,0.02181284025522582,0.598,0.021926969694875762,0.044,0.009172131704244111,0.269,0.1795688091343523,0.39751272486769795
40,-3.1449200000000026,0.12923508032728584,0.42,0.02207260745811423,0.596,0.021944657664224338,0.07,0.011410521460476731,0.28900000000000003,0.17977573855766343,0.3987507956826786
45,-3.0423200000000015,0.12662580635557677,0.484,0.022349228174592516,0.594,0.021961967125009547,0.238,0.01904499934365974,0.38849999999999996,0.1826883038502332,0.403574821030307
50,-3.0326200000000023,0.12636991837933592,0.488,0.022354238971613417,0.598,0.021926969694875762,0.238,0.01904499934365974,0.39049999999999996,0.18351478958687364,0.40417035280092645
55,-2.8666600000000027,0.13184327547812222,0.504,0.022359964221796064,0.6,0.021908902300206645,0.3,0.020493901531919195,0.42600000000000005,0.18574031070590707,0.40443572570008396
60,-2.8625600000000024,0.13171195425169283,0.506,0.02235906974809104,0.594,0.021961967125009547,0.298,0.020454632727086544,0.42400000000000004,0.18665649793913242,0.40650197107542946
65,-2.8854000000000024,0.13180782708170266,0.502,0.02236050088884415,0.594,0.021961967125009547,0.3,0.020493901531919195,0.42400000000000004,0.18586127297722477,0.40431568314829064
70,-2.859220000000002,0.13127171813913316,0.51,0.022356207191739835,0.594,0.021961967125009547,0.302,0.020532705618110828,0.42700000000000005,0.18820406051685534,0.4015614750444851
75,-2.7285200000000023,0.13243381599576456,0.518,0.022346185356789647,0.634,0.021542701780417423,0.3,0.020493901531919195,0.43800000000000006,0.18910265393664943,0.4028490109179434
