epoch,mean_return_overall,mean_return_overall_stderr,success_rate_overall,success_rate_overall_stderr,success_rate_covered,success_rate_covered_stderr,success_rate_held_out,success_rate_held_out_stderr,weighted_success_rate,clip_frac,entropy
0,-3.8275200000000025,0.11206835993803078,0.4,0.021908902300206645,0.462,0.022296008611408458,0.194,0.01768411716767337,0.3125,0.0,0.5712270736694336
5,-4.670340000000004,0.10314424544684993,0.202,0.01795527777562909,0.196,0.01775297158224504,0.198,0.01782111107647332,0.1985,0.07772619407063185,0.5284550935316361
10,-4.518720000000004,0.10911741164085603,0.188,0.01747317944737019,0.156,0.01622738426241272,0.2,0.01788854381999832,0.186,0.07877439264778446,0.5193113316182216
15,-4.310940000000004,0.11877890146318083,0.2,0.01788854381999832,0.154,0.01614211882003103,0.236,0.018989681408596616,0.2065,0.09180994524186731,0.5070659774644951
20,-4.236160000000004,0.11863658840678125,0.226,0.01870422412183943,0.236,0.018989681408596616,0.236,0.018989681408596616,0.23349999999999999,0.08449573128756845,0.504545130002659
25,-4.777780000000004,0.10317410209543876,0.142,0.015609996796924718,0.154,0.01614211882003103,0.112,0.014103616557464968,0.13,0.10293335448246518,0.4971026641905575
30,-4.737560000000004,0.10359449837129392,0.156,0.01622738426241272,0.196,0.01775297158224504,0.11,0.013992855319769442,0.143,0.10433697118677443,0.5009055279868295
35,-4.852740000000003,0.10142926493276,0.124,0.014739335127474372,0.15,0.015968719422671314,0.064,0.010945684080951725,0.1005,0.09919726783928773,0.5022204434314193
40,-4.2836400000000046,0.11859956450510271,0.212,0.018278730809331376,0.196,0.01775297158224504,0.23,0.01882020191177555,0.21700000000000003,0.09360112631210221,0.5017520434424176
45,-4.640460000000004,0.10560587472674056,0.176,0.01703079563614102,0.156,0.01622738426241272,0.164,0.0165592270351004,0.16499999999999998,0.11005207306772834,0.49267909434802404
50,-4.487080000000003,0.10901484186660101,0.208,0.018151363585141474,0.236,0.018989681408596616,0.202,0.01795527777562909,0.212,0.10315568330366591,0.4948875024141523
55,-4.304920000000004,0.11875993763555125,0.202,0.01795527777562909,0.156,0.01622738426241272,0.234,0.018933779337469845,0.20650000000000002,0.10558459198031954,0.49457682883945664
60,-4.317060000000004,0.11848443574073358,0.2,0.01788854381999832,0.156,0.01622738426241272,0.234,0.018933779337469845,0.20600000000000002,0.09828554643681994,0.49551155078800574
65,-4.304920000000004,0.11875993763555125,0.202,0.01795527777562909,0.154,0.01614211882003103,0.23,0.01882020191177555,0.20400000000000001,0.09644454830516462,0.49776914986870674
70,-4.559560000000003,0.106270088043626,0.202,0.01795527777562909,0.236,0.018989681408596616,0.166,0.016639951923007473,0.1925,0.10220781180704541,0.49528050596403966
75,-4.514920000000004,0.10910779068059266,0.19,0.017544229820656135,0.156,0.01622738426241272,0.192,0.017614539448989292,0.1825,0.08984532843962607,0.5006769615858507
80,-4.590640000000003,0.10556244398838076,0.196,0.01775297158224504,0.236,0.018989681408596616,0.168,0.016719808611344807,0.192,0.09025541442869414,0.5038496761425881
85,-4.590640000000003,0.10556244398838076,0.196,0.01775297158224504,0.236,0.018989681408596616,0.168,0.016719808611344807,0.192,0.09579080532732719,0.49989773074378574
90,-4.645240000000004,0.10515981116757495,0.178,0.017106489996489636,0.172,0.0168769665520792,0.166,0.016639951923007473,0.17049999999999998,0.09343885514863709,0.5004491218384224
95,-4.677560000000003,0.10482517680786434,0.168,0.016719808611344807,0.15,0.015968719422671314,0.164,0.0165592270351004,0.1615,0.08700025101203632,0.5002645535930313
100,-4.906160000000003,0.0977621241013104,0.184,0.017328819925199752,0.176,0.01703079563614102,0.166,0.016639951923007473,0.173,0.08705006806629732,0.4991943907615544
105,-4.947840000000004,0.09740600530152142,0.168,0.016719808611344807,0.15,0.015968719422671314,0.164,0.0165592270351004,0.1615,0.08958469361811398,0.49963504268831355
110,-4.726880000000004,0.10542829094318099,0.196,0.01775297158224504,0.15,0.015968719422671314,0.22,0.018525657883055057,0.1965,0.08578885730396549,0.5012547353152508
115,-4.326440000000004,0.11851091195666341,0.198,0.01782111107647332,0.15,0.015968719422671314,0.234,0.018933779337469845,0.20400000000000001,0.09253556491338161,0.5015041353914846
120,-4.3325600000000035,0.11821417382361568,0.198,0.01782111107647332,0.152,0.016055902341506688,0.224,0.018645321128905237,0.1995,0.08801638034054822,0.5033558498659935
125,-4.589500000000004,0.10809823634083962,0.178,0.017106489996489636,0.15,0.015968719422671314,0.2,0.01788854381999832,0.182,0.08585665315809653,0.5003198075951253
130,-4.632740000000004,0.10544598894600031,0.18,0.017181385275931625,0.17,0.016798809481626965,0.168,0.016719808611344807,0.17149999999999999,0.08618954966211075,0.4989620256622505
135,-4.623660000000004,0.10643054077096488,0.196,0.01775297158224504,0.15,0.015968719422671314,0.22,0.018525657883055057,0.1965,0.08300672491808338,0.49905135435297426
