beta,prefix,best,best_overall,mean,std,final,csv_path,best_checkpoint_epoch,seconds_per_epoch,status,log_path
,eff_sample_baseline,0.47200000000000003,0.534,0.4127459016393442,0.04954060817070676,0.416,results\phase2\analysis\effective_sample_weighting\eff_sample_baseline.csv,,24.198520333766936,ran,results\phase2\analysis\effective_sample_weighting\eff_sample_baseline.log
0.5,eff_sample_effective_sample_beta_0_5,0.34349999999999997,0.414,0.2245409836065574,0.06274945518236043,0.2235,results\phase2\analysis\effective_sample_weighting\eff_sample_effective_sample_beta_0_5.csv,,27.445604321956633,ran,results\phase2\analysis\effective_sample_weighting\eff_sample_effective_sample_beta_0_5.log
0.7,eff_sample_effective_sample_beta_0_7,0.346,0.42,0.23349180327868857,0.06876563408923085,0.225,results\phase2\analysis\effective_sample_weighting\eff_sample_effective_sample_beta_0_7.csv,,26.998680206934612,ran,results\phase2\analysis\effective_sample_weighting\eff_sample_effective_sample_beta_0_7.log
0.78,eff_sample_effective_sample_beta_0_78,0.3265,0.408,0.23296721311475407,0.06118904237773153,0.3255,results\phase2\analysis\effective_sample_weighting\eff_sample_effective_sample_beta_0_78.csv,,25.600798633098602,ran,results\phase2\analysis\effective_sample_weighting\eff_sample_effective_sample_beta_0_78.log
0.85,eff_sample_effective_sample_beta_0_85,0.349,0.424,0.23327868852459016,0.07259640283731718,0.346,results\phase2\analysis\effective_sample_weighting\eff_sample_effective_sample_beta_0_85.csv,,27.407487405935925,ran,results\phase2\analysis\effective_sample_weighting\eff_sample_effective_sample_beta_0_85.log
0.87,eff_sample_effective_sample_beta_0_87,0.3355,0.404,0.21751639344262294,0.06972218484893665,0.3355,results\phase2\analysis\effective_sample_weighting\eff_sample_effective_sample_beta_0_87.csv,,27.43453943014145,ran,results\phase2\analysis\effective_sample_weighting\eff_sample_effective_sample_beta_0_87.log
0.9,eff_sample_effective_sample_beta_0_9,0.37549999999999994,0.434,0.24077868852459017,0.0755422356803444,0.351,results\phase2\analysis\effective_sample_weighting\eff_sample_effective_sample_beta_0_9.csv,,20.124576627413433,ran,results\phase2\analysis\effective_sample_weighting\eff_sample_effective_sample_beta_0_9.log
0.92,eff_sample_effective_sample_beta_0_92,0.3755,0.45,0.24886885245901635,0.08079670484407889,0.3525,results\phase2\analysis\effective_sample_weighting\eff_sample_effective_sample_beta_0_92.csv,,16.818958466847736,ran,results\phase2\analysis\effective_sample_weighting\eff_sample_effective_sample_beta_0_92.log
0.94,eff_sample_effective_sample_beta_0_94,0.386,0.452,0.2787704918032786,0.08750445578038163,0.377,results\phase2\analysis\effective_sample_weighting\eff_sample_effective_sample_beta_0_94.csv,,17.21501832644145,ran,results\phase2\analysis\effective_sample_weighting\eff_sample_effective_sample_beta_0_94.log
0.96,eff_sample_effective_sample_beta_0_96,0.38149999999999995,0.452,0.2587786885245902,0.07283076985897763,0.2535,results\phase2\analysis\effective_sample_weighting\eff_sample_effective_sample_beta_0_96.csv,,16.947862224578856,ran,results\phase2\analysis\effective_sample_weighting\eff_sample_effective_sample_beta_0_96.log
0.98,eff_sample_effective_sample_beta_0_98,0.38249999999999995,0.448,0.27656557377049173,0.0780505432081159,0.304,results\phase2\analysis\effective_sample_weighting\eff_sample_effective_sample_beta_0_98.csv,,17.283110722700755,ran,results\phase2\analysis\effective_sample_weighting\eff_sample_effective_sample_beta_0_98.log
0.99,eff_sample_effective_sample_beta_0_99,0.3595,0.432,0.2577950819672131,0.07582196125624269,0.26849999999999996,results\phase2\analysis\effective_sample_weighting\eff_sample_effective_sample_beta_0_99.csv,,16.93403263648351,ran,results\phase2\analysis\effective_sample_weighting\eff_sample_effective_sample_beta_0_99.log
