epoch,mean_return_overall,mean_return_overall_stderr,success_rate_overall,success_rate_overall_stderr,success_rate_covered,success_rate_covered_stderr,success_rate_held_out,success_rate_held_out_stderr,weighted_success_rate,clip_frac,entropy
0,-3.8275200000000025,0.11206835993803078,0.4,0.021908902300206645,0.462,0.022296008611408458,0.194,0.01768411716767337,0.3125,0.0,0.5712270736694336
5,-4.187220000000003,0.10998326483242815,0.302,0.020532705618110828,0.348,0.02130239423163509,0.136,0.01532997064576446,0.23049999999999998,0.1033631517032184,0.47970042232135257
10,-3.276000000000002,0.118567084808559,0.474,0.022330427671677047,0.542,0.022281651644346295,0.276,0.01999119806314769,0.392,0.1547592227024424,0.48506299636823713
15,-3.0492200000000027,0.12843065359640596,0.444,0.022219990999098087,0.604,0.02187162545399861,0.16,0.016395121225535356,0.342,0.206053234183353,0.5137627662984627
20,-2.9155800000000016,0.12493196759516766,0.494,0.02235906974809104,0.606,0.021852414054287,0.278,0.020035768016225385,0.41400000000000003,0.2002205963912948,0.49319048803407056
25,-3.068940000000002,0.12826747581830722,0.44,0.022199099080818574,0.604,0.02187162545399861,0.162,0.016477621187537962,0.342,0.20354613506167765,0.49050470907897387
30,-2.908420000000002,0.12506086601011535,0.496,0.022359964221796064,0.604,0.02187162545399861,0.278,0.020035768016225385,0.41400000000000003,0.20996622142694,0.48717620655712907
35,-3.0848600000000026,0.12758744907239122,0.45,0.022248595461286987,0.604,0.02187162545399861,0.132,0.01513776733867977,0.3295,0.20951725195074294,0.4856757678182212
40,-3.085160000000003,0.12757189168778532,0.45,0.022248595461286987,0.604,0.02187162545399861,0.134,0.015234434679370286,0.3305,0.21157595907587948,0.4837740158935452
45,-3.095020000000002,0.12762022566662395,0.448,0.02223942445298439,0.606,0.021852414054287,0.134,0.015234434679370286,0.3305,0.21848258944103002,0.4811669715049555
50,-3.0848600000000026,0.12758744907239122,0.45,0.022248595461286987,0.604,0.02187162545399861,0.134,0.015234434679370286,0.3305,0.23066397587852858,0.48065110359491253
55,-3.0862600000000024,0.12766195214236709,0.448,0.02223942445298439,0.604,0.02187162545399861,0.138,0.01542439626046997,0.332,0.23375671414669166,0.4814400145596682
60,-2.8814600000000024,0.12736692245948328,0.474,0.022330427671677047,0.598,0.021926969694875762,0.21,0.01821537811850196,0.373,0.23180233794553856,0.48416804912226236
65,-2.900480000000002,0.12722179191946645,0.474,0.022330427671677047,0.598,0.021926969694875762,0.21,0.01821537811850196,0.373,0.23811378153870305,0.48537363531038136
70,-2.8773000000000026,0.12736920593298848,0.476,0.02233490541730589,0.596,0.021944657664224338,0.21,0.01821537811850196,0.373,0.2458413538548673,0.4801737895613676
75,-2.7262400000000024,0.12743583689370908,0.498,0.02236050088884415,0.634,0.021542701780417423,0.212,0.018278730809331376,0.389,0.24493124938828298,0.48055804157623644
80,-2.6967800000000026,0.12761834532386016,0.498,0.02236050088884415,0.636,0.02151762068631195,0.212,0.018278730809331376,0.38949999999999996,0.25037328142870857,0.4816902220860114
85,-2.666920000000002,0.12646762837659298,0.514,0.022351912669836556,0.636,0.02151762068631195,0.26,0.019616319736382767,0.4175,0.23975512646926206,0.4857479461410884
90,-2.899800000000002,0.12855998102053384,0.47,0.022320394261750844,0.632,0.021567382780485908,0.14,0.01551773179301666,0.3455,0.24005587672018835,0.493185827664883
95,-2.9011800000000023,0.12850225840505694,0.47,0.022320394261750844,0.634,0.021542701780417423,0.14,0.01551773179301666,0.34600000000000003,0.24263812490833792,0.490724280180647
100,-2.6595800000000023,0.1268563725131695,0.504,0.022359964221796064,0.634,0.021542701780417423,0.218,0.018464885594013304,0.39349999999999996,0.2439841093694759,0.493773266167155
105,-2.4376400000000022,0.12950523410580758,0.516,0.022349228174592516,0.634,0.021542701780417423,0.25,0.019364916731037084,0.4125,0.24530121994316387,0.4939861639732737
110,-2.648180000000002,0.12697174242799072,0.504,0.022359964221796064,0.636,0.02151762068631195,0.216,0.01840347793217358,0.393,0.2408135656475028,0.4942647338028064
115,-2.8099200000000017,0.12174303753069421,0.518,0.022346185356789647,0.616,0.02175058619899703,0.286,0.020209106858047932,0.4265,0.2582094965074247,0.5054380299951845
120,-2.7888200000000016,0.12131965387026136,0.522,0.0223390241505756,0.616,0.02175058619899703,0.322,0.020895741192884256,0.4455,0.2628226559048353,0.5024936624362941
125,-2.8009600000000017,0.12135369362652305,0.52,0.022342784070030305,0.616,0.02175058619899703,0.322,0.020895741192884256,0.44500000000000006,0.2608680487118189,0.5014562224784316
130,-2.8019200000000017,0.12131659337122859,0.52,0.022342784070030305,0.616,0.02175058619899703,0.324,0.020929596269398033,0.44600000000000006,0.26613090875093787,0.49996604110322496
135,-2.8009600000000017,0.12135369362652305,0.52,0.022342784070030305,0.616,0.02175058619899703,0.324,0.020929596269398033,0.44600000000000006,0.26820720969905154,0.49762248240702434
140,-2.9018400000000018,0.11887516657738076,0.518,0.022346185356789647,0.606,0.021852414054287,0.328,0.02099599961897504,0.44500000000000006,0.26939053800073975,0.496751081859508
145,-2.7649800000000018,0.12061538375845772,0.53,0.022320394261750844,0.616,0.02175058619899703,0.336,0.02112363605064242,0.4545,0.269886706623414,0.4962116896838885
150,-2.8658600000000014,0.11818280636708549,0.528,0.022325590697672478,0.606,0.021852414054287,0.34,0.021184900282984576,0.4535,0.27272011900963805,0.4961019510225483
155,-2.7649800000000018,0.12061538375845772,0.53,0.022320394261750844,0.616,0.02175058619899703,0.34,0.021184900282984576,0.4565,0.27502398457304167,0.4951272009275878
160,-2.788720000000002,0.12071591081212128,0.526,0.022330427671677047,0.616,0.02175058619899703,0.34,0.021184900282984576,0.4555,0.27181536583546106,0.49405188687637325
165,-2.7649800000000018,0.12061538375845772,0.53,0.022320394261750844,0.616,0.02175058619899703,0.34,0.021184900282984576,0.4565,0.27522787260825937,0.4929991485139332
170,-2.788720000000002,0.12071591081212128,0.526,0.022330427671677047,0.616,0.02175058619899703,0.34,0.021184900282984576,0.4555,0.27839652990622826,0.4928251631858637
175,-2.7845000000000018,0.12056490990333806,0.528,0.022325590697672478,0.616,0.02175058619899703,0.346,0.021273645667821018,0.459,0.2765774374241863,0.4941286309493955
180,-2.6846000000000023,0.12180836457320993,0.534,0.022308921982023246,0.606,0.021852414054287,0.374,0.021639038795658184,0.47200000000000003,0.2830162725526503,0.4949006269292752
185,-2.8818400000000013,0.11804749734238343,0.526,0.022330427671677047,0.606,0.021852414054287,0.34,0.021184900282984576,0.45300000000000007,0.2828953102717867,0.49272336528745697
190,-2.9013600000000013,0.11795725454926469,0.524,0.02233490541730589,0.606,0.021852414054287,0.346,0.021273645667821018,0.45549999999999996,0.2793880202005033,0.49311401475934474
195,-2.9013600000000013,0.11795725454926469,0.524,0.02233490541730589,0.606,0.021852414054287,0.346,0.021273645667821018,0.45549999999999996,0.2853102824918587,0.49225501297071605
200,-2.9023200000000013,0.11792206085037703,0.524,0.02233490541730589,0.606,0.021852414054287,0.346,0.021273645667821018,0.45549999999999996,0.28068176219281593,0.49170282173813495
205,-2.920380000000001,0.11779410558767371,0.524,0.02233490541730589,0.606,0.021852414054287,0.346,0.021273645667821018,0.45549999999999996,0.2852097244158836,0.4925184264769545
210,-2.9333200000000015,0.11767901918014112,0.524,0.02233490541730589,0.604,0.02187162545399861,0.346,0.021273645667821018,0.455,0.28111960559911564,0.49426192627512133
215,-3.3225800000000016,0.12175768348322018,0.53,0.022320394261750844,0.606,0.021852414054287,0.346,0.021273645667821018,0.457,0.28146824798165493,0.4944381388160833
220,-2.921920000000002,0.11785634572308792,0.524,0.02233490541730589,0.602,0.02189045454073533,0.346,0.021273645667821018,0.45449999999999996,0.2820273616579692,0.4924875170011539
225,-2.989800000000001,0.11492469499633239,0.528,0.022325590697672478,0.598,0.021926969694875762,0.346,0.021273645667821018,0.45449999999999996,0.2880192677288159,0.49698445200920105
230,-3.533880000000002,0.11536444639142522,0.47,0.022320394261750844,0.5,0.022360679774997897,0.346,0.021273645667821018,0.4155,0.2911374919942218,0.5019277105302401
235,-3.7165200000000023,0.11766010275025271,0.472,0.022325590697672478,0.5,0.022360679774997897,0.354,0.021386163751360363,0.42,0.28992759973326226,0.5017203583234705
240,-3.737120000000002,0.11742793284053,0.47,0.022320394261750844,0.5,0.022360679774997897,0.346,0.021273645667821018,0.4155,0.2874525698578411,0.5003858589156174
245,-3.1569200000000013,0.11382411092207145,0.514,0.022351912669836556,0.574,0.02211442967837968,0.346,0.021273645667821018,0.445,0.2874134553788489,0.49910148709038754
250,-3.6485200000000018,0.1164497574887987,0.498,0.02236050088884415,0.55,0.022248595461286987,0.346,0.021273645667821018,0.435,0.2903760687270888,0.4987809329289492
255,-3.6485200000000018,0.1164497574887987,0.498,0.02236050088884415,0.55,0.022248595461286987,0.346,0.021273645667821018,0.435,0.2917044593652497,0.49663572056334726
260,-3.6485200000000018,0.1164497574887987,0.498,0.02236050088884415,0.55,0.022248595461286987,0.346,0.021273645667821018,0.435,0.29330364843349593,0.4960722067392766
265,-3.6485200000000018,0.1164497574887987,0.498,0.02236050088884415,0.55,0.022248595461286987,0.346,0.021273645667821018,0.435,0.2916919473537186,0.49599681081564134
270,-3.6304800000000017,0.11651517471642922,0.502,0.02236050088884415,0.55,0.022248595461286987,0.346,0.021273645667821018,0.436,0.2912319673131018,0.49504071260246996
275,-3.634560000000002,0.116358717820368,0.502,0.02236050088884415,0.55,0.022248595461286987,0.342,0.021214900423994452,0.43400000000000005,0.29035504854389826,0.4952777731999001
280,-3.639640000000002,0.1166493195042304,0.498,0.02236050088884415,0.548,0.02225740326273485,0.346,0.021273645667821018,0.4345,0.2954085537594606,0.49434222131108413
285,-3.645960000000002,0.11603916647753043,0.502,0.02236050088884415,0.548,0.02225740326273485,0.342,0.021214900423994452,0.4335,0.29648481773345003,0.4929315298509323
290,-3.4722200000000014,0.11504152008383764,0.502,0.02236050088884415,0.55,0.022248595461286987,0.346,0.021273645667821018,0.436,0.2958033173455404,0.4926258660447208
295,-3.4943400000000016,0.11487639065012455,0.498,0.02236050088884415,0.55,0.022248595461286987,0.342,0.021214900423994452,0.43300000000000005,0.2910938732025335,0.494516952861814
300,-3.682220000000002,0.11039260184994293,0.472,0.022325590697672478,0.5,0.022360679774997897,0.346,0.021273645667821018,0.416,0.29780727960909126,0.49948438284184826
