epoch,mean_return_overall,mean_return_overall_stderr,success_rate_overall,success_rate_overall_stderr,success_rate_covered,success_rate_covered_stderr,success_rate_held_out,success_rate_held_out_stderr,weighted_success_rate,clip_frac,entropy
0,-3.8275200000000025,0.11206835993803078,0.4,0.021908902300206645,0.462,0.022296008611408458,0.194,0.01768411716767337,0.3125,0.0,0.5712270736694336
5,-4.118640000000002,0.10854457287584683,0.338,0.02115447943108031,0.41,0.02199545407578575,0.146,0.015791390059142988,0.26,0.0978078185834234,0.4567346895527641
10,-4.063520000000002,0.10781113866015897,0.36,0.02146625258399798,0.444,0.022219990999098087,0.2,0.01788854381999832,0.30100000000000005,0.14527769736148546,0.43087732381426624
15,-3.0911400000000024,0.12763474527259427,0.44,0.022199099080818574,0.604,0.02187162545399861,0.16,0.016395121225535356,0.341,0.1664749313191219,0.41638846129350826
20,-3.0801200000000026,0.12827613016925646,0.438,0.02218810492133116,0.606,0.021852414054287,0.162,0.016477621187537962,0.342,0.17015869850573212,0.4056622212243187
25,-3.068940000000002,0.12826747581830722,0.44,0.022199099080818574,0.604,0.02187162545399861,0.162,0.016477621187537962,0.342,0.18085411995706613,0.4002312141721788
30,-3.0988200000000026,0.12889263444898635,0.428,0.022127629787213995,0.598,0.021926969694875762,0.164,0.0165592270351004,0.3385,0.184852650853245,0.40101344724025273
35,-3.0686400000000025,0.12828287298310723,0.44,0.022199099080818574,0.604,0.02187162545399861,0.162,0.016477621187537962,0.342,0.19233575771627787,0.40907611982857545
40,-3.0449000000000024,0.12829191860752578,0.444,0.022219990999098087,0.604,0.02187162545399861,0.162,0.016477621187537962,0.343,0.19179446884525808,0.4030992992408454
45,-3.0533800000000024,0.12798994316429718,0.448,0.02223942445298439,0.6,0.021908902300206645,0.134,0.015234434679370286,0.329,0.1912619961350488,0.4012138093228068
50,-3.215140000000003,0.1308132056055505,0.394,0.021852414054287,0.598,0.021926969694875762,0.018,0.005945754788081997,0.257,0.19580370232625163,0.4036872384068601
55,-3.0265200000000023,0.1271404600400676,0.464,0.022302645582979615,0.598,0.021926969694875762,0.186,0.017401379255679705,0.35850000000000004,0.19647896596249062,0.4057784144844786
60,-3.1869600000000027,0.1300352226006478,0.41,0.02199545407578575,0.594,0.021961967125009547,0.07,0.011410521460476731,0.28600000000000003,0.19618603089808806,0.4087125986222653
65,-3.044220000000002,0.1269345184857138,0.464,0.022302645582979615,0.596,0.021944657664224338,0.186,0.017401379255679705,0.358,0.19690968714831045,0.40758425344800736
70,-3.022980000000002,0.1272146195969631,0.464,0.022302645582979615,0.598,0.021926969694875762,0.186,0.017401379255679705,0.35850000000000004,0.19924169510583858,0.40767644659820695
75,-3.0005000000000024,0.1271346148773025,0.468,0.022314838112789438,0.596,0.021944657664224338,0.186,0.017401379255679705,0.359,0.2002159765683482,0.405205968669559
80,-2.853800000000002,0.12785042792263163,0.486,0.022351912669836556,0.638,0.021492138097453217,0.188,0.01747317944737019,0.375,0.2027949523860869,0.4021661239010947
85,-2.8560200000000022,0.12776514046953505,0.486,0.022351912669836556,0.636,0.02151762068631195,0.188,0.01747317944737019,0.37449999999999994,0.20362120713086407,0.4010770728502573
90,-2.8560200000000022,0.12776514046953505,0.486,0.022351912669836556,0.636,0.02151762068631195,0.188,0.01747317944737019,0.37449999999999994,0.2065437820326587,0.39847662714641113
95,-3.007360000000003,0.13152592923374473,0.43,0.022140460699813815,0.636,0.02151762068631195,0.09,0.012798437404620925,0.3115,0.21034258272806702,0.3973157680966318
100,-2.9900400000000027,0.13138856265596344,0.434,0.02216501748251059,0.638,0.021492138097453217,0.094,0.013050976974924139,0.315,0.20804938126038008,0.401083597210567
105,-3.306380000000003,0.12438866102342298,0.42,0.02207260745811423,0.586,0.0220274374360705,0.148,0.015880554146502572,0.3255,0.21976836225224336,0.41498049681267624
110,-3.2144400000000024,0.12696498955538896,0.416,0.02204286732709699,0.624,0.021662132858977667,0.096,0.013174520864152897,0.308,0.21990668734512903,0.413003647789445
115,-3.2867000000000024,0.12259449016982787,0.432,0.022152923057691506,0.612,0.021792475765731623,0.148,0.015880554146502572,0.335,0.22220312269890177,0.4118893649011449
120,-3.3355400000000026,0.12357628500970576,0.414,0.0220274374360705,0.612,0.021792475765731623,0.092,0.012925633446759968,0.3025,0.2232547476362678,0.41138592169576543
125,-3.2808800000000025,0.12286597597056732,0.432,0.022152923057691506,0.612,0.021792475765731623,0.148,0.015880554146502572,0.335,0.2219062607823695,0.4107091450714133
130,-3.3445400000000025,0.12328233927371766,0.414,0.0220274374360705,0.612,0.021792475765731623,0.094,0.013050976974924139,0.3035,0.22208651074570468,0.4113385013133421
135,-3.3073800000000024,0.12237703163257403,0.428,0.022127629787213995,0.612,0.021792475765731623,0.138,0.01542439626046997,0.329,0.22344015639879092,0.41254256149273055
140,-3.3441000000000027,0.1234142405883536,0.41,0.02199545407578575,0.614,0.0217717247823869,0.084,0.012405160216619535,0.298,0.22127731084289037,0.4124167451371297
145,-3.3148200000000028,0.12282495648360728,0.422,0.022086919205719934,0.612,0.021792475765731623,0.104,0.013651666564928987,0.3105,0.222646278889419,0.4120036284943409
150,-3.515440000000002,0.11580920521616589,0.406,0.021961967125009547,0.61,0.02181284025522582,0.062,0.010784804124322332,0.28500000000000003,0.22323534439612017,0.41446081157069725
155,-3.5327600000000023,0.11578603009344446,0.402,0.021926969694875762,0.608,0.021832819332372078,0.062,0.010784804124322332,0.2835,0.22377031950863563,0.41464231040598415
160,-3.537680000000002,0.11572948299893174,0.402,0.021926969694875762,0.608,0.021832819332372078,0.062,0.010784804124322332,0.2835,0.2217179646311014,0.4131321865041465
165,-3.485440000000002,0.1153284319359282,0.418,0.02205792374635473,0.61,0.02181284025522582,0.088,0.012669333052690659,0.301,0.22575464754017555,0.41155002910994626
170,-3.5262400000000027,0.11555212038210301,0.406,0.021961967125009547,0.608,0.021832819332372078,0.074,0.011706750189527408,0.2905,0.22647533940436518,0.41076553885483114
175,-3.5262400000000027,0.11555212038210301,0.406,0.021961967125009547,0.608,0.021832819332372078,0.07,0.011410521460476731,0.2885,0.22616253911608844,0.4099822754778975
180,-3.503280000000002,0.11509583521222662,0.416,0.02204286732709699,0.608,0.021832819332372078,0.088,0.012669333052690659,0.3,0.22530344516172537,0.4096868243605414
185,-3.4990800000000024,0.11568129627212873,0.41,0.02199545407578575,0.61,0.02181284025522582,0.07,0.011410521460476731,0.29000000000000004,0.22843949422287987,0.40874161856209595
190,-3.5105200000000023,0.11534768423856642,0.412,0.02201163328787757,0.608,0.021832819332372078,0.088,0.012669333052690659,0.299,0.22717054527131203,0.40835777852949157
195,-3.5105200000000023,0.11534768423856642,0.412,0.02201163328787757,0.608,0.021832819332372078,0.088,0.012669333052690659,0.299,0.2270229035352454,0.40849850561128526
200,-3.549260000000002,0.11481164446518491,0.408,0.021978898971513564,0.606,0.021852414054287,0.088,0.012669333052690659,0.2975,0.22756411539943153,0.4075079992709444
205,-3.517060000000002,0.1151844152340065,0.412,0.02201163328787757,0.608,0.021832819332372078,0.088,0.012669333052690659,0.299,0.22826182365913866,0.406893332461987
210,-3.5408000000000026,0.11497953000425783,0.408,0.021978898971513564,0.608,0.021832819332372078,0.088,0.012669333052690659,0.298,0.22891714508376163,0.4052679380455665
215,-3.488280000000002,0.11541720358421453,0.416,0.02204286732709699,0.61,0.02181284025522582,0.086,0.012538261442480771,0.2995,0.2276632875337729,0.405797479093113
220,-3.5105200000000023,0.11534768423856642,0.412,0.02201163328787757,0.608,0.021832819332372078,0.088,0.012669333052690659,0.299,0.22862521097455402,0.40518377945638484
225,-3.488280000000002,0.11541720358421453,0.416,0.02204286732709699,0.61,0.02181284025522582,0.09,0.012798437404620925,0.3015,0.22870193848542722,0.40389651808503496
230,-3.5342600000000024,0.11514578630935667,0.408,0.021978898971513564,0.608,0.021832819332372078,0.09,0.012798437404620925,0.299,0.2285748549392787,0.40433515225519817
235,-3.488280000000002,0.11541720358421453,0.416,0.02204286732709699,0.61,0.02181284025522582,0.09,0.012798437404620925,0.3015,0.2297608396378486,0.4031149328213178
