epoch,mean_return_overall,mean_return_overall_stderr,success_rate_overall,success_rate_overall_stderr,success_rate_covered,success_rate_covered_stderr,success_rate_held_out,success_rate_held_out_stderr,weighted_success_rate,clip_frac,entropy
0,-4.0264200000000026,0.11137042501131089,0.368,0.021567382780485908,0.462,0.022296008611408458,0.226,0.01870422412183943,0.3205,0.0,0.5712270736694336
5,-4.166220000000002,0.10794073847811134,0.356,0.021413266915629666,0.434,0.02216501748251059,0.224,0.018645321128905237,0.3095,0.08090986577885835,0.5640321801977994
10,-4.017900000000003,0.11117811826074422,0.374,0.021639038795658184,0.466,0.022308921982023246,0.23,0.01882020191177555,0.325,0.09671919658293257,0.566288210847758
15,-4.006420000000003,0.11103771056357396,0.376,0.021662132858977667,0.472,0.022325590697672478,0.23,0.01882020191177555,0.327,0.11336540771573114,0.5760363993317863
20,-4.2343800000000025,0.10740418814552821,0.338,0.02115447943108031,0.408,0.021978898971513564,0.232,0.018877287940803362,0.3025,0.12560253997716975,0.5930855521248519
25,-4.006420000000003,0.11103771056357396,0.376,0.021662132858977667,0.472,0.022325590697672478,0.23,0.01882020191177555,0.327,0.15909165106260342,0.6155877381773197
30,-4.017900000000003,0.11117811826074422,0.374,0.021639038795658184,0.466,0.022308921982023246,0.23,0.01882020191177555,0.325,0.16795142567707588,0.616238632620641
35,-4.0176000000000025,0.11117561819032094,0.374,0.021639038795658184,0.472,0.022325590697672478,0.234,0.018933779337469845,0.3285,0.17060239368680957,0.6148482328191314
40,-4.011440000000002,0.11115930843973447,0.372,0.021615549958305478,0.466,0.022308921982023246,0.234,0.018933779337469845,0.3265,0.1695632807514287,0.615359653348269
45,-4.020260000000002,0.11123715325735384,0.372,0.021615549958305478,0.466,0.022308921982023246,0.236,0.018989681408596616,0.3275,0.16674110993103367,0.6153234205591152
50,-4.011440000000002,0.11115930843973447,0.372,0.021615549958305478,0.466,0.022308921982023246,0.234,0.018933779337469845,0.3265,0.17294926206359948,0.6160193436959858
55,-3.7948200000000023,0.11430767399960523,0.372,0.021615549958305478,0.466,0.022308921982023246,0.234,0.018933779337469845,0.3265,0.17167045748783638,0.6158287680966208
60,-3.7948200000000023,0.11430767399960523,0.372,0.021615549958305478,0.466,0.022308921982023246,0.234,0.018933779337469845,0.3265,0.18070678621015054,0.6162150555280139
65,-4.016280000000003,0.11118245330626603,0.374,0.021639038795658184,0.466,0.022308921982023246,0.23,0.01882020191177555,0.325,0.1831584474946504,0.6187364979480643
70,-4.016280000000003,0.11118245330626603,0.374,0.021639038795658184,0.466,0.022308921982023246,0.23,0.01882020191177555,0.325,0.18560968529884056,0.618125009009809
75,-4.016280000000003,0.11118245330626603,0.374,0.021639038795658184,0.466,0.022308921982023246,0.23,0.01882020191177555,0.325,0.18820921931604329,0.6196436310410117
80,-4.016280000000003,0.11118245330626603,0.374,0.021639038795658184,0.466,0.022308921982023246,0.23,0.01882020191177555,0.325,0.18645237890250557,0.6178787803894278
85,-4.016280000000003,0.11118245330626603,0.374,0.021639038795658184,0.466,0.022308921982023246,0.23,0.01882020191177555,0.325,0.18411756055352016,0.618886465830806
90,-4.013620000000002,0.11112069740241923,0.376,0.021662132858977667,0.472,0.022325590697672478,0.23,0.01882020191177555,0.327,0.18603825057492204,0.6177383611249587
95,-3.998980000000002,0.11099454364607307,0.382,0.02172905888436036,0.472,0.022325590697672478,0.27,0.019854470529329156,0.34850000000000003,0.1871873152076549,0.6186256899351038
100,-3.998980000000002,0.11099454364607307,0.382,0.02172905888436036,0.472,0.022325590697672478,0.27,0.019854470529329156,0.34850000000000003,0.1916967211607402,0.6189017382132403
105,-3.998980000000002,0.11099454364607307,0.382,0.02172905888436036,0.472,0.022325590697672478,0.27,0.019854470529329156,0.34850000000000003,0.1967599279963764,0.6176247786513358
110,-4.013620000000002,0.11112069740241923,0.376,0.021662132858977667,0.472,0.022325590697672478,0.23,0.01882020191177555,0.327,0.18882457929150864,0.6186612242693171
115,-3.998980000000002,0.11099454364607307,0.382,0.02172905888436036,0.472,0.022325590697672478,0.27,0.019854470529329156,0.34850000000000003,0.1944599892851025,0.6187618764297539
