epoch,mean_return_overall,mean_return_overall_stderr,success_rate_overall,success_rate_overall_stderr,success_rate_covered,success_rate_covered_stderr,success_rate_held_out,success_rate_held_out_stderr,weighted_success_rate,clip_frac,entropy
0,-4.0264200000000026,0.11137042501131089,0.368,0.021567382780485908,0.462,0.022296008611408458,0.226,0.01870422412183943,0.3205,0.0,0.5712270736694336
5,-3.989440000000003,0.11838519575014449,0.36,0.02146625258399798,0.434,0.02216501748251059,0.136,0.01532997064576446,0.2665,0.26038658651383084,0.44911854783363026
10,-4.002480000000004,0.12478674809129382,0.304,0.020571047615520213,0.46,0.022289010745208053,0.0,0.0,0.191,0.3211399097040935,0.4324960067324116
15,-3.676160000000003,0.12783359851306708,0.388,0.021792475765731623,0.49,0.022356207191739835,0.148,0.015880554146502572,0.2935,0.3241170754728983,0.4276342676626727
20,-3.714660000000003,0.1252982017779985,0.37,0.021591665058535898,0.486,0.022351912669836556,0.104,0.013651666564928987,0.266,0.3644439046158384,0.4704104276477794
25,-3.936740000000004,0.12457737172054971,0.354,0.021386163751360363,0.464,0.022302645582979615,0.104,0.013651666564928987,0.2565,0.37211392167895974,0.4626011292114233
30,-4.072320000000004,0.12487767949157297,0.32,0.020861447696648473,0.48,0.022342784070030305,0.002,0.0019979989989987483,0.201,0.36613679902054114,0.4674926683507158
35,-4.043580000000005,0.1261288720602861,0.32,0.020861447696648473,0.488,0.022354238971613417,0.002,0.0019979989989987483,0.203,0.3695620103076358,0.4657566307218773
40,-4.074360000000004,0.12631338955471041,0.32,0.020861447696648473,0.486,0.022351912669836556,0.002,0.0019979989989987483,0.2025,0.3693703647838962,0.4648538847942523
45,-3.8931800000000036,0.12953940626388566,0.336,0.02112363605064242,0.498,0.02236050088884415,0.044,0.009172131704244111,0.2305,0.3713803328168003,0.4635048899453546
50,-4.103100000000004,0.1250498955617318,0.32,0.020861447696648473,0.484,0.022349228174592516,0.0,0.0,0.201,0.3755593446681776,0.46056753805552747
55,-4.055680000000004,0.12320857549375377,0.334,0.02109236828807993,0.464,0.022302645582979615,0.082,0.012269963325128565,0.24050000000000002,0.3779116028360187,0.4595977858157589
60,-3.962760000000004,0.1296033887087835,0.338,0.02115447943108031,0.49,0.022356207191739835,0.088,0.012669333052690659,0.251,0.37494752654885727,0.4615989748977989
65,-4.002340000000004,0.12518061770417982,0.328,0.02099599961897504,0.484,0.022349228174592516,0.062,0.010784804124322332,0.234,0.3836625083221372,0.46329109327751883
70,-3.914640000000004,0.1283911933926935,0.338,0.02115447943108031,0.48,0.022342784070030305,0.082,0.012269963325128565,0.24550000000000002,0.383952171011356,0.46250873086240185
75,-4.010520000000004,0.12517389607741713,0.326,0.020963015050321363,0.478,0.0223390241505756,0.026,0.007116740827092132,0.21400000000000002,0.38756648691169426,0.4635278775209345
80,-3.990280000000004,0.12577710699169395,0.328,0.02099599961897504,0.486,0.022351912669836556,0.058,0.010453324829928513,0.2325,0.39183631671078306,0.4650977757174109
85,-4.088040000000004,0.12152174585974325,0.326,0.020963015050321363,0.48,0.022342784070030305,0.052,0.00992935043192655,0.2275,0.3885442332378341,0.467574090662864
90,-3.9052400000000036,0.12901545754211013,0.336,0.02112363605064242,0.488,0.022354238971613417,0.066,0.011103512957618413,0.23900000000000002,0.39167177413687504,0.4688956302606777
95,-3.9490400000000037,0.12561264807653733,0.342,0.021214900423994452,0.486,0.022351912669836556,0.078,0.011992997957141493,0.24600000000000002,0.39585929415991183,0.4764039587661443
100,-3.599320000000003,0.1317877683064708,0.41,0.02199545407578575,0.49,0.022356207191739835,0.278,0.020035768016225385,0.364,0.39791919473346266,0.4755720617028859
105,-3.972220000000004,0.1255823942405942,0.334,0.02109236828807993,0.486,0.022351912669836556,0.08,0.01213260071048248,0.24500000000000002,0.39779053276200693,0.47509894307647893
110,-3.754060000000003,0.12677363224582636,0.4,0.021908902300206645,0.488,0.022354238971613417,0.268,0.0198078772209442,0.356,0.3955610463017458,0.47596474594217625
115,-3.933200000000004,0.12642708380722867,0.364,0.02151762068631195,0.486,0.022351912669836556,0.18,0.017181385275931625,0.3025,0.39619580951735883,0.47635382413864136
120,-3.998840000000004,0.12430855686074078,0.336,0.02112363605064242,0.484,0.022349228174592516,0.084,0.012405160216619535,0.24700000000000003,0.39496532055829137,0.4768620777557784
125,-3.972220000000004,0.1255823942405942,0.334,0.02109236828807993,0.486,0.022351912669836556,0.076,0.011851075900524812,0.24300000000000002,0.39185287107037553,0.477742477344596
130,-3.9376200000000035,0.12370293234681232,0.362,0.021492138097453217,0.462,0.022296008611408458,0.202,0.01795527777562909,0.30700000000000005,0.3931189326427443,0.47071988352745636
135,-4.042080000000004,0.12610509009235124,0.332,0.02106067425321421,0.486,0.022351912669836556,0.058,0.010453324829928513,0.2335,0.39519053676585064,0.46952591176830294
140,-3.794800000000003,0.12807413290746897,0.394,0.021852414054287,0.486,0.022351912669836556,0.228,0.018762515822778138,0.334,0.395460719217634,0.46628896450095264
145,-3.719500000000003,0.12796223778912286,0.394,0.021852414054287,0.488,0.022354238971613417,0.224,0.018645321128905237,0.3325,0.3969947688286309,0.46797291116405954
150,-3.9626200000000034,0.12486383732370245,0.346,0.021273645667821018,0.486,0.022351912669836556,0.128,0.014940950438308804,0.272,0.3989238900148586,0.4631812370678769
155,-3.5880800000000033,0.13032501151812734,0.408,0.021978898971513564,0.49,0.022356207191739835,0.272,0.019900552756142227,0.3605,0.4003034836584601,0.4618336204952494
160,-3.597380000000003,0.12762300212422534,0.404,0.021944657664224338,0.488,0.022354238971613417,0.274,0.01994612744369192,0.36,0.4028632102258537,0.46052168280096256
