epoch,mean_return_overall,mean_return_overall_stderr,success_rate_overall,success_rate_overall_stderr,success_rate_covered,success_rate_covered_stderr,success_rate_held_out,success_rate_held_out_stderr,weighted_success_rate,clip_frac,entropy
0,-4.0264200000000026,0.11137042501131089,0.368,0.021567382780485908,0.462,0.022296008611408458,0.226,0.01870422412183943,0.3205,0.0,0.5712270736694336
5,-4.163560000000003,0.10788452091379942,0.358,0.021439962686534694,0.44,0.022199099080818574,0.224,0.018645321128905237,0.3115,0.08068191617832285,0.5634031364697818
10,-4.015240000000002,0.11111643750948831,0.376,0.021662132858977667,0.472,0.022325590697672478,0.23,0.01882020191177555,0.327,0.09787584542703125,0.5662038893672153
15,-4.009080000000003,0.11109985736804535,0.374,0.021639038795658184,0.466,0.022308921982023246,0.23,0.01882020191177555,0.325,0.11292741031485594,0.5765741997464661
20,-4.009080000000003,0.11109985736804535,0.374,0.021639038795658184,0.466,0.022308921982023246,0.23,0.01882020191177555,0.325,0.12289455569779392,0.5943949611655877
25,-4.017900000000003,0.11117811826074422,0.374,0.021639038795658184,0.466,0.022308921982023246,0.23,0.01882020191177555,0.325,0.15725488776984237,0.6148209899453915
30,-4.020260000000002,0.11123715325735384,0.372,0.021615549958305478,0.466,0.022308921982023246,0.234,0.018933779337469845,0.3265,0.16299736208636206,0.6156348384091062
35,-4.0176000000000025,0.11117561819032094,0.374,0.021639038795658184,0.472,0.022325590697672478,0.234,0.018933779337469845,0.3285,0.16555647267545362,0.6152541771445192
40,-4.011440000000002,0.11115930843973447,0.372,0.021615549958305478,0.466,0.022308921982023246,0.236,0.018989681408596616,0.3275,0.16616705883816982,0.6151196894777042
45,-4.020260000000002,0.11123715325735384,0.372,0.021615549958305478,0.466,0.022308921982023246,0.236,0.018989681408596616,0.3275,0.17110248916161358,0.6143308721010231
50,-3.7948200000000023,0.11430767399960523,0.372,0.021615549958305478,0.466,0.022308921982023246,0.236,0.018989681408596616,0.3275,0.17088562712636535,0.6151413319967711
55,-4.016280000000003,0.11118245330626603,0.374,0.021639038795658184,0.466,0.022308921982023246,0.234,0.018933779337469845,0.327,0.17766871581583127,0.6164864734302035
60,-4.016280000000003,0.11118245330626603,0.374,0.021639038795658184,0.466,0.022308921982023246,0.23,0.01882020191177555,0.325,0.18281350096283167,0.6164890725134581
65,-4.013620000000002,0.11112069740241923,0.376,0.021662132858977667,0.472,0.022325590697672478,0.234,0.018933779337469845,0.329,0.18104445652691392,0.6166757936282161
70,-4.016280000000003,0.11118245330626603,0.374,0.021639038795658184,0.466,0.022308921982023246,0.23,0.01882020191177555,0.325,0.18513650027110284,0.6174673897421261
75,-4.013620000000002,0.11112069740241923,0.376,0.021662132858977667,0.472,0.022325590697672478,0.23,0.01882020191177555,0.327,0.18245839082721255,0.6177964469013422
80,-4.016280000000003,0.11118245330626603,0.374,0.021639038795658184,0.466,0.022308921982023246,0.23,0.01882020191177555,0.325,0.18346578100413408,0.6178671049048395
85,-4.013620000000002,0.11112069740241923,0.376,0.021662132858977667,0.472,0.022325590697672478,0.23,0.01882020191177555,0.327,0.18300938131830619,0.6176545523360019
90,-4.013620000000002,0.11112069740241923,0.376,0.021662132858977667,0.472,0.022325590697672478,0.232,0.018877287940803362,0.328,0.1898252322248432,0.6181328932418799
95,-3.998980000000002,0.11099454364607307,0.382,0.02172905888436036,0.472,0.022325590697672478,0.27,0.019854470529329156,0.34850000000000003,0.18249835226682423,0.61717463635543
