epoch,mean_return_overall,mean_return_overall_stderr,success_rate_overall,success_rate_overall_stderr,success_rate_covered,success_rate_covered_stderr,success_rate_held_out,success_rate_held_out_stderr,weighted_success_rate,clip_frac,entropy
0,-4.0264200000000026,0.11137042501131089,0.368,0.021567382780485908,0.462,0.022296008611408458,0.226,0.01870422412183943,0.3205,0.0,0.5712270736694336
5,-4.131880000000002,0.10995060405109207,0.32,0.020861447696648473,0.382,0.02172905888436036,0.224,0.018645321128905237,0.2875,0.05314313279301367,0.536746504022707
10,-3.8949200000000026,0.11329571742656482,0.358,0.021439962686534694,0.43,0.022140460699813815,0.252,0.019416281827373642,0.323,0.09399665987105953,0.568276698164723
15,-3.9806800000000027,0.11136115604285016,0.35,0.02133072900770154,0.426,0.02211442967837968,0.276,0.01999119806314769,0.332,0.15130621550901818,0.5861270216166553
20,-3.5552000000000024,0.11794387275310246,0.424,0.02210085971178497,0.506,0.02235906974809104,0.268,0.0198078772209442,0.3665,0.1528555105209427,0.5860693262296942
25,-3.2451400000000024,0.12523812662603998,0.44,0.022199099080818574,0.556,0.022219990999098087,0.272,0.019900552756142227,0.385,0.15160142198386367,0.5848991587939436
30,-3.0671600000000026,0.12614657771338875,0.46,0.022289010745208053,0.556,0.022219990999098087,0.346,0.021273645667821018,0.427,0.15522694094184117,0.5897728017245555
35,-3.0665800000000027,0.12718355635537176,0.452,0.022257403262734853,0.562,0.022188104921331157,0.228,0.018762515822778138,0.3675,0.16120906840009921,0.5972330322791032
40,-3.2402600000000024,0.12736611584247995,0.424,0.02210085971178497,0.562,0.022188104921331157,0.156,0.01622738426241272,0.3245,0.1622938790491649,0.600532690964014
45,-3.0946400000000027,0.12688502882846353,0.448,0.02223942445298439,0.562,0.022188104921331157,0.228,0.018762515822778138,0.3665,0.16151601691837114,0.5996181853759908
50,-3.7602400000000027,0.1129113310735465,0.392,0.021832819332372078,0.524,0.02233490541730589,0.156,0.01622738426241272,0.307,0.1663983578123701,0.6007687250518554
55,-3.2151600000000027,0.12648216138570698,0.432,0.022152923057691506,0.558,0.022209727598509622,0.196,0.01775297158224504,0.34550000000000003,0.16705633562432887,0.5978993398115315
60,-3.2072400000000023,0.12619065244620944,0.438,0.02218810492133116,0.564,0.02217674457624473,0.244,0.019207498535728174,0.3725,0.16544659796584346,0.6007305061030587
65,-3.2279000000000027,0.12604344798520875,0.436,0.02217674457624473,0.558,0.022209727598509622,0.244,0.019207498535728174,0.3705,0.17049409741205257,0.6033999463596992
70,-3.190460000000003,0.12768069226316103,0.43,0.022140460699813815,0.562,0.022188104921331157,0.158,0.01631171358257617,0.327,0.17277948369321572,0.6031369361489496
75,-3.4640800000000023,0.11591084292334357,0.44,0.022199099080818574,0.554,0.022229889788300795,0.244,0.019207498535728174,0.3705,0.17959883796202686,0.6050430374753392
80,-3.4824600000000023,0.1162225395385939,0.432,0.022152923057691506,0.552,0.02223942445298439,0.198,0.01782111107647332,0.345,0.1826863404289413,0.60226755799734
85,-3.416680000000002,0.11643430918419204,0.446,0.022229889788300795,0.56,0.02219909908081857,0.244,0.019207498535728174,0.3735,0.1811192206069493,0.6023543953971936
90,-3.717220000000003,0.1139061795654653,0.404,0.021944657664224338,0.504,0.022359964221796064,0.244,0.019207498535728174,0.349,0.18832402183297808,0.6114350979638207
95,-3.8271200000000025,0.11561323890973743,0.358,0.021439962686534694,0.442,0.022209727598509622,0.198,0.01782111107647332,0.29900000000000004,0.1907711402965921,0.6082101025159813
100,-3.690260000000003,0.11732778470933483,0.376,0.021662132858977667,0.442,0.022209727598509622,0.27,0.019854470529329156,0.3395,0.19367612138495546,0.6106321304597433
105,-3.803980000000003,0.11497768096113276,0.374,0.021639038795658184,0.44,0.022199099080818574,0.316,0.020791536739741004,0.36150000000000004,0.1933039564169194,0.6070990283698473
110,-3.7061400000000027,0.11499684604718526,0.39,0.02181284025522582,0.442,0.022209727598509622,0.324,0.020929596269398033,0.37,0.19308782586067783,0.6079279485228427
115,-3.413300000000002,0.11641342628752073,0.448,0.02223942445298439,0.536,0.022302645582979612,0.324,0.020929596269398033,0.40800000000000003,0.19658194944348417,0.603176072726717
120,-3.613400000000002,0.11636293946098142,0.4,0.021908902300206645,0.472,0.022325590697672478,0.324,0.020929596269398033,0.38,0.19958248380321023,0.6031023496851411
125,-3.311260000000002,0.11474794126606377,0.47,0.022320394261750844,0.584,0.02204286732709699,0.322,0.020895741192884256,0.4245,0.1965015645805343,0.6045699769453236
130,-3.573100000000003,0.11839899146529934,0.392,0.021832819332372078,0.468,0.022314838112789438,0.278,0.020035768016225385,0.35400000000000004,0.19829413159717588,0.6022630322445363
135,-3.5530200000000027,0.11794487423877319,0.402,0.021926969694875762,0.464,0.022302645582979615,0.322,0.020895741192884256,0.37750000000000006,0.19886414034675132,0.6031023622857387
140,-3.560060000000003,0.11802643599126436,0.4,0.021908902300206645,0.464,0.022302645582979615,0.322,0.020895741192884256,0.377,0.19800011857551766,0.6008707195959513
145,-3.5577000000000027,0.11795238454562935,0.402,0.021926969694875762,0.464,0.022302645582979615,0.322,0.020895741192884256,0.37750000000000006,0.20153670600978782,0.6008386834167198
150,-3.5446600000000026,0.11802486589189597,0.404,0.021944657664224338,0.472,0.022325590697672478,0.322,0.020895741192884256,0.38,0.20394659642795965,0.6001598380224434
155,-3.9131800000000028,0.11367792826754024,0.35,0.02133072900770154,0.378,0.02168483340955148,0.318,0.020826713614970557,0.34099999999999997,0.20153451159663263,0.6024755807659093
160,-3.722320000000003,0.11683830037791557,0.374,0.021639038795658184,0.432,0.022152923057691506,0.318,0.020826713614970557,0.36050000000000004,0.20255275834339845,0.6007495378546803
165,-3.6575800000000025,0.11616454832348821,0.392,0.021832819332372078,0.458,0.022281651644346298,0.322,0.020895741192884256,0.37350000000000005,0.20310829165537797,0.601357476860953
170,-3.5679400000000028,0.11808864430079645,0.398,0.02189045454073533,0.464,0.022302645582979615,0.322,0.020895741192884256,0.37650000000000006,0.20104796759674443,0.6022147242263828
175,-3.7290000000000028,0.11522177398391341,0.384,0.02175058619899703,0.444,0.022219990999098087,0.322,0.020895741192884256,0.368,0.20477639303842773,0.600205446954418
180,-3.573920000000003,0.11769458979579318,0.4,0.021908902300206645,0.462,0.022296008611408458,0.322,0.020895741192884256,0.37650000000000006,0.20971182335232558,0.6064564203467604
185,-3.480720000000002,0.11672839827222863,0.432,0.022152923057691506,0.526,0.022330427671677047,0.322,0.020895741192884256,0.40049999999999997,0.21207158872708534,0.6120716172254368
190,-3.718180000000002,0.1152573024810143,0.386,0.0217717247823869,0.436,0.02217674457624473,0.322,0.020895741192884256,0.36650000000000005,0.21266192467948858,0.6111709491936234
195,-3.715260000000003,0.11577481360295953,0.384,0.02175058619899703,0.438,0.02218810492133116,0.324,0.020929596269398033,0.36750000000000005,0.21192606440688616,0.6111589227251178
200,-3.884460000000003,0.11206092189876014,0.366,0.021542701780417423,0.422,0.022086919205719934,0.324,0.020929596269398033,0.359,0.2150000924009455,0.6086204633126268
205,-3.7116000000000025,0.11524917908601355,0.396,0.02187162545399861,0.446,0.022229889788300795,0.324,0.020929596269398033,0.37250000000000005,0.21831893233593117,0.6124924375108234
210,-3.881500000000002,0.11209656149945021,0.368,0.021567382780485908,0.424,0.02210085971178497,0.3,0.020493901531919195,0.348,0.21402080612905053,0.6124640507701113
215,-3.8650400000000027,0.11431588689591672,0.364,0.02151762068631195,0.404,0.021944657664224338,0.28,0.020079840636817812,0.332,0.2191898453357814,0.6182634935097997
220,-4.099520000000002,0.11060086952280268,0.322,0.020895741192884256,0.338,0.02115447943108031,0.324,0.020929596269398033,0.327,0.2244483165390441,0.6175724262232051
225,-4.597700000000002,0.09237267680434526,0.262,0.01966499427917537,0.28,0.020079840636817812,0.224,0.018645321128905237,0.2475,0.2258498928223872,0.615055145322322
230,-4.586360000000003,0.09220609904339314,0.268,0.0198078772209442,0.29,0.020292855885754472,0.224,0.018645321128905237,0.2515,0.22677585867297412,0.6151371874311351
235,-4.597700000000002,0.09237267680434526,0.262,0.01966499427917537,0.278,0.020035768016225385,0.224,0.018645321128905237,0.247,0.22344242780923385,0.6156198793233472
240,-4.597700000000002,0.09237267680434526,0.262,0.01966499427917537,0.278,0.020035768016225385,0.224,0.018645321128905237,0.247,0.22507079874453523,0.614196880859568
245,-4.502340000000002,0.0933197548689452,0.292,0.0203340109176719,0.342,0.021214900423994452,0.226,0.01870422412183943,0.2715,0.22682378930323097,0.6168190335937221
250,-4.592740000000003,0.09215286313945986,0.266,0.019760769215797242,0.282,0.020123419192572618,0.226,0.01870422412183943,0.25,0.22766625191025974,0.6158329142277856
255,-4.5463400000000025,0.09315106874749222,0.274,0.01994612744369192,0.308,0.020646355610615643,0.226,0.01870422412183943,0.2585,0.22664315435345703,0.616540292071502
