epoch,mean_return_overall,mean_return_overall_stderr,success_rate_overall,success_rate_overall_stderr,success_rate_covered,success_rate_covered_stderr,success_rate_held_out,success_rate_held_out_stderr,weighted_success_rate,clip_frac,entropy
0,-4.0264200000000026,0.11137042501131089,0.368,0.021567382780485908,0.462,0.022296008611408458,0.226,0.01870422412183943,0.3205,0.0,0.5712270736694336
5,-3.938060000000003,0.11162716547865946,0.358,0.021439962686534694,0.44,0.022199099080818574,0.224,0.018645321128905237,0.3115,0.05909627088220894,0.5442745450366239
10,-4.010880000000003,0.11140006486174067,0.342,0.021214900423994452,0.414,0.0220274374360705,0.252,0.019416281827373642,0.315,0.09218984840868528,0.5571861270908207
15,-4.002440000000003,0.11127490684246842,0.346,0.021273645667821018,0.414,0.0220274374360705,0.276,0.01999119806314769,0.328,0.1451155801878229,0.5986576309424039
20,-3.6735800000000025,0.118885455658798,0.388,0.021792475765731623,0.476,0.02233490541730589,0.204,0.018021320706318948,0.318,0.15084388705589769,0.6010445563706124
25,-3.5227000000000026,0.12019025675985563,0.41,0.02199545407578575,0.494,0.02235906974809104,0.276,0.01999119806314769,0.364,0.15190952545667902,0.602154279923607
30,-3.269760000000003,0.12746559019908088,0.414,0.0220274374360705,0.506,0.02235906974809104,0.276,0.01999119806314769,0.368,0.1565608753656287,0.6036365806941876
35,-3.187460000000003,0.12795516830827905,0.424,0.02210085971178497,0.526,0.022330427671677047,0.23,0.01882020191177555,0.3525,0.15976252587253204,0.6041035091243135
40,-3.211880000000003,0.12846083967964722,0.418,0.02205792374635473,0.526,0.022330427671677047,0.226,0.01870422412183943,0.349,0.16151547793735685,0.6174395234824601
45,-3.221480000000003,0.12797946561538703,0.418,0.02205792374635473,0.524,0.02233490541730589,0.228,0.018762515822778138,0.3495,0.16190161786539137,0.6117973514736501
50,-3.8672800000000023,0.11249126367500734,0.368,0.021567382780485908,0.486,0.022351912669836556,0.158,0.01631171358257617,0.2925,0.1685049955677635,0.6125545405104403
55,-3.1642000000000023,0.12782917632528196,0.428,0.022127629787213995,0.526,0.022330427671677047,0.27,0.019854470529329156,0.3735,0.1708798523536483,0.6116361966276688
60,-3.321720000000003,0.12768021492463125,0.402,0.021926969694875762,0.526,0.022330427671677047,0.158,0.01631171358257617,0.311,0.17172269994711586,0.6153553374145063
65,-3.172280000000003,0.12764347849851174,0.43,0.022140460699813815,0.526,0.022330427671677047,0.272,0.019900552756142227,0.375,0.17493366709242716,0.6163699053404501
70,-3.1663000000000023,0.12817634500952205,0.428,0.022127629787213995,0.528,0.022325590697672478,0.27,0.019854470529329156,0.374,0.17889027312770248,0.615962458336529
75,-3.1788400000000028,0.1281296363407,0.422,0.022086919205719934,0.528,0.022325590697672478,0.238,0.01904499934365974,0.3565,0.1819535985321742,0.6220173622689745
80,-3.1909000000000023,0.12876920897481675,0.422,0.022086919205719934,0.528,0.022325590697672478,0.232,0.018877287940803362,0.3535,0.18242859299140127,0.61788388935898
85,-3.1689200000000026,0.12774468312693107,0.436,0.02217674457624473,0.542,0.022281651644346295,0.272,0.019900552756142227,0.3805,0.1819877851990688,0.6163248608388785
90,-3.346080000000003,0.12795922032897833,0.402,0.021926969694875762,0.532,0.022314838112789434,0.164,0.0165592270351004,0.3155,0.18117396546853498,0.6152311455432151
