epoch,mean_return_overall,mean_return_overall_stderr,success_rate_overall,success_rate_overall_stderr,success_rate_covered,success_rate_covered_stderr,success_rate_held_out,success_rate_held_out_stderr,weighted_success_rate,clip_frac,entropy
0,-4.0264200000000026,0.11137042501131089,0.368,0.021567382780485908,0.462,0.022296008611408458,0.226,0.01870422412183943,0.3205,0.0,0.5712270736694336
5,-4.1659200000000025,0.10793898789223487,0.356,0.021413266915629666,0.44,0.022199099080818574,0.224,0.018645321128905237,0.311,0.07446775827879022,0.6460634809438424
10,-4.010880000000003,0.11140006486174067,0.342,0.021214900423994452,0.414,0.0220274374360705,0.252,0.019416281827373642,0.315,0.13398458674540512,0.658976128588572
15,-3.785580000000002,0.11408801395063385,0.378,0.02168483340955148,0.472,0.022325590697672478,0.252,0.019416281827373642,0.3385,0.15010240600515373,0.6593112995959031
20,-3.996300000000003,0.11122350929547237,0.348,0.02130239423163509,0.414,0.0220274374360705,0.276,0.01999119806314769,0.3285,0.15709442603786658,0.6672442760855475
25,-3.5459000000000023,0.12057886207789499,0.4,0.021908902300206645,0.474,0.022330427671677047,0.252,0.019416281827373642,0.34450000000000003,0.16428336587989276,0.6739099186861233
30,-3.271440000000003,0.12788754064724217,0.408,0.021978898971513564,0.506,0.02235906974809104,0.232,0.018877287940803362,0.3445,0.1689828774109626,0.6795516313458771
35,-3.257060000000003,0.12839220814675642,0.406,0.021961967125009547,0.506,0.02235906974809104,0.236,0.018989681408596616,0.346,0.16963692837556457,0.6815182087820054
40,-3.7772000000000023,0.1143868467962992,0.376,0.021662132858977667,0.472,0.022325590697672478,0.234,0.018933779337469845,0.329,0.17440527521937724,0.6891463555868126
45,-3.1809400000000023,0.1280344931368107,0.422,0.022086919205719934,0.526,0.022330427671677047,0.23,0.01882020191177555,0.352,0.17184820504886533,0.6891336499460992
50,-3.7725200000000023,0.114443785760521,0.376,0.021662132858977667,0.474,0.022330427671677047,0.23,0.01882020191177555,0.3275,0.17634198060981132,0.6881173083905912
55,-3.257060000000003,0.12839220814675642,0.406,0.021961967125009547,0.506,0.02235906974809104,0.232,0.018877287940803362,0.34400000000000003,0.18743543802240886,0.7001897532690954
60,-3.7772000000000023,0.1143868467962992,0.376,0.021662132858977667,0.472,0.022325590697672478,0.232,0.018877287940803362,0.328,0.18809834364169228,0.6981358709891281
65,-3.242980000000003,0.1282929438402597,0.41,0.02199545407578575,0.5,0.022360679774997897,0.27,0.019854470529329156,0.3625,0.19513001712486577,0.6968762023490183
70,-3.7625600000000023,0.11420370087173193,0.382,0.02172905888436036,0.472,0.022325590697672478,0.27,0.019854470529329156,0.34850000000000003,0.20329385441247658,0.6943376433918065
75,-3.1642000000000023,0.12782917632528196,0.428,0.022127629787213995,0.526,0.022330427671677047,0.27,0.019854470529329156,0.3735,0.204930271526165,0.6963911547560023
80,-3.260840000000003,0.1287309884557717,0.412,0.02201163328787757,0.51,0.022356207191739835,0.272,0.019900552756142227,0.3665,0.2098020638299248,0.6944132010803858
85,-3.7806000000000024,0.11413922761259614,0.384,0.02175058619899703,0.472,0.022325590697672478,0.272,0.019900552756142227,0.35,0.20859825432606036,0.6960336305940862
90,-3.9404200000000027,0.10982734835731958,0.38,0.021707141681944216,0.45,0.022248595461286987,0.318,0.020826713614970557,0.36650000000000005,0.21143809595717442,0.6980841084216971
95,-3.728700000000002,0.11417737175114877,0.396,0.02187162545399861,0.486,0.022351912669836556,0.274,0.01994612744369192,0.35750000000000004,0.23274058481579327,0.7197110347072716
100,-3.5831400000000024,0.1174431261538964,0.402,0.021926969694875762,0.498,0.02236050088884415,0.272,0.019900552756142227,0.361,0.22748319156501326,0.7228689057028195
105,-3.5246600000000026,0.11684257857818796,0.418,0.02205792374635473,0.512,0.022354238971613417,0.274,0.01994612744369192,0.3695,0.2325383522031706,0.7229514579449152
110,-3.972720000000002,0.10849864701091912,0.382,0.02172905888436036,0.432,0.022152923057691506,0.318,0.020826713614970557,0.36250000000000004,0.2364772874277269,0.7327370816969399
115,-3.4797800000000025,0.11645514631479377,0.434,0.02216501748251059,0.526,0.022330427671677047,0.318,0.020826713614970557,0.399,0.24587865889759725,0.7443596426681552
120,-3.5462600000000024,0.11664823198317248,0.418,0.02205792374635473,0.506,0.02235906974809104,0.318,0.020826713614970557,0.39,0.2554605883199538,0.7407268639331747
125,-3.493720000000002,0.11635099450885679,0.432,0.022152923057691506,0.524,0.02233490541730589,0.318,0.020826713614970557,0.398,0.25840514587103597,0.7391840185132414
130,-3.947000000000002,0.10887453145708607,0.382,0.02172905888436036,0.44,0.022199099080818574,0.272,0.019900552756142227,0.3415,0.2618316275942868,0.740396657904931
135,-3.895920000000002,0.11029050869045816,0.382,0.02172905888436036,0.43,0.022140460699813815,0.318,0.020826713614970557,0.362,0.26107051231630485,0.7441763822120554
140,-3.865560000000002,0.10815212144382572,0.384,0.02175058619899703,0.476,0.02233490541730589,0.222,0.018585801031970616,0.326,0.26820151191884933,0.7451790498282037
145,-3.482260000000002,0.11496997427502549,0.444,0.022219990999098087,0.536,0.022302645582979612,0.322,0.020895741192884256,0.406,0.2711859924013534,0.7461689660596511
150,-3.8600000000000017,0.1109065119819392,0.382,0.02172905888436036,0.446,0.022229889788300795,0.276,0.01999119806314769,0.34500000000000003,0.2735019849898493,0.7461830241645017
155,-3.5482800000000023,0.11580531457234607,0.42,0.02207260745811423,0.498,0.02236050088884415,0.32,0.020861447696648473,0.38949999999999996,0.28056930808361186,0.7474043455970051
160,-3.487840000000002,0.11659617947771712,0.428,0.022127629787213995,0.51,0.022356207191739835,0.32,0.020861447696648473,0.39449999999999996,0.27882193829828467,0.7467835640235255
165,-3.865960000000002,0.11033458640335779,0.39,0.02181284025522582,0.432,0.022152923057691506,0.32,0.020861447696648473,0.36550000000000005,0.2796850361020652,0.7471816304935086
170,-3.8220800000000024,0.10781998027823984,0.394,0.021852414054287,0.49,0.022356207191739835,0.222,0.018585801031970616,0.332,0.27980014660815106,0.7485823981812335
175,-3.970480000000002,0.10848848205777435,0.384,0.02175058619899703,0.408,0.021978898971513564,0.32,0.020861447696648473,0.358,0.27999487200430917,0.7492696357262127
180,-3.397700000000002,0.11663493224587575,0.448,0.02223942445298439,0.536,0.022302645582979612,0.32,0.020861447696648473,0.406,0.2808720987626637,0.7508004903029663
185,-4.319780000000002,0.09547346177446393,0.344,0.02124448163641561,0.394,0.021852414054287,0.19,0.017544229820656135,0.27949999999999997,0.28327197956206474,0.7517413735618811
190,-3.8658600000000023,0.11015680696534384,0.388,0.021792475765731623,0.43,0.022140460699813815,0.32,0.020861447696648473,0.36450000000000005,0.28768371482792,0.7523126381853312
195,-3.4898800000000025,0.11787554441528583,0.42,0.02207260745811423,0.518,0.022346185356789647,0.274,0.01994612744369192,0.3715,0.29113572106614927,0.7572063819328079
200,-3.6780400000000024,0.11516544410889938,0.396,0.02187162545399861,0.522,0.0223390241505756,0.248,0.019313000802568203,0.35350000000000004,0.29044009171889273,0.7563519800114067
205,-4.046020000000002,0.10886101928238603,0.348,0.02130239423163509,0.446,0.022229889788300795,0.204,0.018021320706318948,0.3005,0.29126380556749276,0.7587824842625899
210,-3.978780000000003,0.1079896727617971,0.354,0.021386163751360363,0.488,0.022354238971613417,0.108,0.013880633991284405,0.2645,0.29946386993580487,0.7648902074943973
215,-3.9388600000000022,0.11283907922701258,0.364,0.02151762068631195,0.478,0.0223390241505756,0.168,0.016719808611344807,0.2945,0.30032947014189165,0.7647815683497442
220,-3.920480000000002,0.11266701886177703,0.372,0.021615549958305478,0.48,0.022342784070030305,0.214,0.01834142851579451,0.32,0.3028783016312512,0.7644503590466502
225,-4.238280000000002,0.10253160528929617,0.332,0.02106067425321421,0.452,0.022257403262734853,0.14,0.01551773179301666,0.266,0.30756445419017053,0.7633966302199672
230,-3.8578000000000023,0.1124768025861334,0.388,0.021792475765731623,0.488,0.022354238971613417,0.214,0.01834142851579451,0.326,0.3059262276402198,0.7623806087960042
235,-3.835580000000002,0.11221912014982129,0.396,0.02187162545399861,0.494,0.02235906974809104,0.246,0.019260529587734602,0.34550000000000003,0.3056608190107315,0.7629531283244194
240,-3.8523000000000023,0.11267357196787552,0.39,0.02181284025522582,0.496,0.022359964221796064,0.214,0.01834142851579451,0.3285,0.3074738287261325,0.7633565622671227
245,-4.105940000000002,0.10343834217929065,0.364,0.02151762068631195,0.452,0.022257403262734853,0.206,0.01808668018183547,0.307,0.30766774566031513,0.762526536430784
250,-3.885600000000003,0.11288736900114213,0.388,0.021792475765731623,0.53,0.022320394261750844,0.164,0.0165592270351004,0.3115,0.3100196958390052,0.7634271626897076
255,-3.8299200000000018,0.11291754508135582,0.4,0.021908902300206645,0.53,0.022320394261750844,0.214,0.01834142851579451,0.3395,0.3112986544093438,0.763835000999458
260,-3.9072800000000023,0.11264057352126729,0.384,0.02175058619899703,0.508,0.022357817424784557,0.214,0.01834142851579451,0.33,0.3136154169611714,0.7676292629214451
265,-3.868380000000002,0.11269594114785157,0.394,0.021852414054287,0.53,0.022320394261750844,0.162,0.016477621187537962,0.312,0.3148022486203607,0.7682384618347383
270,-4.177800000000003,0.10401841336994148,0.35,0.02133072900770154,0.48,0.022342784070030305,0.138,0.01542439626046997,0.27649999999999997,0.31048741407840397,0.7689966468151223
275,-3.6437800000000022,0.11435365417510725,0.436,0.02217674457624473,0.53,0.022320394261750844,0.284,0.020166506886419373,0.38349999999999995,0.3111545545294222,0.7689822914507204
280,-4.227180000000002,0.10272636514157416,0.342,0.021214900423994452,0.468,0.022314838112789438,0.13,0.015039946808416579,0.2675,0.31396590727861684,0.7679587134484066
285,-4.669540000000003,0.08675555530800332,0.3,0.020493901531919195,0.396,0.02187162545399861,0.082,0.012269963325128565,0.215,0.31429888077991885,0.7681324123801672
290,-3.945060000000002,0.11330922112873261,0.362,0.021492138097453217,0.49,0.022356207191739835,0.15,0.015968719422671314,0.288,0.31579712678575117,0.7676088472805598
295,-4.669760000000002,0.08724717465224889,0.296,0.02041489652190282,0.386,0.0217717247823869,0.082,0.012269963325128565,0.2115,0.31558215117928007,0.7675704503960521
300,-3.9192200000000024,0.11262808523276964,0.384,0.02175058619899703,0.506,0.02235906974809104,0.15,0.015968719422671314,0.2975,0.3162923714505183,0.7685648587023425
