state,row,col,best_action,best_q,n_near_optimal,on_shortest_path
0,0,0,3,-1.0319173092672163,4,True
1,0,1,3,-1.0104258247544808,3,True
2,0,2,3,-0.9881188020847633,1,True
3,0,3,1,-0.9655461449222084,1,True
4,0,4,3,-1.1179373107606032,4,False
5,0,5,3,-1.097385164196566,3,False
6,0,6,3,-1.0760531253204673,3,False
7,0,7,3,-1.0544670625591301,3,False
8,0,8,1,-1.032638414413537,1,False
9,0,9,2,-1.053889957441908,4,False
10,0,10,1,-0.9876169101573605,1,False
11,0,11,2,-1.0088179043791907,4,False
12,0,12,1,-0.9887366715420436,1,False
13,0,13,1,-1.0099674936980374,3,False
14,0,14,2,-1.0320322658838643,3,False
15,0,15,2,-1.0532903565545342,4,False
16,0,16,3,-0.8039722115650151,1,False
17,0,17,3,-0.7793156408046421,1,False
18,0,18,3,-0.7543993495479954,1,False
19,0,19,1,-0.7292039526458688,1,False
20,0,20,2,-0.7530949005269941,2,False
21,0,21,1,-0.7799219962068424,1,False
22,0,22,2,-0.8045507792540337,1,False
23,0,23,3,-0.7251842244214575,1,False
24,0,24,3,-0.6996610495673276,1,False
25,0,25,3,-0.6738515075722781,1,False
26,0,26,1,-0.6477523854443449,1,False
27,0,27,1,-0.6725170826704271,2,False
28,0,28,2,-0.6983233848578295,1,False
29,0,29,2,-0.7231862162393274,1,False
30,1,0,3,-1.1148115600180148,3,False
31,1,1,1,-1.0936749045147087,2,False
32,1,2,1,-1.1137172755155995,4,False
33,1,3,1,-0.9427198147905154,1,True
34,1,4,1,-0.8714840097271015,1,False
35,1,5,2,-0.8950986412853132,1,False
36,1,6,2,-0.9183748134938003,1,False
37,1,7,1,-0.9385325037786529,4,False
38,1,8,3,-1.0099904748734319,3,False
39,1,9,3,-0.9876474426348651,1,False
40,1,10,3,-0.9650686649896575,1,False
41,1,11,1,-0.941627543321577,1,False
42,1,12,2,-0.9656571119965623,1,False
43,1,13,2,-0.988213777788103,1,False
44,1,14,3,-0.9237427508952053,1,False
45,1,15,1,-0.9004474728515293,1,False
46,1,16,0,-0.8289813747754317,1,False
47,1,17,2,-0.8530528565809283,1,False
48,1,18,2,-0.8762442921026798,1,False
49,1,19,1,-0.7030801770445287,1,False
50,1,20,2,-0.7292195278971069,1,False
51,1,21,2,-0.7550130773770841,1,False
52,1,22,0,-0.8287655617995645,1,False
53,1,23,0,-0.7504242089420177,1,False
54,1,24,1,-0.5113219031479688,1,False
55,1,25,2,-0.5389347894978754,1,False
56,1,26,1,-0.6206911179864486,1,False
57,1,27,2,-0.6470727923116081,1,False
58,1,28,3,-0.4543358329730033,1,False
59,1,29,1,-0.4258132549271647,1,False
60,2,0,0,-1.135175466999159,4,False
61,2,1,1,-1.0717448664252949,2,False
62,2,2,2,-1.0936607321038836,2,False
63,2,3,1,-0.9196373648600122,1,True
64,2,4,3,-0.8476023585844936,1,True
65,2,5,1,-0.8227915598078989,1,True
66,2,6,2,-0.8463098794427194,1,False
67,2,7,3,-0.9165660586481988,1,False
68,2,8,3,-0.8932212495510242,1,False
69,2,9,1,-0.8695842618035617,1,False
70,2,10,3,-0.9403584106332376,1,False
71,2,11,1,-0.917867101985201,1,False
72,2,12,0,-0.9871582050821388,4,False
73,2,13,3,-0.9694292368830211,1,False
