policy,mean_return,stderr_return,success_rate,success_rate_stderr,mean_length,gap_vs_reference_return,gap_vs_reference_success_rate,uncovered_state_step_rate,uncovered_state_episode_rate
prior_pi_beta,-3.8275200000000025,0.11206835993803078,0.4,0.021908902300206645,138.472,1.1495800000000012,0.16399999999999992,,
prior_pi_beta_covered,-3.4371000000000014,0.11727392370002815,0.462,0.022296008611408458,127.134,0.7591600000000001,0.10199999999999992,,
prior_pi_beta_held_out,-5.212300000000004,0.07752680710567163,0.194,0.01768411716767337,180.404,2.534360000000003,0.36999999999999994,,
pi_D*_empirical,-2.6779400000000013,0.11607973084393339,0.564,0.02217674457624473,105.46,0.0,0.0,0.45571780769960174,0.292
pi_D*_empirical_covered,-1.2912200000000003,0.08877054366849405,0.742,0.019567115270269147,64.054,-1.386720000000001,-0.17800000000000005,0.009616885752646204,0.01
pi_D*_empirical_held_out,-5.051600000000002,0.07238318368239977,0.292,0.0203340109176719,178.412,2.373660000000001,0.27199999999999996,0.6846176266170437,0.73
pi_D*_true_restricted,-2.245440000000001,0.11910146603967568,0.596,0.021944657664224338,92.142,-0.4325000000000001,-0.03200000000000003,0.5040480996722451,0.268
pi_D*_true_restricted_covered,-0.882940000000001,0.08719812792027136,0.752,0.019313000802568203,50.788,-1.7950000000000004,-0.18800000000000006,0.0016145546192013862,0.002
pi_D*_true_restricted_held_out,-4.5311600000000025,0.0896084979720117,0.394,0.021852414054287,164.566,1.8532200000000012,0.16999999999999993,0.7377100980761518,0.716
standard,-3.7926200000000017,0.11204315004140158,0.41,0.02199545407578575,137.652,1.1146800000000003,0.15399999999999997,,
standard_covered,-3.4182400000000017,0.11684853873626329,0.47,0.022320394261750844,126.78,0.7403000000000004,0.09399999999999997,,
standard_held_out,-5.184440000000004,0.07859661934714506,0.202,0.01795527777562909,179.75,2.5065000000000026,0.36199999999999993,,
overfit_prone,-3.5601200000000017,0.11359408070493825,0.432,0.022152923057691506,130.334,0.8821800000000004,0.13199999999999995,,
overfit_prone_covered,-2.957720000000001,0.11602440089567376,0.496,0.022359964221796064,111.158,0.2797799999999997,0.06799999999999995,,
overfit_prone_held_out,-5.035680000000004,0.08114447039201143,0.258,0.019567115270269147,176.714,2.3577400000000024,0.30599999999999994,,
